年份,月份,发电(kWh),用电(kWh),直接自用(kWh),电池放电(kWh),上网(kWh),购电(kWh),自用率(%),购电费($),馈网收入($),净电费($),电池计提($),净成本含电池($),无太阳能电费($),月节省($),贴现因子,贴现后节省($),累计节省($),累计贴现后节省($),回本进度(%),贴现回本进度(%)
1,12,635.98,397.46,189.09,208.37,238.51,0.0,62.5,24.8,14.31,10.49,66.67,77.16,167.39,90.23,0.9107,82.18,1154.3,1075.43,7.45,6.94
2,1,674.45,423.2,201.24,221.96,251.25,0.0,62.7,24.8,15.08,9.72,66.67,76.39,180.42,104.03,0.907,94.36,1258.33,1169.79,8.12,7.55
2,2,613.71,385.09,183.12,201.97,228.62,0.0,62.7,22.4,13.72,8.68,66.67,75.35,164.0,88.65,0.9033,80.09,1346.98,1249.88,8.69,8.06
2,3,592.41,371.72,176.76,194.96,220.69,0.0,62.7,24.8,13.24,11.56,66.67,78.23,161.49,83.26,0.8997,74.91,1430.24,1324.79,9.23,8.55
2,4,563.23,353.41,168.06,185.35,209.82,0.0,62.7,24.0,12.59,11.41,66.67,78.08,153.96,75.88,0.896,67.99,1506.12,1392.78,9.72,8.99
2,5,668.14,419.24,199.36,219.88,248.9,0.0,62.7,24.8,14.93,9.87,66.67,76.53,178.96,102.43,0.8924,91.41,1608.55,1484.19,10.38,9.58
2,6,832.22,522.19,248.32,273.88,310.02,0.0,62.7,24.0,18.6,5.4,66.67,72.07,216.02,143.96,0.8888,127.94,1752.51,1612.13,11.31,10.4
2,7,841.68,528.13,251.14,276.99,313.55,0.0,62.7,24.8,18.81,5.99,66.67,72.65,219.0,146.35,0.8852,129.55,1898.86,1741.68,12.25,11.24
2,8,745.45,467.75,222.43,245.32,277.7,0.0,62.7,24.8,16.66,8.14,66.67,74.8,196.8,121.99,0.8816,107.55,2020.85,1849.23,13.04,11.93
2,9,580.58,364.3,173.23,191.06,216.28,0.0,62.7,24.0,12.98,11.02,66.67,77.69,157.96,80.27,0.878,70.48,2101.12,1919.71,13.56,12.39
2,10,568.75,356.87,169.7,187.17,211.87,0.0,62.7,24.8,12.71,12.09,66.67,78.75,156.03,77.27,0.8744,67.57,2178.39,1987.28,14.05,12.82
2,11,575.85,361.33,171.82,189.51,214.52,0.0,62.7,24.0,12.87,11.13,66.67,77.8,156.87,79.07,0.8709,68.86,2257.46,2056.14,14.56,13.27
2,12,633.43,397.46,189.0,208.46,235.97,0.0,62.7,24.8,14.16,10.64,66.67,77.31,170.95,93.65,0.8674,81.22,2351.11,2137.36,15.17,13.79
3,1,671.75,423.2,201.15,222.05,248.55,0.0,63.0,24.8,14.91,9.89,66.67,76.55,184.31,107.76,0.8638,93.08,2458.87,2230.44,15.86,14.39
3,2,611.26,385.09,183.03,202.05,226.17,0.0,63.0,22.4,13.57,8.83,66.67,75.5,167.54,92.05,0.8603,79.19,2550.92,2309.63,16.46,14.9
3,3,590.04,371.72,176.68,195.04,218.32,0.0,63.0,24.8,13.1,11.7,66.67,78.37,164.91,86.54,0.8568,74.15,2637.46,2383.78,17.02,15.38
3,4,560.97,353.41,167.98,185.43,207.56,0.0,63.0,24.0,12.45,11.55,66.67,78.21,157.2,78.99,0.8534,67.41,2716.45,2451.19,17.53,15.81
3,5,665.47,419.24,199.27,219.97,246.23,0.0,63.0,24.8,14.77,10.03,66.67,76.69,182.82,106.12,0.8499,90.19,2822.57,2541.38,18.21,16.4
3,6,828.89,522.19,248.2,273.99,306.7,0.0,63.0,24.0,18.4,5.6,66.67,72.26,220.82,148.56,0.8465,125.75,2971.13,2667.13,19.17,17.21
3,7,838.32,528.13,251.02,277.11,310.18,0.0,63.0,24.8,18.61,6.19,66.67,72.86,223.86,151.0,0.843,127.3,3122.13,2794.43,20.14,18.03
3,8,742.46,467.75,222.32,245.43,274.72,0.0,63.0,24.8,16.48,8.32,66.67,74.98,201.1,126.12,0.8396,105.89,3248.25,2900.32,20.96,18.71
3,9,578.26,364.3,173.15,191.15,213.96,0.0,63.0,24.0,12.84,11.16,66.67,77.83,161.31,83.48,0.8362,69.8,3331.73,2970.12,21.5,19.16
3,10,566.47,356.87,169.62,187.25,209.6,0.0,63.0,24.8,12.58,12.22,66.67,78.89,159.31,80.42,0.8328,66.97,3412.15,3037.09,22.01,19.59
3,11,573.54,361.33,171.74,189.59,212.22,0.0,63.0,24.0,12.73,11.27,66.67,77.93,160.19,82.26,0.8294,68.22,3494.41,3105.31,22.54,20.03
3,12,630.9,397.46,188.91,208.55,233.44,0.0,63.0,24.8,14.01,10.79,66.67,77.46,174.61,97.15,0.8261,80.25,3591.56,3185.56,23.17,20.55
4,1,669.07,423.2,201.05,222.15,245.87,0.0,63.3,24.8,14.75,10.05,66.67,76.71,188.3,111.58,0.8227,91.8,3703.14,3277.36,23.89,21.14
4,2,608.81,385.09,182.95,202.14,223.72,0.0,63.3,22.4,13.42,8.98,66.67,75.64,171.17,95.53,0.8194,78.27,3798.67,3355.63,24.51,21.65
4,3,587.68,371.72,176.6,195.13,215.96,0.0,63.3,24.8,12.96,11.84,66.67,78.51,168.41,89.9,0.816,73.36,3888.57,3428.99,25.09,22.12
4,4,558.73,353.41,167.9,185.51,205.32,0.0,63.3,24.0,12.32,11.68,66.67,78.35,160.53,82.19,0.8127,66.8,3970.76,3495.79,25.62,22.55
4,5,662.81,419.24,199.17,220.07,243.57,0.0,63.3,24.8,14.61,10.19,66.67,76.85,186.77,109.91,0.8094,88.97,4080.67,3584.76,26.33,23.13
4,6,825.57,522.19,248.08,274.11,303.38,0.0,63.3,24.0,18.2,5.8,66.67,72.46,225.74,153.28,0.8061,123.56,4233.95,3708.32,27.32,23.92
4,7,834.96,528.13,250.9,277.23,306.83,0.0,63.3,24.8,18.41,6.39,66.67,73.06,228.84,155.78,0.8029,125.07,4389.73,3833.39,28.32,24.73
4,8,739.49,467.75,222.22,245.53,271.75,0.0,63.3,24.8,16.3,8.5,66.67,75.16,205.51,130.34,0.7996,104.23,4520.07,3937.62,29.16,25.4
4,9,575.94,364.3,173.07,191.23,211.65,0.0,63.3,24.0,12.7,11.3,66.67,77.97,164.74,86.77,0.7964,69.1,4606.84,4006.72,29.72,25.85
4,10,564.21,356.87,169.54,187.33,207.33,0.0,63.3,24.8,12.44,12.36,66.67,79.03,162.67,83.65,0.7931,66.34,4690.49,4073.06,30.26,26.28
4,11,571.25,361.33,171.66,189.67,209.92,0.0,63.3,24.0,12.6,11.4,66.67,78.07,163.59,85.52,0.7899,67.56,4776.01,4140.62,30.81,26.71
4,12,628.37,397.46,188.83,208.64,230.91,0.0,63.3,24.8,13.85,10.95,66.67,77.61,178.35,100.74,0.7867,79.25,4876.75,4219.87,31.46,27.22
5,1,666.39,423.2,200.96,222.24,243.19,0.0,63.5,24.8,14.59,10.21,66.67,76.88,192.38,115.51,0.7835,90.5,4992.26,4310.37,32.21,27.81
5,2,606.38,385.09,182.86,202.23,221.29,0.0,63.5,22.4,13.28,9.12,66.67,75.79,174.89,99.1,0.7803,77.33,5091.36,4387.7,32.85,28.31
5,3,585.33,371.72,176.51,195.21,213.61,0.0,63.5,24.8,12.82,11.98,66.67,78.65,172.0,93.35,0.7772,72.55,5184.71,4460.25,33.45,28.78
5,4,556.49,353.41,167.82,185.59,203.09,0.0,63.5,24.0,12.19,11.81,66.67,78.48,163.95,85.47,0.774,66.15,5270.18,4526.4,34.0,29.2
5,5,660.16,419.24,199.08,220.16,240.92,0.0,63.5,24.8,14.45,10.35,66.67,77.01,190.82,113.8,0.7709,87.73,5383.98,4614.13,34.74,29.77
5,6,822.27,522.19,247.97,274.23,300.08,0.0,63.5,24.0,18.0,6.0,66.67,72.66,230.78,158.12,0.7678,121.4,5542.1,4735.53,35.76,30.55
5,7,831.62,528.13,250.79,277.35,303.49,0.0,63.5,24.8,18.21,6.59,66.67,73.26,233.94,160.68,0.7646,122.86,5702.78,4858.39,36.79,31.34
5,8,736.54,467.75,222.11,245.64,268.79,0.0,63.5,24.8,16.13,8.67,66.67,75.34,210.02,134.69,0.7615,102.57,5837.47,4960.96,37.66,32.01
5,9,573.64,364.3,172.99,191.31,209.34,0.0,63.5,24.0,12.56,11.44,66.67,78.11,168.26,90.15,0.7585,68.38,5927.62,5029.34,38.24,32.45
5,10,561.95,356.87,169.46,187.41,205.08,0.0,63.5,24.8,12.3,12.5,66.67,79.16,166.12,86.96,0.7554,65.69,6014.58,5095.03,38.8,32.87
5,11,568.96,361.33,171.58,189.75,207.64,0.0,63.5,24.0,12.46,11.54,66.67,78.21,167.08,88.87,0.7523,66.86,6103.45,5161.89,39.38,33.3
5,12,625.86,397.46,188.74,208.73,228.4,0.0,63.5,24.8,13.7,11.1,66.67,77.76,182.19,104.43,0.7493,78.24,6207.88,5240.13,40.05,33.81
6,1,663.72,423.2,200.86,222.34,240.53,0.0,63.8,24.8,14.43,10.37,66.67,77.04,196.57,119.54,0.7462,89.2,6327.42,5329.33,40.82,34.38
6,2,603.95,385.09,182.77,202.31,218.86,0.0,63.8,22.4,13.13,9.27,66.67,75.93,178.7,102.77,0.7432,76.38,6430.19,5405.71,41.49,34.88
6,3,582.99,371.72,176.43,195.29,211.27,0.0,63.8,24.8,12.68,12.12,66.67,78.79,175.68,96.89,0.7402,71.71,6527.08,5477.42,42.11,35.34
6,4,554.27,353.41,167.74,185.67,200.86,0.0,63.8,24.0,12.05,11.95,66.67,78.62,167.45,88.83,0.7372,65.48,6615.91,5542.9,42.68,35.76
6,5,657.51,419.24,198.98,220.26,238.27,0.0,63.8,24.8,14.3,10.5,66.67,77.17,194.97,117.8,0.7342,86.48,6733.71,5629.38,43.44,36.32
6,6,818.98,522.19,247.85,274.34,296.79,0.0,63.8,24.0,17.81,6.19,66.67,72.86,235.95,163.1,0.7312,119.25,6896.81,5748.63,44.5,37.09
6,7,828.3,528.13,250.67,277.47,300.16,0.0,63.8,24.8,18.01,6.79,66.67,73.46,239.17,165.71,0.7282,120.67,7062.52,5869.3,45.56,37.87
6,8,733.59,467.75,222.01,245.74,265.84,0.0,63.8,24.8,15.95,8.85,66.67,75.52,214.66,139.14,0.7253,100.91,7201.66,5970.21,46.46,38.52
6,9,571.35,364.3,172.91,191.39,207.05,0.0,63.8,24.0,12.42,11.58,66.67,78.24,171.87,93.62,0.7223,67.63,7295.28,6037.84,47.07,38.95
6,10,559.7,356.87,169.38,187.49,202.83,0.0,63.8,24.8,12.17,12.63,66.67,79.3,169.65,90.36,0.7194,65.0,7385.64,6102.84,47.65,39.37
6,11,566.69,361.33,171.5,189.83,205.36,0.0,63.8,24.0,12.32,11.68,66.67,78.35,170.66,92.32,0.7165,66.14,7477.96,6168.98,48.24,39.8
6,12,623.36,397.46,188.65,208.81,225.9,0.0,63.8,24.8,13.55,11.25,66.67,77.91,186.13,108.21,0.7136,77.22,7586.17,6246.2,48.94,40.3
7,1,661.07,423.2,200.77,222.43,237.87,0.0,64.0,24.8,14.27,10.53,66.67,77.19,200.87,123.67,0.7107,87.89,7709.84,6334.09,49.74,40.87
7,2,601.53,385.09,182.69,202.4,216.45,0.0,64.0,22.4,12.99,9.41,66.67,76.08,182.61,106.53,0.7078,75.4,7816.37,6409.49,50.43,41.35
7,3,580.66,371.72,176.35,195.37,208.94,0.0,64.0,24.8,12.54,12.26,66.67,78.93,179.45,100.52,0.7049,70.86,7916.89,6480.35,51.08,41.81
7,4,552.05,353.41,167.66,185.75,198.64,0.0,64.0,24.0,11.92,12.08,66.67,78.75,171.03,92.28,0.7021,64.79,8009.17,6545.14,51.67,42.23
7,5,654.88,419.24,198.89,220.35,235.64,0.0,64.0,24.8,14.14,10.66,66.67,77.33,199.22,121.89,0.6992,85.23,8131.06,6630.37,52.46,42.78
7,6,815.71,522.19,247.73,274.46,293.51,0.0,64.0,24.0,17.61,6.39,66.67,73.06,241.25,168.2,0.6964,117.13,8299.26,6747.5,53.54,43.53
7,7,824.98,528.13,250.55,277.58,296.85,0.0,64.0,24.8,17.81,6.99,66.67,73.66,244.52,170.87,0.6936,118.51,8470.13,6866.01,54.65,44.3
7,8,730.66,467.75,221.9,245.84,262.91,0.0,64.0,24.8,15.77,9.03,66.67,75.69,219.4,143.71,0.6907,99.27,8613.84,6965.28,55.57,44.94
7,9,569.06,364.3,172.83,191.47,204.76,0.0,64.0,24.0,12.29,11.71,66.67,78.38,175.56,97.18,0.6879,66.85,8711.02,7032.13,56.2,45.37
7,10,557.46,356.87,169.3,187.57,200.59,0.0,64.0,24.8,12.04,12.76,66.67,79.43,173.27,93.84,0.6851,64.3,8804.86,7096.43,56.81,45.78
7,11,564.42,361.33,171.42,189.91,203.09,0.0,64.0,24.0,12.19,11.81,66.67,78.48,174.33,95.85,0.6824,65.4,8900.71,7161.83,57.42,46.21
7,12,620.86,397.46,188.56,208.9,223.4,0.0,64.0,24.8,13.4,11.4,66.67,78.06,190.16,112.1,0.6796,76.18,9012.81,7238.01,58.15,46.7
8,1,658.43,423.2,200.68,222.52,235.23,0.0,64.3,24.8,14.11,10.69,66.67,77.35,205.27,127.92,0.6768,86.58,9140.73,7324.59,58.97,47.26
8,2,599.13,385.09,182.6,202.48,214.04,0.0,64.3,22.4,12.84,9.56,66.67,76.22,186.62,110.39,0.6741,74.41,9251.12,7399.0,59.68,47.74
8,3,578.34,371.72,176.27,195.46,206.61,0.0,64.3,24.8,12.4,12.4,66.67,79.07,183.32,104.25,0.6714,69.99,9355.37,7468.99,60.36,48.19
8,4,549.84,353.41,167.58,185.83,196.43,0.0,64.3,24.0,11.79,12.21,66.67,78.88,174.71,95.83,0.6686,64.07,9451.2,7533.06,60.98,48.6
8,5,652.26,419.24,198.8,220.44,233.02,0.0,64.3,24.8,13.98,10.82,66.67,77.49,203.58,126.1,0.6659,83.97,9577.3,7617.03,61.79,49.14
8,6,812.44,522.19,247.62,274.58,290.25,0.0,64.3,24.0,17.41,6.59,66.67,73.25,246.68,173.43,0.6632,115.02,9750.73,7732.05,62.91,49.88
8,7,821.68,528.13,250.43,277.7,293.55,0.0,64.3,24.8,17.61,7.19,66.67,73.85,250.02,176.16,0.6605,116.36,9926.89,7848.41,64.04,50.63
8,8,727.73,467.75,221.8,245.95,259.99,0.0,64.3,24.8,15.6,9.2,66.67,75.87,224.27,148.4,0.6578,97.62,10075.29,7946.03,65.0,51.26
8,9,566.79,364.3,172.75,191.55,202.49,0.0,64.3,24.0,12.15,11.85,66.67,78.52,179.35,100.83,0.6552,66.06,10176.12,8012.09,65.65,51.69
8,10,555.23,356.87,169.22,187.65,198.36,0.0,64.3,24.8,11.9,12.9,66.67,79.57,176.99,97.42,0.6525,63.57,10273.54,8075.66,66.28,52.1
8,11,562.16,361.33,171.34,189.99,200.84,0.0,64.3,24.0,12.05,11.95,66.67,78.62,178.09,99.47,0.6499,64.64,10373.01,8140.3,66.92,52.52
8,12,618.38,397.46,188.47,208.99,220.92,0.0,64.3,24.8,13.26,11.54,66.67,78.21,194.29,116.08,0.6472,75.13,10489.09,8215.43,67.67,53.0
9,1,655.79,423.2,200.58,222.62,232.59,0.0,64.5,24.8,13.96,10.84,66.67,77.51,209.78,132.27,0.6446,85.26,10621.36,8300.69,68.52,53.55
9,2,596.73,385.09,182.52,202.57,211.65,0.0,64.5,22.4,12.7,9.7,66.67,76.37,190.72,114.35,0.642,73.41,10735.71,8374.1,69.26,54.03
9,3,576.02,371.72,176.18,195.54,204.3,0.0,64.5,24.8,12.26,12.54,66.67,79.21,187.28,108.07,0.6394,69.1,10843.78,8443.2,69.96,54.47
9,4,547.64,353.41,167.5,185.91,194.23,0.0,64.5,24.0,11.65,12.35,66.67,79.01,178.48,99.46,0.6368,63.34,10943.24,8506.54,70.6,54.88
9,5,649.66,419.24,198.71,220.53,230.42,0.0,64.5,24.8,13.82,10.98,66.67,77.64,208.05,130.41,0.6342,82.71,11073.65,8589.25,71.44,55.41
9,6,809.19,522.19,247.5,274.69,287.0,0.0,64.5,24.0,17.22,6.78,66.67,73.45,252.25,178.81,0.6316,112.94,11252.46,8702.19,72.6,56.14
9,7,818.4,528.13,250.32,277.82,290.26,0.0,64.5,24.8,17.42,7.38,66.67,74.05,255.65,181.6,0.6291,114.24,11434.06,8816.43,73.77,56.88
9,8,724.82,467.75,221.7,246.05,257.08,0.0,64.5,24.8,15.42,9.38,66.67,76.04,229.25,153.21,0.6265,95.99,11587.27,8912.42,74.76,57.5
9,9,564.52,364.3,172.66,191.63,200.22,0.0,64.5,24.0,12.01,11.99,66.67,78.65,183.24,104.58,0.624,65.26,11691.85,8977.68,75.43,57.92
9,10,553.01,356.87,169.15,187.73,196.14,0.0,64.5,24.8,11.77,13.03,66.67,79.7,180.79,101.09,0.6214,62.82,11792.94,9040.5,76.08,58.33
9,11,559.92,361.33,171.26,190.07,198.59,0.0,64.5,24.0,11.92,12.08,66.67,78.75,181.94,103.19,0.6189,63.86,11896.13,9104.36,76.75,58.74
9,12,615.91,397.46,188.38,209.08,218.45,0.0,64.5,24.8,13.11,11.69,66.67,78.36,198.53,120.17,0.6164,74.08,12016.3,9178.44,77.52,59.22
10,1,653.17,423.2,200.49,222.71,229.97,0.0,64.8,24.8,13.8,11.0,66.67,77.67,214.41,136.74,0.6139,83.94,12153.04,9262.38,78.41,59.76
10,2,594.35,385.09,182.43,202.65,209.26,0.0,64.8,22.4,12.56,9.84,66.67,76.51,194.93,118.42,0.6114,72.4,12271.46,9334.78,79.17,60.22
10,3,573.72,371.72,176.1,195.62,202.0,0.0,64.8,24.8,12.12,12.68,66.67,79.35,191.34,112.0,0.6089,68.2,12383.46,9402.98,79.89,60.66
10,4,545.45,353.41,167.43,185.98,192.04,0.0,64.8,24.0,11.52,12.48,66.67,79.14,182.34,103.19,0.6065,62.58,12486.65,9465.56,80.56,61.07
10,5,647.06,419.24,198.61,220.63,227.82,0.0,64.8,24.8,13.67,11.13,66.67,77.8,212.63,134.83,0.604,81.44,12621.48,9547.0,81.43,61.59
10,6,805.96,522.19,247.39,274.81,283.76,0.0,64.8,24.0,17.03,6.97,66.67,73.64,257.96,184.32,0.6016,110.88,12805.8,9657.88,82.62,62.31
10,7,815.12,528.13,250.2,277.93,286.99,0.0,64.8,24.8,17.22,7.58,66.67,74.25,261.42,187.17,0.5991,112.14,12992.97,9770.02,83.83,63.03
10,8,721.92,467.75,221.59,246.15,254.18,0.0,64.8,24.8,15.25,9.55,66.67,76.22,234.36,158.15,0.5967,94.37,13151.12,9864.39,84.85,63.64
10,9,562.26,364.3,172.58,191.71,197.96,0.0,64.8,24.0,11.88,12.12,66.67,78.79,187.22,108.43,0.5943,64.43,13259.55,9928.82,85.55,64.06
10,10,550.8,356.87,169.07,187.81,193.93,0.0,64.8,24.8,11.64,13.16,66.67,79.83,184.69,104.86,0.5919,62.06,13364.41,9990.88,86.22,64.46
10,11,557.68,361.33,171.18,190.15,196.35,0.0,64.8,24.0,11.78,12.22,66.67,78.89,185.89,107.0,0.5895,63.07,13471.41,10053.95,86.91,64.86
10,12,613.44,397.46,188.3,209.17,215.98,0.0,64.8,24.8,12.96,11.84,66.67,78.51,202.87,124.37,0.5871,73.01,13595.78,10126.96,87.71,65.34
11,1,650.56,423.2,200.4,222.8,227.36,0.0,65.1,24.8,13.64,11.16,0.0,11.16,219.15,207.99,0.5847,121.61,13803.77,10248.57,89.06,66.12
11,2,591.97,385.09,182.35,202.74,206.88,0.0,65.1,22.4,12.41,9.99,0.0,9.99,199.24,189.26,0.5823,110.21,13993.03,10358.78,90.28,66.83
11,3,571.42,371.72,176.02,195.7,199.7,0.0,65.1,24.8,11.98,12.82,0.0,12.82,195.51,182.69,0.5799,105.95,14175.72,10464.73,91.46,67.51
11,4,543.27,353.41,167.35,186.06,189.86,0.0,65.1,24.0,11.39,12.61,0.0,12.61,186.3,173.69,0.5776,100.32,14349.41,10565.05,92.58,68.16
11,5,644.47,419.24,198.52,220.72,225.23,0.0,65.1,24.8,13.51,11.29,0.0,11.29,217.33,206.04,0.5752,118.52,14555.45,10683.57,93.91,68.93
11,6,802.73,522.19,247.27,274.92,280.54,0.0,65.1,24.0,16.83,7.17,0.0,7.17,263.81,256.64,0.5729,147.03,14812.09,10830.6,95.56,69.87
11,7,811.86,528.13,250.09,278.05,283.73,0.0,65.1,24.8,17.02,7.78,0.0,7.78,267.33,259.56,0.5706,148.1,15071.65,10978.7,97.24,70.83
11,8,719.04,467.75,221.49,246.26,251.29,0.0,65.1,24.8,15.08,9.72,0.0,9.72,239.6,229.88,0.5683,130.64,15301.53,11109.34,98.72,71.67
11,9,560.01,364.3,172.5,191.79,195.71,0.0,65.1,24.0,11.74,12.26,0.0,12.26,191.3,179.04,0.566,101.33,15480.57,11210.67,99.87,72.33
11,10,548.6,356.87,168.99,187.88,191.72,0.0,65.1,24.8,11.5,13.3,0.0,13.3,188.69,175.39,0.5637,98.86,15655.96,11309.53,101.01,72.96
11,11,555.45,361.33,171.1,190.23,194.12,0.0,65.1,24.0,11.65,12.35,0.0,12.35,189.93,177.58,0.5614,99.69,15833.54,11409.22,102.15,73.61
11,12,610.99,397.46,188.21,209.25,213.53,0.0,65.1,24.8,12.81,11.99,0.0,11.99,207.33,195.34,0.5591,109.21,16028.88,11518.43,103.41,74.31
12,1,647.95,423.2,200.25,222.95,224.75,0.0,65.3,24.8,13.49,11.31,0.0,11.31,224.0,212.69,0.5568,118.43,16241.57,11636.86,104.78,75.08
12,2,589.6,385.09,182.22,202.87,204.51,0.0,65.3,22.4,12.27,10.13,0.0,10.13,203.66,193.54,0.5546,107.33,16435.11,11744.19,106.03,75.77
12,3,569.14,371.72,175.89,195.83,197.42,0.0,65.3,24.8,11.84,12.96,0.0,12.96,199.77,186.82,0.5523,103.19,16621.93,11847.38,107.24,76.43
12,4,541.1,353.41,167.23,186.18,187.69,0.0,65.3,24.0,11.26,12.74,0.0,12.74,190.35,177.61,0.5501,97.7,16799.54,11945.08,108.38,77.07
12,5,641.89,419.24,198.38,220.86,222.65,0.0,65.3,24.8,13.36,11.44,0.0,11.44,222.14,210.7,0.5479,115.43,17010.24,12060.51,109.74,77.81
12,6,799.52,522.19,247.09,275.1,277.33,0.0,65.3,24.0,16.64,7.36,0.0,7.36,269.8,262.44,0.5456,143.2,17272.68,12203.71,111.44,78.73
12,7,808.62,528.13,249.9,278.23,280.48,0.0,65.3,24.8,16.83,7.97,0.0,7.97,273.4,265.43,0.5434,144.24,17538.11,12347.95,113.15,79.66
12,8,716.16,467.75,221.33,246.42,248.41,0.0,65.3,24.8,14.9,9.9,0.0,9.9,244.97,235.08,0.5412,127.23,17773.19,12475.18,114.67,80.49
12,9,557.77,364.3,172.38,191.92,193.47,0.0,65.3,24.0,11.61,12.39,0.0,12.39,195.48,183.09,0.539,98.69,17956.28,12573.87,115.85,81.12
12,10,546.4,356.87,168.87,188.01,189.53,0.0,65.3,24.8,11.37,13.43,0.0,13.43,192.78,179.36,0.5368,96.28,18135.64,12670.15,117.0,81.74
12,11,553.22,361.33,170.97,190.36,191.9,0.0,65.3,24.0,11.51,12.49,0.0,12.49,194.08,181.59,0.5347,97.09,18317.23,12767.24,118.18,82.37
12,12,608.55,397.46,188.07,209.39,211.08,0.0,65.3,24.8,12.67,12.13,0.0,12.13,211.89,199.75,0.5325,106.37,18516.98,12873.61,119.46,83.06
13,1,645.36,423.2,200.07,223.13,222.16,0.0,65.6,24.8,13.33,11.47,0.0,11.47,228.98,217.51,0.5303,115.35,18734.49,12988.96,120.87,83.8
13,2,587.24,385.09,182.05,203.04,202.15,0.0,65.6,22.4,12.13,10.27,0.0,10.27,208.2,197.93,0.5282,104.54,18932.42,13093.5,122.14,84.47
13,3,566.86,371.72,175.73,195.99,195.14,0.0,65.6,24.8,11.71,13.09,0.0,13.09,204.15,191.06,0.526,100.5,19123.48,13194.0,123.38,85.12
13,4,538.93,353.41,167.07,186.34,185.53,0.0,65.6,24.0,11.13,12.87,0.0,12.87,194.51,181.64,0.5239,95.16,19305.12,13289.16,124.55,85.74
13,5,639.32,419.24,198.19,221.05,220.08,0.0,65.6,24.8,13.21,11.59,0.0,11.59,227.07,215.48,0.5218,112.43,19520.6,13401.59,125.94,86.46
13,6,796.32,522.19,246.86,275.33,274.13,0.0,65.6,24.0,16.45,7.55,0.0,7.55,275.95,268.4,0.5196,139.47,19789.0,13541.06,127.67,87.36
13,7,805.38,528.13,249.67,278.46,277.25,0.0,65.6,24.8,16.63,8.17,0.0,8.17,279.61,271.45,0.5175,140.49,20060.45,13681.55,129.42,88.27
13,8,713.29,467.75,221.13,246.62,245.55,0.0,65.6,24.8,14.73,10.07,0.0,10.07,250.48,240.41,0.5154,123.92,20300.86,13805.47,130.97,89.07
13,9,555.54,364.3,172.22,192.08,191.24,0.0,65.6,24.0,11.47,12.53,0.0,12.53,199.77,187.24,0.5133,96.12,20488.1,13901.59,132.18,89.69
13,10,544.22,356.87,168.71,188.16,187.34,0.0,65.6,24.8,11.24,13.56,0.0,13.56,196.98,183.42,0.5113,93.78,20671.52,13995.37,133.36,90.29
13,11,551.01,361.33,170.82,190.51,189.68,0.0,65.6,24.0,11.38,12.62,0.0,12.62,198.33,185.71,0.5092,94.56,20857.23,14089.93,134.56,90.9
13,12,606.11,397.46,187.9,209.56,208.65,0.0,65.6,24.8,12.52,12.28,0.0,12.28,216.57,204.29,0.5071,103.6,21061.52,14193.53,135.88,91.57
14,1,642.78,423.2,199.88,223.32,219.58,0.0,65.8,24.8,13.17,11.63,0.0,11.63,234.09,222.46,0.5051,112.36,21283.98,14305.89,137.32,92.3
