scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,battery_kwh,total_with_tax,subsidy,final_price
极低参数,10,50,50,新建系统,NSW,49,19.36,28.04,20336.030000000002,16310.79168,4025.238320000002
极低参数,10,50,50,新建系统,NSW,50,19.8,28.04,20444.71,16453.0824,3991.6276
极低参数,10,50,50,新建系统,NSW,51,19.8,28.04,20444.71,16453.0824,3991.6276
极低参数,10,50,50,新建系统,NSW,52,20.24,50.32,30840.809999999998,22964.37312,7876.4368799999975
极低参数,10,50,50,新建系统,NSW,53,20.68,50.32,30949.489999999998,23106.66384,7842.826159999997
极低参数,10,50,50,新建系统,NSW,54,21.12,50.32,31058.170000000002,23248.95456,7809.215440000004
极低参数,10,50,50,新建系统,NSW,55,21.56,50.32,31166.85,23391.24528,7775.604719999999
极低参数,10,50,50,新建系统,NSW,56,22.0,50.32,31275.53,23533.536,7741.993999999999
极低参数,10,50,50,新建系统,NSW,57,22.44,50.32,31384.21,23675.82672,7708.383279999998
极低参数,10,50,50,新建系统,NSW,58,22.88,50.32,31492.89,23818.117439999998,7674.772560000001
极低参数,10,50,50,新建系统,NSW,59,23.32,50.32,31601.57,23960.40816,7641.161840000001
极低参数,10,50,50,新建系统,NSW,60,23.76,50.32,31710.25,24102.69888,7607.55112
极低参数,10,50,50,新建系统,NSW,61,23.76,50.32,31710.25,24102.69888,7607.55112
极低参数,10,50,50,新建系统,NSW,62,24.2,50.32,31818.93,24244.989599999997,7573.940400000003
极低参数,10,50,50,新建系统,NSW,63,24.64,50.32,31927.61,24387.280319999998,7540.329680000003
极低参数,10,50,50,新建系统,NSW,64,25.080000000000002,50.32,32036.289999999997,24529.57104,7506.718959999998
极低参数,10,50,50,新建系统,NSW,65,25.52,50.32,32144.97,24671.86176,7473.108240000001
极低参数,10,50,50,新建系统,NSW,66,25.96,50.32,32253.65,24814.152479999997,7439.497520000004
极低参数,10,50,50,新建系统,NSW,67,26.4,50.32,32362.329999999998,24956.443199999998,7405.8868
极低参数,10,50,50,新建系统,NSW,68,26.84,50.32,32471.01,25098.73392,7372.27608
极低参数,10,50,50,新建系统,NSW,69,27.28,50.32,32579.69,25241.02464,7338.665359999999
极低参数,10,50,50,新建系统,NSW,70,27.72,50.32,32688.370000000003,25383.31536,7305.054640000002
极低参数,10,50,50,新建系统,NSW,71,27.72,50.32,32688.370000000003,25383.31536,7305.054640000002
极低参数,10,50,50,新建系统,NSW,72,28.16,50.32,32797.05,25525.606079999998,7271.443920000005
极低参数,10,50,50,新建系统,NSW,73,28.6,50.32,32905.729999999996,25667.896800000002,7237.833199999994
极低参数,10,50,50,新建系统,NSW,74,29.04,50.32,33014.409999999996,25810.18752,7204.222479999997
极低参数,10,50,50,新建系统,NSW,75,29.48,50.32,33123.09,25952.47824,7170.611759999996
极低参数,10,50,50,新建系统,NSW,76,29.92,50.32,33231.770000000004,26094.76896,7137.001040000003
极低参数,10,50,50,新建系统,NSW,77,30.36,50.32,33340.45,26237.05968,7103.390319999999
极低参数,10,50,50,新建系统,NSW,78,30.8,50.32,33449.13,26379.3504,7069.779599999998
极低参数,10,50,50,新建系统,NSW,79,31.24,50.32,33557.81,26521.64112,7036.168879999997
极低参数,10,50,50,新建系统,NSW,80,31.68,50.32,33666.49,26663.93184,7002.558159999997
极低参数,10,50,50,新建系统,NSW,81,31.68,50.32,33666.49,26663.93184,7002.558159999997
极低参数,10,50,50,新建系统,NSW,82,32.12,50.32,33775.17,26806.22256,6968.94744
极低参数,10,50,50,新建系统,NSW,83,32.56,50.32,33883.85,26948.51328,6935.336719999999
极低参数,10,50,50,新建系统,NSW,84,33.0,50.32,33992.53,27090.803999999996,6901.726000000002
极低参数,10,50,50,新建系统,NSW,85,33.44,50.32,34101.21,27233.09472,6868.115279999998
极低参数,10,50,50,新建系统,NSW,86,33.88,50.32,34209.89,27375.38544,6834.504560000001
极低参数,10,50,50,新建系统,NSW,87,34.32,50.32,34318.57,27517.67616,6800.893840000001
极低参数,10,50,50,新建系统,NSW,88,34.76,50.32,34427.25,27659.96688,6767.28312
极低参数,10,50,50,新建系统,NSW,89,35.2,50.32,34535.93,27802.2576,6733.6723999999995
极低参数,10,50,50,新建系统,NSW,90,35.64,50.32,34644.61,27944.548319999998,6700.0616800000025
极低参数,10,50,50,新建系统,NSW,91,35.64,50.32,34644.61,27944.548319999998,6700.0616800000025
极低参数,10,50,50,新建系统,NSW,92,36.08,50.32,34753.29,28086.83904,6666.450960000002
极低参数,10,50,50,新建系统,NSW,93,36.52,50.32,34861.97,28229.12976,6632.840240000001
极低参数,10,50,50,新建系统,NSW,94,36.96,50.32,34970.65,28371.42048,6599.229520000001
极低参数,10,50,50,新建系统,NSW,95,37.4,50.32,35079.33,28513.711199999998,6565.618800000004
极低参数,10,50,50,新建系统,NSW,96,37.84,50.32,35188.01,28656.00192,6532.008080000003
极低参数,10,50,50,新建系统,NSW,97,38.28,50.32,35296.689999999995,28798.29264,6498.397359999995
极低参数,10,50,50,新建系统,NSW,98,38.72,50.32,35405.37,28940.58336,6464.786640000002
极低参数,10,50,50,新建系统,NSW,99,39.160000000000004,50.32,35514.05,29082.87408,6431.1759200000015
极低参数,10,50,50,新建系统,NSW,100,39.6,50.32,35622.729999999996,29225.1648,6397.565199999997
极低参数,10,50,50,新建系统,VIC,1,0.0,50.32,25841.53,19219.0,6622.529999999999
极低参数,10,50,50,新建系统,VIC,2,0.44,22.44,13167.439999999999,10235.29072,2932.149279999998
极低参数,10,50,50,新建系统,VIC,3,0.88,22.44,13276.12,10377.58144,2898.538560000001
极低参数,10,50,50,新建系统,VIC,4,1.32,22.44,13384.8,10519.872159999999,2864.9278400000003
极低参数,10,50,50,新建系统,VIC,5,1.76,22.44,13493.480000000001,10662.16288,2831.3171200000015
极低参数,10,50,50,新建系统,VIC,6,2.2,22.44,13602.16,10804.4536,2797.706399999999
极低参数,10,50,50,新建系统,VIC,7,2.64,22.44,13710.84,10946.74432,2764.0956800000004
极低参数,10,50,50,新建系统,VIC,8,3.08,22.44,13819.52,11089.035039999999,2730.4849600000016
极低参数,10,50,50,新建系统,VIC,9,3.52,22.44,13928.2,11231.32576,2696.874240000001
极低参数,10,50,50,新建系统,VIC,10,3.96,22.44,14036.880000000001,11373.61648,2663.2635200000004
极低参数,10,50,50,新建系统,VIC,11,3.96,22.44,14036.880000000001,11373.61648,2663.2635200000004
极低参数,10,50,50,新建系统,VIC,12,4.4,22.44,14145.560000000001,11515.9072,2629.6528000000017
极低参数,10,50,50,新建系统,VIC,13,4.84,22.44,14254.24,11658.19792,2596.0420799999993
极低参数,10,50,50,新建系统,VIC,14,5.28,22.22,14382.940000000002,11761.48864,2621.4513600000028
极低参数,10,50,50,新建系统,VIC,15,5.72,22.22,14491.62,11903.77936,2587.8406400000003
极低参数,10,50,50,新建系统,VIC,16,6.16,22.22,14600.3,12046.07008,2554.2299199999998
极低参数,10,50,50,新建系统,VIC,17,6.6,22.22,14708.98,12188.360799999999,2520.619200000001
极低参数,10,50,50,新建系统,VIC,18,7.04,22.22,14817.659999999998,12330.65152,2487.0084799999986
极低参数,10,50,50,新建系统,VIC,19,7.48,22.22,14926.340000000002,12472.94224,2453.3977600000017
极低参数,10,50,50,新建系统,VIC,20,7.92,29.33,18113.095,14916.232960000001,3196.86204
极低参数,10,50,50,新建系统,VIC,21,7.92,29.33,18113.095,14916.232960000001,3196.86204
极低参数,10,50,50,新建系统,VIC,22,8.36,29.33,18221.775,15058.52368,3163.251320000001
极低参数,10,50,50,新建系统,VIC,23,8.8,29.33,18330.454999999998,15200.8144,3129.640599999999
极低参数,10,50,50,新建系统,VIC,24,9.24,29.33,18439.135,15343.10512,3096.0298799999982
极低参数,10,50,50,新建系统,VIC,25,9.68,29.33,18547.815000000002,15485.395840000001,3062.4191600000013
极低参数,10,50,50,新建系统,VIC,26,10.12,29.33,18656.495000000003,15627.68656,3028.8084400000025
极低参数,10,50,50,新建系统,VIC,27,10.56,29.33,18765.175,15769.97728,2995.19772
极低参数,10,50,50,新建系统,VIC,28,11.0,29.33,18873.855,15912.268,2961.5869999999995
极低参数,10,50,50,新建系统,VIC,29,11.44,29.33,18982.535,16054.558719999999,2927.9762800000008
极低参数,10,50,50,新建系统,VIC,30,11.88,29.33,19091.215,16196.84944,2894.36556
极低参数,10,50,50,新建系统,VIC,31,11.88,29.33,19091.215,16196.84944,2894.36556
极低参数,10,50,50,新建系统,VIC,32,12.32,28.04,18597.15,15910.140159999999,2687.0098400000024
极低参数,10,50,50,新建系统,VIC,33,12.76,28.04,18705.83,16052.43088,2653.399120000002
极低参数,10,50,50,新建系统,VIC,34,13.2,28.04,18814.51,16194.721599999999,2619.7883999999995
极低参数,10,50,50,新建系统,VIC,35,13.64,28.04,18923.190000000002,16337.01232,2586.1776800000025
极低参数,10,50,50,新建系统,VIC,36,14.08,28.04,19031.870000000003,16479.30304,2552.5669600000037
极低参数,10,50,50,新建系统,VIC,37,14.52,28.04,19140.55,16621.59376,2518.9562399999995
极低参数,10,50,50,新建系统,VIC,38,14.96,28.04,19249.230000000003,16763.88448,2485.3455200000026
极低参数,10,50,50,新建系统,VIC,39,15.4,28.04,19357.91,16906.175199999998,2451.734800000002
极低参数,10,50,50,新建系统,VIC,40,15.84,28.04,19466.59,17048.465920000002,2418.124079999998
极低参数,10,50,50,新建系统,VIC,41,15.84,28.04,19466.59,17048.465920000002,2418.124079999998
极低参数,10,50,50,新建系统,VIC,42,16.28,28.04,19575.27,17190.75664,2384.513360000001
极低参数,10,50,50,新建系统,VIC,43,16.72,28.04,19683.95,17333.04736,2350.9026400000002
极低参数,10,50,50,新建系统,VIC,44,17.16,28.04,19792.630000000005,17475.33808,2317.2919200000033
极低参数,10,50,50,新建系统,VIC,45,17.6,28.04,19901.309999999998,17617.6288,2283.681199999999
极低参数,10,50,50,新建系统,VIC,46,18.04,28.04,20009.99,17759.91952,2250.070480000002
极低参数,10,50,50,新建系统,VIC,47,18.48,28.04,20118.670000000002,17902.21024,2216.4597600000016
极低参数,10,50,50,新建系统,VIC,48,18.92,28.04,20227.35,18044.500959999998,2182.849040000001
极低参数,10,50,50,新建系统,VIC,49,19.36,28.04,20336.030000000002,18186.791680000002,2149.2383200000004
极低参数,10,50,50,新建系统,VIC,50,19.8,28.04,20444.71,18329.0824,2115.6276
极低参数,10,50,50,新建系统,VIC,51,19.8,28.04,20444.71,18329.0824,2115.6276
极低参数,10,50,50,新建系统,VIC,52,20.24,50.32,30840.809999999998,25764.37312,5076.4368799999975
极低参数,10,50,50,新建系统,VIC,53,20.68,50.32,30949.489999999998,25906.66384,5042.826159999997
极低参数,10,50,50,新建系统,VIC,54,21.12,50.32,31058.170000000002,26048.95456,5009.215440000004
极低参数,10,50,50,新建系统,VIC,55,21.56,50.32,31166.85,26191.24528,4975.604719999999
极低参数,10,50,50,新建系统,VIC,56,22.0,50.32,31275.53,26333.536,4941.993999999999
极低参数,10,50,50,新建系统,VIC,57,22.44,50.32,31384.21,26475.82672,4908.383279999998
极低参数,10,50,50,新建系统,VIC,58,22.88,50.32,31492.89,26618.117439999998,4874.772560000001
极低参数,10,50,50,新建系统,VIC,59,23.32,50.32,31601.57,26760.40816,4841.161840000001
极低参数,10,50,50,新建系统,VIC,60,23.76,50.32,31710.25,26902.69888,4807.55112
极低参数,10,50,50,新建系统,VIC,61,23.76,50.32,31710.25,26902.69888,4807.55112
极低参数,10,50,50,新建系统,VIC,62,24.2,50.32,31818.93,27044.989599999997,4773.940400000003
极低参数,10,50,50,新建系统,VIC,63,24.64,50.32,31927.61,27187.280319999998,4740.329680000003
极低参数,10,50,50,新建系统,VIC,64,25.080000000000002,50.32,32036.289999999997,27329.57104,4706.718959999998
极低参数,10,50,50,新建系统,VIC,65,25.52,50.32,32144.97,27471.86176,4673.108240000001
极低参数,10,50,50,新建系统,VIC,66,25.96,50.32,32253.65,27614.152479999997,4639.497520000004
极低参数,10,50,50,新建系统,VIC,67,26.4,50.32,32362.329999999998,27756.443199999998,4605.8868
极低参数,10,50,50,新建系统,VIC,68,26.84,50.32,32471.01,27898.73392,4572.27608
极低参数,10,50,50,新建系统,VIC,69,27.28,50.32,32579.69,28041.02464,4538.665359999999
极低参数,10,50,50,新建系统,VIC,70,27.72,50.32,32688.370000000003,28183.31536,4505.054640000002
极低参数,10,50,50,新建系统,VIC,71,27.72,50.32,32688.370000000003,28183.31536,4505.054640000002
极低参数,10,50,50,新建系统,VIC,72,28.16,50.32,32797.05,28325.606079999998,4471.443920000005
极低参数,10,50,50,新建系统,VIC,73,28.6,50.32,32905.729999999996,28467.896800000002,4437.833199999994
极低参数,10,50,50,新建系统,VIC,74,29.04,50.32,33014.409999999996,28610.18752,4404.222479999997
极低参数,10,50,50,新建系统,VIC,75,29.48,50.32,33123.09,28752.47824,4370.611759999996
极低参数,10,50,50,新建系统,VIC,76,29.92,50.32,33231.770000000004,28894.76896,4337.001040000003
极低参数,10,50,50,新建系统,VIC,77,30.36,50.32,33340.45,29037.05968,4303.390319999999
极低参数,10,50,50,新建系统,VIC,78,30.8,50.32,33449.13,29179.3504,4269.779599999998
极低参数,10,50,50,新建系统,VIC,79,31.24,50.32,33557.81,29321.64112,4236.168879999997
极低参数,10,50,50,新建系统,VIC,80,31.68,50.32,33666.49,29463.93184,4202.558159999997
极低参数,10,50,50,新建系统,VIC,81,31.68,50.32,33666.49,29463.93184,4202.558159999997
极低参数,10,50,50,新建系统,VIC,82,32.12,50.32,33775.17,29606.22256,4168.94744
极低参数,10,50,50,新建系统,VIC,83,32.56,50.32,33883.85,29748.51328,4135.336719999999
极低参数,10,50,50,新建系统,VIC,84,33.0,50.32,33992.53,29890.803999999996,4101.726000000002
极低参数,10,50,50,新建系统,VIC,85,33.44,50.32,34101.21,30033.09472,4068.115279999998
极低参数,10,50,50,新建系统,VIC,86,33.88,50.32,34209.89,30175.38544,4034.504560000001
极低参数,10,50,50,新建系统,VIC,87,34.32,50.32,34318.57,30317.67616,4000.8938400000006
极低参数,10,50,50,新建系统,VIC,88,34.76,50.32,34427.25,30459.96688,3967.28312
极低参数,10,50,50,新建系统,VIC,89,35.2,50.32,34535.93,30602.2576,3933.6723999999995
极低参数,10,50,50,新建系统,VIC,90,35.64,50.32,34644.61,30744.548319999998,3900.0616800000025
极低参数,10,50,50,新建系统,VIC,91,35.64,50.32,34644.61,30744.548319999998,3900.0616800000025
极低参数,10,50,50,新建系统,VIC,92,36.08,50.32,34753.29,30886.83904,3866.450960000002
极低参数,10,50,50,新建系统,VIC,93,36.52,50.32,34861.97,31029.12976,3832.8402400000014
极低参数,10,50,50,新建系统,VIC,94,36.96,50.32,34970.65,31171.42048,3799.229520000001
极低参数,10,50,50,新建系统,VIC,95,37.4,50.32,35079.33,31313.711199999998,3765.618800000004
极低参数,10,50,50,新建系统,VIC,96,37.84,50.32,35188.01,31456.00192,3732.0080800000032
极低参数,10,50,50,新建系统,VIC,97,38.28,50.32,35296.689999999995,31598.29264,3698.3973599999954
极低参数,10,50,50,新建系统,VIC,98,38.72,50.32,35405.37,31740.58336,3664.786640000002
极低参数,10,50,50,新建系统,VIC,99,39.160000000000004,50.32,35514.05,31882.87408,3631.1759200000015
极低参数,10,50,50,新建系统,VIC,100,39.6,50.32,35622.729999999996,32025.1648,3597.5651999999973
极低参数,10,50,50,新建系统,QLD,1,0.0,50.32,25841.53,16419.0,9422.529999999999
极低参数,10,50,50,新建系统,QLD,2,0.44,22.44,13167.439999999999,7435.29072,5732.149279999999
极低参数,10,50,50,新建系统,QLD,3,0.88,22.44,13276.12,7577.58144,5698.538560000001
极低参数,10,50,50,新建系统,QLD,4,1.32,22.44,13384.8,7719.87216,5664.927839999999
极低参数,10,50,50,新建系统,QLD,5,1.76,22.44,13493.480000000001,7862.16288,5631.3171200000015
极低参数,10,50,50,新建系统,QLD,6,2.2,22.44,13602.16,8004.4536,5597.7064
极低参数,10,50,50,新建系统,QLD,7,2.64,22.44,13710.84,8146.74432,5564.09568
极低参数,10,50,50,新建系统,QLD,8,3.08,22.44,13819.52,8289.035039999999,5530.484960000002
极低参数,10,50,50,新建系统,QLD,9,3.52,22.44,13928.2,8431.32576,5496.874240000001
极低参数,10,50,50,新建系统,QLD,10,3.96,22.44,14036.880000000001,8573.61648,5463.26352
极低参数,10,50,50,新建系统,QLD,11,3.96,22.44,14036.880000000001,8573.61648,5463.26352
极低参数,10,50,50,新建系统,QLD,12,4.4,22.44,14145.560000000001,8715.9072,5429.652800000002
极低参数,10,50,50,新建系统,QLD,13,4.84,22.44,14254.24,8858.19792,5396.042079999999
极低参数,10,50,50,新建系统,QLD,14,5.28,22.22,14382.940000000002,8961.48864,5421.451360000003
极低参数,10,50,50,新建系统,QLD,15,5.72,22.22,14491.62,9103.77936,5387.84064
极低参数,10,50,50,新建系统,QLD,16,6.16,22.22,14600.3,9246.07008,5354.22992
极低参数,10,50,50,新建系统,QLD,17,6.6,22.22,14708.98,9388.360799999999,5320.619200000001
极低参数,10,50,50,新建系统,QLD,18,7.04,22.22,14817.659999999998,9530.65152,5287.008479999999
极低参数,10,50,50,新建系统,QLD,19,7.48,22.22,14926.340000000002,9672.94224,5253.397760000002
极低参数,10,50,50,新建系统,QLD,20,7.92,29.33,18113.095,12116.232960000001,5996.86204
极低参数,10,50,50,新建系统,QLD,21,7.92,29.33,18113.095,12116.232960000001,5996.86204
极低参数,10,50,50,新建系统,QLD,22,8.36,29.33,18221.775,12258.52368,5963.251320000001
极低参数,10,50,50,新建系统,QLD,23,8.8,29.33,18330.454999999998,12400.8144,5929.640599999999
极低参数,10,50,50,新建系统,QLD,24,9.24,29.33,18439.135,12543.10512,5896.029879999998
极低参数,10,50,50,新建系统,QLD,25,9.68,29.33,18547.815000000002,12685.395840000001,5862.419160000001
极低参数,10,50,50,新建系统,QLD,26,10.12,29.33,18656.495000000003,12827.68656,5828.8084400000025
极低参数,10,50,50,新建系统,QLD,27,10.56,29.33,18765.175,12969.97728,5795.19772
极低参数,10,50,50,新建系统,QLD,28,11.0,29.33,18873.855,13112.268,5761.5869999999995
极低参数,10,50,50,新建系统,QLD,29,11.44,29.33,18982.535,13254.558719999999,5727.976280000001
极低参数,10,50,50,新建系统,QLD,30,11.88,29.33,19091.215,13396.84944,5694.36556
极低参数,10,50,50,新建系统,QLD,31,11.88,29.33,19091.215,13396.84944,5694.36556
极低参数,10,50,50,新建系统,QLD,32,12.32,28.04,18597.15,13110.140159999999,5487.009840000002
极低参数,10,50,50,新建系统,QLD,33,12.76,28.04,18705.83,13252.43088,5453.399120000002
极低参数,10,50,50,新建系统,QLD,34,13.2,28.04,18814.51,13394.721599999999,5419.7883999999995
极低参数,10,50,50,新建系统,QLD,35,13.64,28.04,18923.190000000002,13537.01232,5386.1776800000025
极低参数,10,50,50,新建系统,QLD,36,14.08,28.04,19031.870000000003,13679.303039999999,5352.566960000004
极低参数,10,50,50,新建系统,QLD,37,14.52,28.04,19140.55,13821.59376,5318.9562399999995
极低参数,10,50,50,新建系统,QLD,38,14.96,28.04,19249.230000000003,13963.88448,5285.345520000003
极低参数,10,50,50,新建系统,QLD,39,15.4,28.04,19357.91,14106.1752,5251.7348
极低参数,10,50,50,新建系统,QLD,40,15.84,28.04,19466.59,14248.46592,5218.12408
极低参数,10,50,50,新建系统,QLD,41,15.84,28.04,19466.59,14248.46592,5218.12408
极低参数,10,50,50,新建系统,QLD,42,16.28,28.04,19575.27,14390.75664,5184.513360000001
极低参数,10,50,50,新建系统,QLD,43,16.72,28.04,19683.95,14533.04736,5150.90264
极低参数,10,50,50,新建系统,QLD,44,17.16,28.04,19792.630000000005,14675.33808,5117.291920000005
极低参数,10,50,50,新建系统,QLD,45,17.6,28.04,19901.309999999998,14817.6288,5083.681199999997
极低参数,10,50,50,新建系统,QLD,46,18.04,28.04,20009.99,14959.91952,5050.070480000002
极低参数,10,50,50,新建系统,QLD,47,18.48,28.04,20118.670000000002,15102.21024,5016.459760000002
极低参数,10,50,50,新建系统,QLD,48,18.92,28.04,20227.35,15244.50096,4982.849039999999
极低参数,10,50,50,新建系统,QLD,49,19.36,28.04,20336.030000000002,15386.79168,4949.238320000002
极低参数,10,50,50,新建系统,QLD,50,19.8,28.04,20444.71,15529.0824,4915.6276
极低参数,10,50,50,新建系统,QLD,51,19.8,28.04,20444.71,15529.0824,4915.6276
极低参数,10,50,50,新建系统,QLD,52,20.24,50.32,30840.809999999998,22964.37312,7876.4368799999975
极低参数,10,50,50,新建系统,QLD,53,20.68,50.32,30949.489999999998,23106.66384,7842.826159999997
极低参数,10,50,50,新建系统,QLD,54,21.12,50.32,31058.170000000002,23248.95456,7809.215440000004
极低参数,10,50,50,新建系统,QLD,55,21.56,50.32,31166.85,23391.24528,7775.604719999999
极低参数,10,50,50,新建系统,QLD,56,22.0,50.32,31275.53,23533.536,7741.993999999999
极低参数,10,50,50,新建系统,QLD,57,22.44,50.32,31384.21,23675.82672,7708.383279999998
极低参数,10,50,50,新建系统,QLD,58,22.88,50.32,31492.89,23818.117439999998,7674.772560000001
极低参数,10,50,50,新建系统,QLD,59,23.32,50.32,31601.57,23960.40816,7641.161840000001
极低参数,10,50,50,新建系统,QLD,60,23.76,50.32,31710.25,24102.69888,7607.55112
极低参数,10,50,50,新建系统,QLD,61,23.76,50.32,31710.25,24102.69888,7607.55112
极低参数,10,50,50,新建系统,QLD,62,24.2,50.32,31818.93,24244.989599999997,7573.940400000003
极低参数,10,50,50,新建系统,QLD,63,24.64,50.32,31927.61,24387.280319999998,7540.329680000003
极低参数,10,50,50,新建系统,QLD,64,25.080000000000002,50.32,32036.289999999997,24529.57104,7506.718959999998
极低参数,10,50,50,新建系统,QLD,65,25.52,50.32,32144.97,24671.86176,7473.108240000001
极低参数,10,50,50,新建系统,QLD,66,25.96,50.32,32253.65,24814.152479999997,7439.497520000004
极低参数,10,50,50,新建系统,QLD,67,26.4,50.32,32362.329999999998,24956.443199999998,7405.8868
极低参数,10,50,50,新建系统,QLD,68,26.84,50.32,32471.01,25098.73392,7372.27608
极低参数,10,50,50,新建系统,QLD,69,27.28,50.32,32579.69,25241.02464,7338.665359999999
极低参数,10,50,50,新建系统,QLD,70,27.72,50.32,32688.370000000003,25383.31536,7305.054640000002
极低参数,10,50,50,新建系统,QLD,71,27.72,50.32,32688.370000000003,25383.31536,7305.054640000002
极低参数,10,50,50,新建系统,QLD,72,28.16,50.32,32797.05,25525.606079999998,7271.443920000005
极低参数,10,50,50,新建系统,QLD,73,28.6,50.32,32905.729999999996,25667.896800000002,7237.833199999994
极低参数,10,50,50,新建系统,QLD,74,29.04,50.32,33014.409999999996,25810.18752,7204.222479999997
极低参数,10,50,50,新建系统,QLD,75,29.48,50.32,33123.09,25952.47824,7170.611759999996
极低参数,10,50,50,新建系统,QLD,76,29.92,50.32,33231.770000000004,26094.76896,7137.001040000003
