roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,pre_tax_diff,pre_tax_diff_rate,old_with_tax,new_with_tax,with_tax_diff,with_tax_diff_rate,subsidy,old_final,new_final,final_diff,final_diff_rate
37,33,14.52,9.3,28.04,32059.04,32110.0,50.95999999999913,0.15895672484266254,35264.944,35321.0,56.05599999999686,0.15895672484265636,14745.59376,20519.350240000003,20575.40624,56.05599999999686,0.2731860382729003
38,34,14.96,9.3,28.04,32248.84,32330.0,81.15999999999985,0.2516679669718348,35473.724,35563.0,89.27599999999802,0.2516679669718297,14887.88448,20585.83952,20675.11552,89.27599999999802,0.43367675101742953
39,35,15.4,9.3,28.04,32438.64,32550.0,111.36000000000058,0.3432942934722312,35682.504,35805.0,122.49599999999919,0.3432942934722271,15030.1752,20652.328800000003,20774.824800000002,122.49599999999919,0.5931340779350712
40,36,15.84,9.3,28.04,32628.44,32770.0,141.5600000000013,0.433854637242851,35891.284,36047.0,155.71600000000035,0.433854637242848,15172.46592,20718.818079999997,20874.534079999998,155.71600000000035,0.7515679678191391
41,36,15.84,9.3,28.04,32628.44,32770.0,141.5600000000013,0.433854637242851,35891.284,36047.0,155.71600000000035,0.433854637242848,15172.46592,20718.818079999997,20874.534079999998,155.71600000000035,0.7515679678191391
42,37,16.28,9.3,28.04,32818.24,32990.0,171.76000000000204,0.5233674931989103,36100.064,36289.0,188.9360000000015,0.5233674931989082,15314.75664,20785.30736,20974.24336,188.9360000000015,0.9089882421637739
43,38,16.72,9.3,28.04,33008.04,33210.0,201.95999999999913,0.611850930864114,36308.844,36531.0,222.15600000000268,0.6118509308641241,15457.04736,20851.796639999997,21073.95264,222.15600000000268,1.065404597193514
44,39,17.16,9.3,28.04,33197.84,33430.0,232.1600000000035,0.699322606531038,36517.623999999996,36773.0,255.37600000000384,0.699322606531038,15599.33808,20918.285919999995,21173.66192,255.37600000000384,1.2208266058541564
45,40,17.6,9.3,28.04,33387.64,33650.0,262.3600000000006,0.7857997750065611,36726.404,37015.0,288.59599999999773,0.7857997750065531,15741.6288,20984.775200000004,21273.3712,288.59599999999773,1.375263719765736
46,41,18.04,9.3,28.04,33577.44,33870.0,292.5599999999977,0.8712993009592085,36935.184,37257.0,321.8159999999989,0.8712993009592125,15883.91952,21051.26448,21373.08048,321.8159999999989,1.5287252711386716
47,42,18.48,9.3,28.04,33767.24,34090.0,322.76000000000204,0.9558376698835974,37143.964,37499.0,355.03600000000006,0.9558376698835915,16026.21024,21117.75376,21472.78976,355.03600000000006,1.6812204746533614
48,43,18.92,9.3,28.04,33957.04,34310.0,352.9599999999991,1.0394309986971748,37352.744,37741.0,388.2560000000012,1.0394309986971808,16168.50096,21184.24304,21572.499040000002,388.2560000000012,1.832758429304733
49,44,19.36,9.3,28.04,34146.84,34530.0,383.1600000000035,1.1220950459837675,37561.524,37983.0,421.4760000000024,1.1220950459837638,16310.79168,21250.732319999996,21672.208319999998,421.4760000000024,1.9833481202119931
50,45,19.8,9.3,28.04,34336.64,34750.0,413.3600000000006,1.2038452218970772,37770.304,38225.0,454.69600000000355,1.203845221897085,16453.0824,21317.221599999997,21771.9176,454.69600000000355,2.1329984203945394
51,45,19.8,9.3,28.04,34336.64,34750.0,413.3600000000006,1.2038452218970772,37770.304,38225.0,454.69600000000355,1.203845221897085,16453.0824,21317.221599999997,21771.9176,454.69600000000355,2.1329984203945394
52,46,20.24,19.5,50.32,53687.92,55446.0,1758.0800000000017,3.2746286315431887,59056.712,60990.6,1933.887999999999,3.2746286315431834,22964.37312,36092.338879999996,38026.22688,1933.8880000000063,5.358167577972178
53,47,20.68,19.5,50.32,53877.72,55666.0,1788.2799999999988,3.319145650558336,59265.492,61232.6,1967.1080000000002,3.319145650558339,23106.66384,36158.82816,38125.93616,1967.1080000000002,5.4401873625320505
54,48,21.12,19.5,50.32,54067.520000000004,55886.0,1818.479999999996,3.3633501222175455,59474.272000000004,61474.6,2000.327999999994,3.363350122217543,23248.95456,36225.317440000006,38225.64544,2000.327999999994,5.521906062833369
55,49,21.56,19.5,50.32,54257.32,56106.0,1848.6800000000003,3.407245326529214,59683.051999999996,61716.6,2033.5480000000025,3.407245326529217,23391.24528,36291.80671999999,38325.35472,2033.5480000000098,5.6033253337022355
56,50,22.0,19.5,50.32,54447.119999999995,56326.0,1878.8800000000047,3.450834497765914,59891.831999999995,61958.6,2066.7680000000037,3.4508344977659124,23533.536,36358.295999999995,38425.064,2066.7680000000037,5.684446817859682
57,51,22.44,19.5,50.32,54636.92,56546.0,1909.0800000000017,3.494120825258821,60100.612,62200.6,2099.9879999999976,3.4941208252588134,23675.82672,36424.78528,38524.773279999994,2099.9879999999976,5.765272146032531
58,52,22.88,19.5,50.32,54826.72,56766.0,1939.2799999999988,3.537107454175626,60309.392,62442.6,2133.2079999999987,3.537107454175626,23818.117439999998,36491.274560000005,38624.482560000004,2133.2079999999987,5.845802937062439
59,53,23.32,19.5,50.32,55016.520000000004,56986.0,1969.479999999996,3.579797486282294,60518.172000000006,62684.6,2166.4279999999926,3.579797486282289,23960.40816,36557.76384000001,38724.19184,2166.4279999999926,5.926040798013952
60,54,23.76,19.5,50.32,55206.32,57206.0,1999.6800000000003,3.622193980689168,60726.952,62926.6,2199.648000000001,3.622193980689169,24102.69888,36624.253119999994,38823.901119999995,2199.648000000001,6.00598732428158
61,54,23.76,19.5,50.32,55206.32,57206.0,1999.6800000000003,3.622193980689168,60726.952,62926.6,2199.648000000001,3.622193980689169,24102.69888,36624.253119999994,38823.901119999995,2199.648000000001,6.00598732428158
62,55,24.2,19.5,50.32,55396.119999999995,57426.0,2029.8800000000047,3.664299954581665,60935.731999999996,63168.6,2232.868000000002,3.66429995458166,24244.989599999997,36690.7424,38923.610400000005,2232.868000000002,6.085644099695301
63,56,24.64,19.5,50.32,55585.92,57646.0,2060.0800000000017,3.7061183839360794,61144.512,63410.6,2266.087999999996,3.7061183839360696,24387.280319999998,36757.231680000004,39023.31968,2266.087999999996,6.165012696625351
64,57,25.080000000000002,19.5,50.32,55775.72,57866.0,2090.279999999999,3.747652204220759,61353.292,63652.6,2299.3079999999973,3.7476522042207567,24529.57104,36823.720960000006,39123.028959999996,2299.30799999999,6.244094676085634
65,58,25.52,19.5,50.32,55965.520000000004,58086.0,2120.479999999996,3.7889043110829594,61562.07200000001,63894.6,2332.527999999991,3.7889043110829514,24671.86176,36890.21024000001,39222.73824,2332.527999999991,6.322891587836043
66,59,25.96,19.5,50.32,56155.32,58306.0,2150.6800000000003,3.829877561021824,61770.852,64136.6,2365.7479999999996,3.8298775610218225,24814.152479999997,36956.69952,39322.44752,2365.7479999999996,6.401404970483683
67,60,26.4,19.5,50.32,56345.119999999995,58526.0,2180.8800000000047,3.870574772047703,61979.632,64378.6,2398.9680000000008,3.870574772047696,24956.443199999998,37023.1888,39422.1568,2398.9679999999935,6.479636351582966
68,61,26.84,19.5,50.32,56534.92,58746.0,2211.0800000000017,3.9109987243282593,62188.412,64620.6,2432.188000000002,3.9109987243282593,25098.73392,37089.67808,39521.86608,2432.188000000002,6.5575872477348875
69,62,27.28,19.5,50.32,56724.72,58966.0,2241.279999999999,3.951152160821594,62397.192,64862.6,2465.407999999996,3.951152160821589,25241.02464,37156.16736000001,39621.57536,2465.407999999996,6.635259164684728
70,63,27.72,19.5,50.32,56914.520000000004,59186.0,2271.479999999996,3.9910377878966488,62605.97200000001,65104.6,2498.6279999999897,3.991037787896639,25383.31536,37222.65664000001,39721.28464,2498.6279999999897,6.712653597419287
71,63,27.72,19.5,50.32,56914.520000000004,59186.0,2271.479999999996,3.9910377878966488,62605.97200000001,65104.6,2498.6279999999897,3.991037787896639,25383.31536,37222.65664000001,39721.28464,2498.6279999999897,6.712653597419287
72,64,28.16,19.5,50.32,57104.32,59406.0,2301.6800000000003,4.030658275941295,62814.752,65346.6,2531.847999999998,4.030658275941292,25525.606079999998,37289.14592,39820.99392,2531.847999999998,6.789772030262682
73,65,28.6,19.5,50.32,57294.119999999995,59626.0,2331.8800000000047,4.0700162599582725,63023.53199999999,65588.6,2565.068000000014,4.070016259958287,25667.896800000002,37355.63519999999,39920.7032,2565.068000000014,6.866615936971177
74,66,29.04,19.5,50.32,57483.92,59846.0,2362.0800000000017,4.109114340149388,63232.312,65830.6,2598.2880000000077,4.109114340149397,25810.18752,37422.12448,40020.412480000006,2598.2880000000077,6.9431867808270615
75,67,29.48,19.5,50.32,57673.719999999994,60066.0,2392.280000000006,4.1479550824881875,63441.09199999999,66072.6,2631.508000000016,4.1479550824882025,25952.47824,37488.61375999999,40120.12176000001,2631.508000000016,7.019486014731788
76,68,29.92,19.5,50.32,57863.52,60286.0,2422.480000000003,4.186541019281238,63649.871999999996,66314.6,2664.72800000001,4.186541019281249,26094.76896,37555.103039999995,40219.831040000005,2664.72800000001,7.095515081297485
77,69,30.36,19.5,50.32,58053.31999999999,60506.0,2452.6800000000076,4.224874649718583,63858.651999999995,66556.6,2697.9480000000112,4.224874649718587,26237.05968,37621.592319999996,40319.54032000001,2697.9480000000112,7.171275412938215
78,70,30.8,19.5,50.32,58243.119999999995,60726.0,2482.8800000000047,4.262958440413228,64067.43199999999,66798.6,2731.1680000000124,4.2629584404132395,26379.3504,37688.08159999999,40419.24960000001,2731.1680000000197,7.246768431959722
79,71,31.24,19.5,50.32,58432.92,60946.0,2513.0800000000017,4.300794825930318,64276.212,67040.6,2764.3880000000063,4.300794825930324,26521.64112,37754.57088,40518.958880000006,2764.3880000000063,7.321995550648426
80,72,31.68,19.5,50.32,58622.719999999994,61166.0,2543.280000000006,4.338386209305891,64484.99199999999,67282.6,2797.6080000000147,4.338386209305903,26663.93184,37821.06015999999,40618.66816,2797.6080000000075,7.396958171359752
81,72,31.68,19.5,50.32,58622.719999999994,61166.0,2543.280000000006,4.338386209305891,64484.99199999999,67282.6,2797.6080000000147,4.338386209305903,26663.93184,37821.06015999999,40618.66816,2797.6080000000075,7.396958171359752
82,73,32.12,19.5,50.32,58812.52,61386.0,2573.480000000003,4.3757349625555975,64693.772,67524.6,2830.8280000000086,4.3757349625556055,26806.22256,37887.54944,40718.37744000001,2830.8280000000086,7.471657686604943
83,74,32.56,19.5,50.32,59002.31999999999,61606.0,2603.6800000000076,4.4128434271737245,64902.551999999996,67766.6,2864.04800000001,4.412843427173726,26948.51328,37954.03872,40818.08672000001,2864.04800000001,7.546095479137484
84,75,33.0,19.5,50.32,59192.119999999995,61826.0,2633.8800000000047,4.449713914622428,65111.331999999995,68008.6,2897.268000000011,4.4497139146224365,27090.803999999996,38020.528,40917.79600000001,2897.268000000011,7.620272922038356
85,76,33.44,19.5,50.32,59381.92,62046.0,2664.0800000000017,4.486348706811773,65320.112,68250.6,2930.488000000005,4.4863487068117776,27233.09472,38087.01728,41017.505280000005,2930.488000000005,7.694191378800469
86,77,33.88,19.5,50.32,59571.719999999994,62266.0,2694.280000000006,4.5227500565704775,65528.89199999999,68492.6,2963.7080000000133,4.522750056570487,27375.38544,38153.506559999994,41117.21456000001,2963.7080000000133,7.767852203412293
87,78,34.32,19.5,50.32,59761.52,62486.0,2724.480000000003,4.55892018810767,65737.67199999999,68734.6,2996.9280000000144,4.558920188107688,27517.67616,38219.99583999999,41216.92384,2996.9280000000144,7.841256740440334
88,79,34.76,19.5,50.32,59951.31999999999,62706.0,2754.6800000000076,4.594861297466024,65946.45199999999,68976.6,3030.1480000000156,4.594861297466036,27659.96688,38286.48511999999,41316.633120000006,3030.1480000000156,7.914406325111142
89,80,35.2,19.5,50.32,60141.119999999995,62926.0,2784.8800000000047,4.630575552966098,66155.23199999999,69218.6,3063.3680000000168,4.630575552966117,27802.2576,38352.97439999999,41416.34240000001,3063.3680000000168,7.987302283392178
90,81,35.64,19.5,50.32,60330.92,63146.0,2815.0800000000017,4.6660650956425025,66364.012,69460.6,3096.5880000000034,4.666065095642505,27944.548319999998,38419.46368,41516.051680000004,3096.5880000000034,8.059945932071907
91,81,35.64,19.5,50.32,60330.92,63146.0,2815.0800000000017,4.6660650956425025,66364.012,69460.6,3096.5880000000034,4.666065095642505,27944.548319999998,38419.46368,41516.051680000004,3096.5880000000034,8.059945932071907
92,82,36.08,19.5,50.32,60520.719999999994,63366.0,2845.280000000006,4.701332039671713,66572.79199999999,69702.6,3129.808000000019,4.701332039671732,28086.83904,38485.95295999999,41615.76096000001,3129.808000000019,8.132338578839287
93,83,36.52,19.5,50.32,60710.52,63586.0,2875.480000000003,4.736378472791871,66781.572,69944.6,3163.0280000000057,4.736378472791873,28229.12976,38552.442240000004,41715.47024000001,3163.0280000000057,8.2044815223618
94,84,36.96,19.5,50.32,60900.31999999999,63806.0,2905.6800000000076,4.771206456714855,66990.35199999998,70186.6,3196.2480000000214,4.771206456714874,28371.42048,38618.931519999984,41815.179520000005,3196.2480000000214,8.276376052363716
95,85,37.4,19.5,50.32,61090.119999999995,64026.0,2935.8800000000047,4.805818027530482,67199.132,70428.6,3229.468000000008,4.805818027530487,28513.711199999998,38685.4208,41914.88880000001,3229.468000000008,8.348023449702293
96,86,37.84,19.5,50.32,61279.92,64246.0,2966.0800000000017,4.840215196103392,67407.912,70670.6,3262.688000000009,4.840215196103403,28656.00192,38751.91008,42014.59808000001,3262.688000000009,8.41942498644446
97,87,38.28,19.5,50.32,61469.719999999994,64466.0,2996.280000000006,4.8743999484624405,67616.692,70912.6,3295.9080000000104,4.874399948462446,28798.29264,38818.399359999996,42114.307360000006,3295.9080000000104,8.490581925941655
98,88,38.72,19.5,50.32,61659.52,64686.0,3026.480000000003,4.908374246182914,67825.472,71154.6,3329.1280000000115,4.908374246182926,28940.58336,38884.88863999999,42214.01664,3329.1280000000115,8.561495522904531
99,89,39.160000000000004,19.5,50.32,61849.31999999999,64906.0,3056.6800000000076,4.942140026761828,68034.252,71396.6,3362.3480000000127,4.942140026761834,29082.87408,38951.37791999999,42313.725920000004,3362.3480000000127,8.63216702347667
100,90,39.6,19.5,50.32,62039.119999999995,65126.0,3086.8800000000047,4.975699203986138,68243.03199999999,71638.6,3395.568000000014,4.975699203986151,29225.1648,39017.86719999999,42413.43520000001,3395.568000000014,8.702597665307586
