state,consumption,system,solar_kw,scenario,panel,inverter,battery,final_cost,margin,profit,payback,irr,all_ok
NSW,7778,中大型系统,13.2,方案3（+10%）,538,279,860,22873.0484,29.670390339941697,10031.766666666666,6.4435785848709,21.944573521614075,True
NSW,7778,中大型系统,13.2,方案4（+12%）,548,285,876,23573.132400000002,30.96978926745927,10668.206666666669,6.62134350587732,21.242618607357144,True
NSW,7778,大型系统,19.8,原参数,489,254,782,20915.7656,22.03819966120801,7486.74666666667,4.953974005623074,29.15681767917704,False
NSW,7778,大型系统,19.8,方案1（+5%）,515,267,821,22817.9516,25.814465015953843,9216.006666666672,5.383147268867351,26.648820281843655,False
NSW,7778,大型系统,19.8,方案2（+8%）,528,274,844,23882.113600000004,27.771699270615514,10183.42666666667,5.615649286419331,25.411953747970983,False
NSW,7778,大型系统,19.8,方案3（+10%）,538,279,860,24644.567600000002,29.111696978618816,10876.56666666667,5.755726670072313,24.587882982450537,True
NSW,7778,大型系统,19.8,方案4（+12%）,548,285,876,25417.251600000003,30.419884716786207,11579.006666666672,5.893221783891746,23.80020544078434,True
VIC,6778,小型系统,3.08,原参数,489,254,782,14166.58496,21.59611499464104,4553.799999999999,10.27825469809566,13.515579359955154,False
VIC,6778,小型系统,3.08,方案1（+5%）,515,267,821,15331.748960000004,25.346256385061665,5613.040000000001,10.765787667797406,12.208294676383957,False
VIC,6778,小型系统,3.08,方案2（+8%）,528,274,844,16005.124959999997,27.35437831757302,6225.199999999997,11.056082151508733,11.526403040625155,False
VIC,6778,小型系统,3.08,方案3（+10%）,538,279,860,16477.94896,28.701055398957365,6655.040000000001,11.268028733727279,11.075477732811123,False
VIC,6778,小型系统,3.08,方案4（+12%）,548,285,876,16959.572960000005,30.022416665537932,7092.880000000001,11.467254757933857,10.637635362218134,False
VIC,6778,中小型系统,6.6,原参数,489,254,782,15226.713200000002,21.08211265535508,4857.706666666669,6.264333307571623,23.7583525973605,False
VIC,6778,中小型系统,6.6,方案1（+5%）,515,267,821,16505.9912,24.87391629711218,6020.686666666668,6.706061634886815,21.799354380345903,False
VIC,6778,中小型系统,6.6,方案2（+8%）,528,274,844,17236.4572,26.879966716099275,6684.74666666667,6.928061753934492,20.801804287475534,False
VIC,6778,中小型系统,6.6,方案3（+10%）,538,279,860,17752.929200000002,28.234879339921505,7154.26666666667,7.145538232100082,20.14200784469722,True
VIC,6778,中小型系统,6.6,方案4（+12%）,548,285,876,18279.961199999998,29.566692179057736,7633.386666666665,7.320482464348973,19.503814991912805,True
VIC,6778,中型系统,10.56,原参数,489,254,782,19765.86872,23.334995791630437,7149.226666666666,6.724544804422664,21.193366694205906,False
VIC,6778,中型系统,10.56,方案1（+5%）,515,267,821,21468.998720000003,27.02298684155201,8697.526666666668,7.233316421853492,19.360010503442027,False
VIC,6778,中型系统,10.56,方案2（+8%）,528,274,844,22438.97872,28.96904287981801,9579.326666666668,7.510619507966651,18.429268404725008,True
VIC,6778,中型系统,10.56,方案3（+10%）,538,279,860,23126.29172,30.286325645026412,10204.15666666667,7.695997861776134,17.812363657867536,True
VIC,6778,中型系统,10.56,方案4（+12%）,548,285,876,23824.593720000004,31.575558404615677,10838.97666666667,7.861791911883759,17.218231670267414,True
VIC,6778,中大型系统,13.2,原参数,489,254,782,19499.9864,22.655748212892508,6965.346666666668,6.076951126090222,23.700746515532956,False
VIC,6778,中大型系统,13.2,方案1（+5%）,515,267,821,21213.41240000001,26.38543278411969,8523.006666666672,6.557348061976846,21.66265516425483,False
VIC,6778,中大型系统,13.2,方案2（+8%）,528,274,844,22183.1944,28.341222782205005,9404.626666666667,6.787724377165252,20.638514665188268,True
VIC,6778,中大型系统,13.2,方案3（+10%）,538,279,860,22873.0484,29.670390339941697,10031.766666666666,6.9640730266991575,19.95850603998406,True
VIC,6778,中大型系统,13.2,方案4（+12%）,548,285,876,23573.132400000002,30.96978926745927,10668.206666666669,7.180696031633389,19.305516938038636,True
VIC,6778,大型系统,19.8,原参数,489,254,782,20915.7656,22.03819966120801,7486.74666666667,5.332656735295704,27.059932859265245,False
VIC,6778,大型系统,19.8,方案1（+5%）,515,267,821,22817.9516,25.814465015953843,9216.006666666672,5.75235211647113,24.70999728247989,False
VIC,6778,大型系统,19.8,方案2（+8%）,528,274,844,23882.113600000004,27.771699270615514,10183.42666666667,5.979581141260847,23.54960943630431,False
VIC,6778,大型系统,19.8,方案3（+10%）,538,279,860,24644.567600000002,29.111696978618816,10876.56666666667,6.176849953277336,22.775889115291648,True
VIC,6778,大型系统,19.8,方案4（+12%）,548,285,876,25417.251600000003,30.419884716786207,11579.006666666672,6.337191514215856,22.035855255671777,True
