roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,pre_tax_cost,with_tax_cost,subsidy,final_cost,payback_years,payback_months,discounted_payback_years,discounted_payback_months,avg_annual_savings_10y,irr,total_20y_savings
23,20,8.8,9.99,29.33,26.4,13428.800000000001,29776.719999999998,32754.391999999996,13366.0644,19388.327599999997,8.928731929900888,107.14478315881065,9.483747405089586,113.80496886107504,2224.0134280032803,11.759831564268097,62069.12648856692
24,21,9.24,9.99,29.33,26.4,14100.24,29991.879999999997,32991.068,13508.35512,19482.71288,8.794864364359773,105.53837237231727,9.315897763627225,111.7907731635267,2280.202627171863,11.998115439200774,63427.77690876213
25,22,9.68,9.99,29.33,26.4,14771.68,30207.039999999997,33227.744,13650.645840000001,19577.098159999998,8.67604164911837,104.11249978942044,9.16733215594052,110.00798587128622,2336.391826340445,12.232869684521575,64786.42732895725
26,23,10.12,9.99,29.33,26.4,15443.119999999999,30422.199999999997,33464.42,13792.93656,19671.483439999996,8.547649754564059,102.57179705476871,8.988410651308602,107.86092781570322,2392.581025509027,12.46420489915181,66145.07774915238
27,24,10.56,9.99,29.33,26.4,16114.560000000001,30637.359999999997,33701.096,13935.22728,19765.86872,8.405021657906065,100.86025989487278,8.833256916218257,105.99908299461909,2448.770224677609,12.69222591072321,67503.7281693475
28,25,11.0,9.99,29.33,26.4,16786.0,30852.519999999997,33937.772,14077.518,19860.253999999997,8.285302633321729,99.42363159986076,8.719034181547029,104.62841017856434,2504.9594238461914,12.91703219030751,68862.37858954264
29,26,11.44,9.99,29.33,26.4,17457.44,31067.679999999997,34174.448,14219.808719999999,19954.639279999996,8.169365495760752,98.03238594912904,8.600381264934825,103.2045751792179,2561.148623014774,13.138718224217882,70221.02900973783
30,27,11.88,9.99,29.33,26.4,18128.88,31282.839999999997,34411.123999999996,14362.09944,20049.024559999998,8.030929881375512,96.37115857650615,8.46569422217558,101.58833066610697,2617.3378221833564,13.357373863982502,71579.67942993292
31,27,11.88,9.99,29.33,26.4,18128.88,31282.839999999997,34411.123999999996,14362.09944,20049.024559999998,8.030929881375512,96.37115857650615,8.46569422217558,101.58833066610697,2617.3378221833564,13.357373863982502,71579.67942993292
32,28,12.32,9.3,28.04,25.24,18800.32,30313.96,33345.356,14034.140159999999,19311.21584,7.6576640718158755,91.8919688617905,8.02073901861415,96.2488682233698,2673.5270213519384,14.173056896834169,72938.32985012807
33,29,12.76,9.3,28.04,25.24,19471.76,30529.12,33582.032,14176.43088,19405.60112,7.559257183000375,90.7110861960045,7.885773939796645,94.62928727755974,2729.716220520521,14.389061887050048,74296.9802703232
34,30,13.2,9.3,28.04,25.24,20143.2,30744.28,33818.708,14318.721599999999,19499.9864,7.4501569019608445,89.40188282353013,7.7906066282879545,93.48727953945546,2785.905419689103,14.602213133184705,75655.63069051834
35,31,13.64,9.3,28.04,25.24,20814.64,30959.44,34055.384,14461.01232,19594.371679999997,7.350730710329958,88.20876852395949,7.701802345321018,92.42162814385222,2842.094618857686,14.812586081097834,77014.2811107135
36,32,14.08,9.3,28.04,25.24,21486.08,31174.6,34292.06,14603.303039999999,19688.75696,7.263819220405804,87.16583064486964,7.610379467812596,91.32455361375115,2898.2838180262684,15.0202528340742,78372.93153090862
37,33,14.52,9.3,28.04,25.24,22157.52,31389.76,34528.736,14745.59376,19783.142239999997,7.17620375562177,86.11444506746123,7.510740591397479,90.12888709676974,2954.47301719485,15.225282358005643,79731.58195110378
38,34,14.96,9.3,28.04,25.24,22828.960000000003,31604.92,34765.412,14887.88448,19877.527519999996,7.072118725738798,84.86542470886558,7.405445442605405,88.86534531126486,3010.6622163634324,15.427740677841939,81090.23237129896
39,35,15.4,9.3,28.04,25.24,23500.4,31820.08,35002.088,15030.1752,19971.912800000006,6.971884126059574,83.66260951271488,7.316378228992723,87.79653874791268,3066.8514155320145,15.627691047848202,82448.88279149409
40,36,15.84,9.3,28.04,25.24,24171.84,32035.239999999998,35238.763999999996,15172.46592,20066.298079999993,6.879235132464713,82.55082158957656,7.233602052693602,86.80322463232322,3123.040614700597,15.825194117496721,83807.53321168925
41,36,15.84,9.3,28.04,25.24,24171.84,32035.239999999998,35238.763999999996,15172.46592,20066.298079999993,6.879235132464713,82.55082158957656,7.233602052693602,86.80322463232322,3123.040614700597,15.825194117496721,83807.53321168925
42,37,16.28,9.3,28.04,25.24,24843.280000000002,32250.4,35475.44,15314.75664,20160.683360000003,6.809428176571057,81.71313811885268,7.1447596696391,85.7371160356692,3179.2298138691795,16.02030808426207,85166.18363188433
43,38,16.72,9.3,28.04,25.24,25514.719999999998,32465.559999999998,35712.115999999995,15457.04736,20255.068639999994,6.746594373387577,80.95913248065092,7.045577693015427,84.54693231618512,3235.4190130377615,16.213088828953914,86524.83405207947
44,39,17.16,9.3,28.04,25.24,26186.16,32680.72,35948.792,15599.33808,20349.45392,6.682225740535029,80.18670888642035,6.945759179620786,83.34911015544942,3291.608212206344,16.40359004959464,87883.4844722746
45,40,17.6,9.3,28.04,25.24,26857.600000000002,32895.880000000005,36185.46800000001,15741.6288,20443.83920000001,6.616856473082976,79.40227767699571,6.864691681908753,82.37630018290504,3347.797411374926,16.59186337928986,89242.1348924698
46,41,18.04,9.3,28.04,25.24,27529.039999999997,33111.04,36422.144,15883.91952,20538.22448,6.548077715960235,78.57693259152282,6.79920313041351,81.59043756496212,3403.986610543508,16.77795850264374,90600.78531266493
47,42,18.48,9.3,28.04,25.24,28200.48,33326.2,36658.82,16026.21024,20632.60976,6.474862258133702,77.69834709760443,6.738421372180558,80.8610564661667,3460.17580971209,16.96192325616721,91959.43573286002
48,43,18.92,9.3,28.04,25.24,28871.920000000002,33541.36,36895.496,16168.50096,20726.99504,6.402372338113896,76.82846805736675,6.676606875871951,80.1192825104634,3516.365008880674,17.14380372868618,93318.08615305524
49,44,19.36,9.3,28.04,25.24,29543.36,33756.52,37132.172,16310.79168,20821.380319999997,6.33948758378557,76.07385100542685,6.613451484786306,79.36141781743567,3572.554208049256,17.323644348653033,94676.73657325032
50,45,19.8,9.3,28.04,25.24,30214.8,33971.68,37368.848,16453.0824,20915.7656,6.2817623198439625,75.38114783812755,6.546996883825308,78.5639626059037,3628.743407217838,17.50148797291331,96035.38699344551
51,45,19.8,9.3,28.04,25.24,30214.8,33971.68,37368.848,16453.0824,20915.7656,6.2817623198439625,75.38114783812755,6.546996883825308,78.5639626059037,3628.743407217838,17.50148797291331,96035.38699344551
52,46,20.24,19.5,50.32,45.29,30886.239999999998,54200.6,59620.659999999996,22964.37312,36656.28688,9.943164400322503,119.31797280387005,10.562198157404273,126.74637788885127,3684.9326063864196,9.727252430457156,97394.03741364063
53,47,20.68,19.5,50.32,45.29,31557.68,54415.759999999995,59857.335999999996,23106.66384,36750.672159999995,9.84127593646153,118.09531123753835,10.452156728531973,125.42588074238368,3741.1218055550025,9.871515147824539,98752.68783383575
54,48,21.12,19.5,50.32,45.29,32229.120000000003,54630.92,60094.012,23248.95456,36845.057440000004,9.758923797841918,117.10708557410302,10.349594006653934,124.19512807984721,3797.311004723585,10.014388602576219,100111.33825403091
55,49,21.56,19.5,50.32,45.29,32900.56,54846.08,60330.688,23391.24528,36939.44272000001,9.675388329439397,116.10465995327276,10.257941844918458,123.09530213902148,3853.5002038921666,10.155902834958397,101469.98867422607
56,50,22.0,19.5,50.32,45.29,33572.0,55061.24,60567.364,23533.536,37033.828,9.588912698564735,115.06695238277683,10.164092643116586,121.96911171739903,3909.6894030607496,10.296086814560113,102828.63909442125
57,51,22.44,19.5,50.32,45.29,34243.44,55276.399999999994,60804.03999999999,23675.82672,37128.213279999996,9.49242859273002,113.90914311276023,10.054713423177226,120.65656107812671,3965.8786022293316,10.434968494882924,104187.28951461636
58,52,22.88,19.5,50.32,45.29,34914.88,55491.56,61040.716,23818.117439999998,37222.59856,9.394243920588139,112.73092704705766,9.938515842116734,119.26219010540082,4022.0678013979145,10.572574859543238,105545.93993481145
59,53,23.32,19.5,50.32,45.29,35586.32,55706.72,61277.392,23960.40816,37316.98384,9.309504874154596,111.71405848985515,9.841374966538774,118.09649959846529,4078.2570005664957,10.708931969566038,106904.59035500667
60,54,23.76,19.5,50.32,45.29,36257.76,55921.88,61514.068,24102.69888,37411.36912,9.22908443413617,110.74901320963406,9.761726997051154,117.14072396461385,4134.446199735079,10.844065004494041,108263.2407752018
61,54,23.76,19.5,50.32,45.29,36257.76,55921.88,61514.068,24102.69888,37411.36912,9.22908443413617,110.74901320963406,9.761726997051154,117.14072396461385,4134.446199735079,10.844065004494041,108263.2407752018
62,55,24.2,19.5,50.32,45.29,36929.2,56137.03999999999,61750.74399999999,24244.989599999997,37505.75439999999,9.141940373948607,109.70328448738329,9.681090960947607,116.17309153137128,4190.635398903661,10.977998304588255,109621.89119539692
63,56,24.64,19.5,50.32,45.29,37600.64,56352.2,61987.42,24387.280319999998,37600.13968,9.045113060302997,108.54135672363597,9.597751520989922,115.17301825187907,4246.824598072243,11.110755408299156,110980.54161559204
64,57,25.080000000000002,19.5,50.32,45.29,38272.08,56567.36,62224.096000000005,24529.57104,37694.52496000001,8.94680807306432,107.36169687677184,9.506141402691743,114.07369683230091,4303.013797240826,11.242359089374077,112339.19203578729
65,58,25.52,19.5,50.32,45.29,38943.52,56782.52,62460.772,24671.86176,37788.91024,8.865294720542442,106.38353664650931,9.409429638993572,112.91315566792287,4359.202996409407,11.372831387416227,113697.84245598238
66,59,25.96,19.5,50.32,45.29,39614.96,56997.68,62697.448000000004,24814.152479999997,37883.29552000001,8.798708121443012,105.58449745731615,9.326235950132594,111.91483140159112,4415.39219557799,11.50219364426448,115056.49287617746
67,60,26.4,19.5,50.32,45.29,40286.4,57212.84,62934.123999999996,24956.443199999998,37977.6808,8.736229252177468,104.83475102612961,9.24937095234746,110.99245142816953,4471.581394746572,11.63046653236961,116415.14329637255
68,61,26.84,19.5,50.32,45.29,40957.84,57428.0,63170.8,25098.73392,38072.066080000004,8.672373693771236,104.06848432525483,9.169408144939192,110.03289773927031,4527.770593915155,11.757670083170524,117773.79371656779
69,62,27.28,19.5,50.32,45.29,41629.28,57643.159999999996,63407.475999999995,25241.02464,38166.45135999999,8.606417971670583,103.277015660047,9.07392502217206,108.88710026606473,4583.959793083736,11.883823714742903,119132.44413676296
70,63,27.72,19.5,50.32,45.29,42300.72,57858.32,63644.152,25383.31536,38260.83664,8.535785573122208,102.4294268774665,8.98372268041996,107.80467216503953,4640.14899225232,12.008946257265052,120491.09455695812
71,63,27.72,19.5,50.32,45.29,42300.72,57858.32,63644.152,25383.31536,38260.83664,8.535785573122208,102.4294268774665,8.98372268041996,107.80467216503953,4640.14899225232,12.008946257265052,120491.09455695812
72,64,28.16,19.5,50.32,45.29,42972.16,58073.479999999996,63880.827999999994,25525.606079999998,38355.221919999996,8.46082882429954,101.52994589159448,8.893111923664064,106.71734308396876,4696.338191420902,12.133055978483753,121849.74497715318
73,65,28.6,19.5,50.32,45.29,43643.6,58288.64,64117.504,25667.896800000002,38449.6072,8.3889091177386,100.66690941286319,8.825195172212114,105.90234206654537,4752.527390589485,12.256170605542138,123208.39539734829
74,66,29.04,19.5,50.32,45.29,44315.04,58503.799999999996,64354.17999999999,25810.18752,38543.99247999999,8.324584533985604,99.89501440782725,8.764984259644612,105.17981111573533,4808.716589758066,12.378307347535156,124567.0458175435
75,67,29.48,19.5,50.32,45.29,44986.48,58718.96,64590.856,25952.47824,38638.37776,8.264818595738921,99.17782314886706,8.703531905898204,104.44238287077845,4864.905788926648,12.499482915154658,125925.6962377386
76,68,29.92,19.5,50.32,45.29,45657.920000000006,58934.119999999995,64827.53199999999,26094.76896,38732.76303999999,8.203443429209608,98.44132115051531,8.64107712926747,103.69292555120965,4921.09498809523,12.61971354324487,127284.3466579338
77,69,30.36,19.5,50.32,45.29,46329.36,59149.28,65064.208,26237.05968,38827.14832,8.136603189565378,97.63923827478453,8.576974203935551,102.92369044722662,4977.284187263813,12.739015006809495,128642.9970781289
78,70,30.8,19.5,50.32,45.29,47000.8,59364.44,65300.884000000005,26379.3504,38921.53360000001,8.064022440718032,96.7682692886164,8.506431505597655,102.07717806717186,5033.473386432396,12.857402639929205,130001.64749832409
79,71,31.24,19.5,50.32,45.29,47672.24,59579.6,65537.56,26521.64112,39015.91888,7.996117563943732,95.95341076732478,8.432705461430821,101.19246553716985,5089.662585600978,12.974891353223938,131360.29791851918
80,72,31.68,19.5,50.32,45.29,48343.68,59794.759999999995,65774.23599999999,26663.93184,39110.304159999985,7.918710066635277,95.02452079962332,8.367207249204588,100.40648699045505,5145.85178476956,13.091495649132412,132718.94833871425
81,72,31.68,19.5,50.32,45.29,48343.68,59794.759999999995,65774.23599999999,26663.93184,39110.304159999985,7.918710066635277,95.02452079962332,8.367207249204588,100.40648699045505,5145.85178476956,13.091495649132412,132718.94833871425
82,73,32.12,19.5,50.32,45.29,49015.119999999995,60009.92,66010.912,26806.22256,39204.68944,7.864909050079844,94.37890860095813,8.30670865903267,99.68050390839205,5202.040983938141,13.207229638646822,134077.59875890947
83,74,32.56,19.5,50.32,45.29,49686.560000000005,60225.08,66247.588,26948.51328,39299.074720000004,7.814966367692545,93.77959641231054,8.2493572274431,98.99228672931721,5258.230183106725,13.322107053681975,135436.2491791047
84,75,33.0,19.5,50.32,45.29,50358.0,60440.24,66484.264,27090.803999999996,39393.46,7.769274470875942,93.2312936505113,8.189534336047734,98.2744120325728,5314.419382275307,13.43614126308239,136794.89959929977
85,76,33.44,19.5,50.32,45.29,51029.439999999995,60655.399999999994,66720.93999999999,27233.09472,39487.84527999999,7.722987544322436,92.67585053186923,8.12242756813184,97.46913081758208,5370.60858144389,13.54934528717422,138153.55001949484
86,77,33.88,19.5,50.32,45.29,51700.880000000005,60870.56,66957.616,27375.38544,39582.230559999996,7.676506540151331,92.11807848181597,8.053632000702857,96.64358400843429,5426.797780612471,13.6617318050412,139512.2004396899
87,78,34.32,19.5,50.32,45.29,52372.32,61085.72,67194.292,27517.67616,39676.61584,7.62870016667675,91.544402000121,7.987043922993647,95.84452707592376,5482.986979781054,13.773313174169743,140870.85085988525
88,79,34.76,19.5,50.32,45.29,53043.759999999995,61300.88,67430.968,27659.96688,39771.00111999999,7.580944909700309,90.97133891640371,7.913899033290598,94.96678839948717,5539.176178949636,13.88410143481451,142229.50128008032
89,80,35.2,19.5,50.32,45.29,53715.200000000004,61516.04,67667.644,27802.2576,39865.3864,7.527937287053327,90.33524744463993,7.86269799491643,94.35237593899716,5595.36537811822,13.994108327460708,143588.15170027546
90,81,35.64,19.5,50.32,45.29,54386.64,61731.2,67904.31999999999,27944.548319999998,39959.77167999999,7.474145062137016,89.68974074564419,7.8146780953909,93.77613714469081,5651.5545772868,14.103345298644854,144946.80212047065
