roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
19,17,7.48,9.6,22.22,20,11414.480000000001,16862.489760000004,16009.30776,-853.1820000000043,-5.059644288258439,8.542609630883552,8.184641120187516,-0.3579685106960362,8.977119325639466,8.613493666835138,-0.3636256588043274,2055.4458304975333,2055.4458304975333,0.0,12.627371716371272,13.327019852295052,0.6996481359237805,57993.17522798151,57993.17522798151,0.0
20,18,7.92,9.99,29.33,26.4,12085.92,20300.58004,19942.05704,-358.52300000000105,-1.766072690009704,9.702533200349501,9.578215978080603,-0.12431722226889796,10.261486113511928,10.12768406858863,-0.13380204492329817,2111.6350296661158,2111.6350296661158,0.0,10.580058961932082,10.799107639468275,0.21904867753619328,59351.82564817665,59351.82564817665,0.0
21,18,7.92,9.99,29.33,26.4,12085.92,20300.58004,19942.05704,-358.52300000000105,-1.766072690009704,9.702533200349501,9.578215978080603,-0.12431722226889796,10.261486113511928,10.12768406858863,-0.13380204492329817,2111.6350296661158,2111.6350296661158,0.0,10.580058961932082,10.799107639468275,0.21904867753619328,59351.82564817665,59351.82564817665,0.0
22,19,8.36,9.99,29.33,26.4,12757.359999999999,20367.069320000002,20041.766320000002,-325.3029999999999,-1.5972008288917625,9.535639277847858,9.40128901503615,-0.13435026281170792,10.083302504019127,9.9339698165186,-0.14933268750052697,2167.8242288346983,2167.8242288346983,0.0,10.837889773392817,11.03819462005049,0.2003048466576729,60710.4760683718,60710.4760683718,0.0
23,20,8.8,9.99,29.33,26.4,13428.800000000001,20433.5586,20141.4756,-292.0829999999987,-1.4294279607273042,9.35422987392698,9.253624737980298,-0.10060513594668308,9.879758281137233,9.77632488852602,-0.10343339261121365,2224.0134280032803,2224.0134280032803,0.0,11.092313031986123,11.273534735664725,0.18122170367860235,62069.12648856692,62069.12648856692,0.0
24,21,9.24,9.99,29.33,26.4,14100.24,20500.04788,20241.18488,-258.86299999999756,-1.2627433921876166,9.199353256605468,9.091147782729443,-0.10820547387602453,9.725004853348993,9.632398460535077,-0.09260639281391647,2280.202627171863,2280.202627171863,0.0,11.343444326485042,11.505251510243397,0.16180718375835568,63427.77690876213,63427.77690876213,0.0
25,22,9.68,9.99,29.33,26.4,14771.68,20566.537159999996,20340.89416,-225.6429999999964,-1.0971365682252578,9.018740183766903,8.913870503004425,-0.10486968076247827,9.566217437943815,9.469212496804996,-0.09700494113881852,2336.391826340445,2336.391826340445,0.0,11.591392740956508,11.73346175783081,0.14206901687430218,64786.42732895725,64786.42732895725,0.0
26,23,10.12,9.99,29.33,26.4,15443.119999999999,20633.02644,20440.60344,-192.4230000000025,-0.9325970698460584,8.84924012719391,8.792192811097136,-0.05704731609677438,9.38558299367315,9.313075902921383,-0.07250709075176687,2392.581025509027,2392.581025509027,0.0,11.836261337157339,11.958276081713848,0.12201474455650896,66145.07774915238,66145.07774915238,0.0
27,24,10.56,9.99,29.33,26.4,16114.560000000001,20699.515720000003,20540.31272,-159.20300000000134,-0.7691146119238838,8.727747196796036,8.680116847064658,-0.04763034973137792,9.23315175387083,9.17309149740492,-0.060060256465909845,2448.770224677609,2448.770224677609,0.0,12.078147601278033,12.179799328441732,0.10165172716369852,67503.7281693475,67503.7281693475,0.0
28,25,11.0,9.99,29.33,26.4,16786.0,20766.005,20640.022,-125.98300000000017,-0.6066790410577295,8.603029389030025,8.560637156212335,-0.04239223281769,9.060864322013057,9.00670591469875,-0.05415840731430599,2504.9594238461914,2504.9594238461914,0.0,12.317143843392842,12.398130989458878,0.08098714606603608,68862.37858954264,68862.37858954264,0.0
29,26,11.44,9.99,29.33,26.4,17457.44,20832.49428,20739.73128,-92.76299999999901,-0.4452803334695024,8.46084217582504,8.425416735714048,-0.035425440110991246,8.885484390599872,8.853789864876063,-0.031694525723809264,2561.148623014774,2561.148623014774,0.0,12.55333756125765,12.613365583820269,0.0600280225626193,70221.02900973783,70221.02900973783,0.0
30,27,11.88,9.99,29.33,26.4,18128.88,20898.98356,20839.440560000003,-59.542999999997846,-0.284908592942105,8.327500501749753,8.309383338260028,-0.01811716348972503,8.762598541009686,8.744563236584975,-0.018035304424710574,2617.3378221833564,2617.3378221833564,0.0,12.786811777914409,12.825592995795887,0.03878121788147837,71579.67942993292,71579.67942993292,0.0
31,27,11.88,9.99,29.33,26.4,18128.88,20898.98356,20839.440560000003,-59.542999999997846,-0.284908592942105,8.327500501749753,8.309383338260028,-0.01811716348972503,8.762598541009686,8.744563236584975,-0.018035304424710574,2617.3378221833564,2617.3378221833564,0.0,12.786811777914409,12.825592995795887,0.03878121788147837,71579.67942993292,71579.67942993292,0.0
32,28,12.32,9.3,28.04,25.24,18800.32,20186.903840000003,20076.85984,-110.04400000000169,-0.5451256957094698,7.908538645011703,7.875135531598999,-0.033403113412703966,8.353660206697691,8.315694070572368,-0.0379661361253234,2673.5270213519384,2673.5270213519384,0.0,13.542807473277207,13.619611899775919,0.07680442649871111,72938.32985012807,72938.32985012807,0.0
33,29,12.76,9.3,28.04,25.24,19471.76,20253.39312,20176.56912,-76.82400000000052,-0.37931421932524323,7.804351809398168,7.784010700611495,-0.02034110878667228,8.23291157723112,8.206010985985168,-0.026900591245951233,2729.716220520521,2729.716220520521,0.0,13.77500439848518,13.828954943164717,0.053950544679537416,74296.9802703232,74296.9802703232,0.0
