roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
84,75,33.0,19.5,50.32,45.29,50358.0,38020.528,40917.79600000001,2897.268000000011,7.620272922038356,7.558345195859967,8.028602245819213,0.47025704995924666,7.891742147170485,8.46811609981917,0.5763739526486846,5314.419382275307,5314.419382275307,0.0,13.952171124401502,12.89582803074154,-1.0563430936599616,136794.89959929977,136794.89959929977,0.0
85,76,33.44,19.5,50.32,45.29,51029.439999999995,38087.01728,41017.505280000005,2930.488000000005,7.694191378800469,7.498308239537949,7.96023721673811,0.46192897720016113,7.8338873987830295,8.401440778476008,0.5675533796929786,5370.60858144389,5370.60858144389,0.0,14.07754647443653,13.005762690590927,-1.0717837838456035,138153.55001949484,138153.55001949484,0.0
86,77,33.88,19.5,50.32,45.29,51700.880000000005,38153.506559999994,41117.21456000001,2963.7080000000133,7.767852203412293,7.435134274239165,7.896790244933477,0.46165597069431197,7.783097407964697,8.342438344357756,0.5593409363930588,5426.797780612471,5426.797780612471,0.0,14.20215684483992,13.114886319090147,-1.0872705257497728,139512.2004396899,139512.2004396899,0.0
87,78,34.32,19.5,50.32,45.29,52372.32,38219.99583999999,41216.92384,2996.9280000000144,7.841256740440334,7.378653341899766,7.847291474358861,0.4686381324590947,7.7324049323830115,8.287434798187565,0.5550298658045536,5482.986979781054,5482.986979781054,0.0,14.32601386186434,13.223211267904844,-1.1028025939594954,140870.85085988525,140870.85085988525,0.0
88,79,34.76,19.5,50.32,45.29,53043.759999999995,38286.48511999999,41316.633120000006,3030.1480000000156,7.914406325111142,7.325998862322348,7.8023651189377015,0.4763662566153535,7.680816060718086,8.232991921508688,0.5521758607906024,5539.176178949636,5539.176178949636,0.0,14.449128845444648,13.330749575834488,-1.118379269610159,142229.50128008032,142229.50128008032,0.0
89,80,35.2,19.5,50.32,45.29,53715.200000000004,38352.97439999999,41416.34240000001,3063.3680000000168,7.987302283392178,7.276907122105482,7.759740023126361,0.4828329010208794,7.627985523970714,8.177214012587664,0.5492284886169498,5595.36537811822,5595.36537811822,0.0,14.571512820839416,13.437512979726307,-1.1339998411131091,143588.15170027546,143588.15170027546,0.0
90,81,35.64,19.5,50.32,45.29,54386.64,38419.46368,41516.051680000004,3096.5880000000034,8.059945932071907,7.227355131242601,7.716028056214511,0.48867292497190995,7.5742240839492005,8.112054682598599,0.5378305986493981,5651.5545772868,5651.5545772868,0.0,14.693176527362084,13.543512923206436,-1.1496636041556485,144946.80212047065,144946.80212047065,0.0
91,81,35.64,19.5,50.32,45.29,54386.64,38419.46368,41516.051680000004,3096.5880000000034,8.059945932071907,7.227355131242601,7.716028056214511,0.48867292497190995,7.5742240839492005,8.112054682598599,0.5378305986493981,5651.5545772868,5651.5545772868,0.0,14.693176527362084,13.543512923206436,-1.1496636041556485,144946.80212047065,144946.80212047065,0.0
92,82,36.08,19.5,50.32,45.29,55058.079999999994,38485.95295999999,41615.76096000001,3129.808000000019,8.132338578839287,7.1770000934092435,7.672588534931553,0.4955884415223091,7.515470368969047,8.048376249736455,0.5329058807674079,5707.7437764553815,5707.7437764553815,0.0,14.814130432205275,13.648760569049045,-1.1653698631562293,146305.4525406658,146305.4525406658,0.0
93,83,36.52,19.5,50.32,45.29,55729.520000000004,38552.442240000004,41715.47024000001,3163.0280000000057,8.2044815223618,7.118279144406607,7.627667187367556,0.509388042960949,7.454697925157014,7.9858435209407075,0.5311455957836939,5763.932975623966,5763.932975623966,0.0,14.93438473335118,13.753266807907494,-1.1811179254436865,147664.10296086082,147664.10296086082,0.0
94,84,36.96,19.5,50.32,45.29,56400.96,38618.931519999984,41815.179520000005,3196.2480000000214,8.276376052363716,7.060017859192356,7.5832191206843405,0.5232012614919848,7.39679496823836,7.916452386566131,0.5196574183277711,5820.122174792547,5820.122174792547,0.0,15.053949377761455,13.857042268500663,-1.196907109260792,149022.75338105604,149022.75338105604,0.0
95,85,37.4,19.5,50.32,45.29,57072.4,38685.4208,41914.88880000001,3229.468000000008,8.348023449702293,7.0052578265928505,7.533569787147619,0.5283119605547686,7.344648196071451,7.86846885334349,0.5238206572720392,5876.311373961131,5876.311373961131,0.0,15.17283406064962,13.960097323433729,-1.2127367372158915,150381.40380125123,150381.40380125123,0.0
96,86,37.84,19.5,50.32,45.29,57743.840000000004,38751.91008,42014.59808000001,3262.688000000009,8.41942498644446,6.943125792979051,7.483704840100876,0.5405790471218257,7.295771340100853,7.822626854665143,0.5268555145642901,5932.500573129712,5932.500573129712,0.0,15.291048240760574,14.062442101567285,-1.228606139193289,151740.05422144648,151740.05422144648,0.0
97,87,38.28,19.5,50.32,45.29,58415.28,38818.399359999996,42114.307360000006,3295.9080000000104,8.490581925941655,6.891734194589286,7.432271849476906,0.5405376548876202,7.248335442419498,7.781227288440847,0.5328918460213483,5988.689772298294,5988.689772298294,0.0,15.408601146191359,14.164086493110517,-1.2445146530808415,153098.7046416414,153098.7046416414,0.0
98,88,38.72,19.5,50.32,45.29,59086.72,38884.88863999999,42214.01664,3329.1280000000115,8.561495522904531,6.848963397971023,7.386101636716343,0.5371382387453201,7.1988278566253365,7.740031115846038,0.5412032592207012,6044.8789714668765,6044.8789714668765,0.0,15.525501781667117,14.265040160535136,-1.2604616211319808,154457.35506183666,154457.35506183666,0.0
99,89,39.160000000000004,19.5,50.32,45.29,59758.16,38951.37791999999,42313.725920000004,3362.3480000000127,8.63216702347667,6.809697461243861,7.3426666958148,0.5329692345709391,7.146333808146038,7.697791996750201,0.5514581886041627,6101.068170635461,6101.068170635461,0.0,15.64175893436186,14.365312541485764,-1.276446392876096,155816.0054820317,155816.0054820317,0.0
100,90,39.6,19.5,50.32,45.29,60429.6,39017.86719999999,42413.43520000001,3395.568000000014,8.702597665307586,6.7727232344827994,7.301893157543476,0.5291699230606763,7.087330517369916,7.655671830413712,0.5683413130437955,6157.257369804041,6157.257369804041,0.0,15.757381186267594,14.464912860421464,-1.29246832584613,157174.65590222692,157174.65590222692,0.0
