roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
20,18,7.92,9.99,29.33,30347.33,29650.609999999997,37250.0,-696.7200000000048,-2.2958197640451554,7599.390000000003,25.629793113868498,13081.482960000001,20300.58004,19534.188039999994,27893.51704
21,18,7.92,9.99,29.33,30347.33,29650.609999999997,37250.0,-696.7200000000048,-2.2958197640451554,7599.390000000003,25.629793113868498,13081.482960000001,20300.58004,19534.188039999994,27893.51704
22,19,8.36,9.99,29.33,30537.13,29867.969999999998,37690.0,-669.1600000000035,-2.191299575303912,7822.0300000000025,26.1886897569537,13223.77368,20367.069320000002,19630.99332,28235.22632
23,20,8.8,9.99,29.33,30726.93,30085.329999999998,38130.0,-641.6000000000022,-2.088070627296649,8044.670000000002,26.739510585391624,13366.0644,20433.5586,19727.7986,28576.9356
24,21,9.24,9.99,29.33,30916.73,30302.689999999995,38570.0,-614.0400000000045,-1.9861091389678163,8267.310000000005,27.28242938168198,13508.35512,20500.04788,19824.603879999995,28918.64488
25,22,9.68,9.99,29.33,31106.53,30520.049999999996,39010.0,-586.4800000000032,-1.8853919096729954,8489.950000000004,27.81761497769501,13650.645840000001,20566.537159999996,19921.409159999992,29260.35416
26,23,10.12,9.99,29.33,31296.33,30737.409999999996,39450.0,-558.9200000000055,-1.7858963015791485,8712.590000000004,28.34523142971384,13792.93656,20633.02644,20018.214439999996,29602.063439999998
27,24,10.56,9.99,29.33,31486.13,30954.769999999997,39890.0,-531.3600000000042,-1.6876002227012472,8935.230000000003,28.865438186101866,13935.22728,20699.515720000003,20115.019719999997,29943.77272
28,25,11.0,9.99,29.33,31675.93,31172.129999999997,40330.0,-503.8000000000029,-1.590482110548934,9157.870000000003,29.378390247955476,14077.518,20766.005,20211.824999999993,30285.482
29,26,11.44,9.99,29.33,31865.73,31389.489999999998,40770.0,-476.2400000000016,-1.4945209163574837,9380.510000000002,29.884238323082034,14219.808719999999,20832.49428,20308.630279999998,30627.19128
30,27,11.88,9.99,29.33,32055.53,31606.85,41210.0,-448.6800000000003,-1.3996960898790327,9603.150000000001,30.383128973624395,14362.09944,20898.98356,20405.435559999998,30968.900560000002
31,27,11.88,9.99,29.33,32055.53,31606.85,41210.0,-448.6800000000003,-1.3996960898790327,9603.150000000001,30.383128973624395,14362.09944,20898.98356,20405.435559999998,30968.900560000002
32,28,12.32,9.3,28.04,31110.04,30627.78,40360.0,-482.26000000000204,-1.550174798875225,9732.220000000001,31.775793087190785,14034.140159999999,20186.903840000003,19656.41784,30361.85984
