roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,old_with_tax,new_pre_tax,new_with_tax,new_vs_old_pre_tax_diff,new_vs_old_with_tax_diff,opt_pre_tax,opt_with_tax,opt_vs_old_pre_tax_diff,opt_vs_old_with_tax_diff,opt_vs_new_pre_tax_diff,opt_vs_new_with_tax_diff
22,19,8.36,9.99,29.33,30537.13,33590.843,30241.4,33265.54,-0.9684276158237514,-0.9684276158237526,29561.559999999998,32517.715999999997,-3.194701008248003,-3.1947010082480043,-2.2480440720337147,-2.2480440720337147
23,20,8.8,9.99,29.33,30726.93,33799.623,30461.4,33507.54,-0.8641605262875232,-0.8641605262875232,29776.719999999998,32754.391999999996,-3.0924339008160033,-3.092433900816004,-2.2476970854918155,-2.247697085491817
24,21,9.24,9.99,29.33,30916.73,34008.403,30681.4,33749.54,-0.7611736428787848,-0.7611736428787836,29991.879999999997,32991.068,-2.9914224434472927,-2.9914224434472834,-2.247355075061777,-2.2473550750617686
25,22,9.68,9.99,29.33,31106.53,34217.183,30901.4,33991.54,-0.659443531631453,-0.6594435316314509,30207.039999999997,33227.744,-2.891643651670571,-2.8916436516705617,-2.2470179344625296,-2.2470179344625225
26,23,10.12,9.99,29.33,31296.33,34425.963,31121.4,34233.54,-0.5589473270508085,-0.5589473270508147,30422.199999999997,33464.42,-2.7930750985818613,-2.7930750985818613,-2.2466855604182467,-2.2466855604182405
27,24,10.56,9.99,29.33,31486.13,34634.743,31341.4,34475.54,-0.4596627149795785,-0.4596627149795837,30637.359999999997,33701.096,-2.695694898039245,-2.695694898039245,-2.2463578525528676,-2.2463578525528627
28,25,11.0,9.99,29.33,31675.93,34843.523,31561.4,34717.54,-0.36156791608012406,-0.3615679160801282,30852.519999999997,33937.772,-2.5994816884618808,-2.5994816884618808,-2.246034713289032,-2.246034713289028
29,26,11.44,9.99,29.33,31865.73,35052.303,31781.4,34959.54,-0.26464166990681876,-0.26464166990682186,31067.679999999997,34174.448,-2.5044146172079,-2.5044146172079,-2.2457160477512157,-2.2457160477512126
30,27,11.88,9.99,29.33,32055.53,35261.083,32001.4,35201.54,-0.16886321954432632,-0.16886321954432837,31282.839999999997,34411.123999999996,-2.410473325507338,-2.410473325507338,-2.245401763672855,-2.2454017636728527
31,27,11.88,9.99,29.33,32055.53,35261.083,32001.4,35201.54,-0.16886321954432632,-0.16886321954432837,31282.839999999997,34411.123999999996,-2.410473325507338,-2.410473325507338,-2.245401763672855,-2.2454017636728527
32,28,12.32,9.3,28.04,31110.04,34221.044,31010.0,34111.0,-0.3215682139913702,-0.32156821399137236,30313.96,33345.356,-2.5589166712739737,-2.5589166712739737,-2.2445662689455044,-2.244566268945502
33,29,12.76,9.3,28.04,31299.84,34429.824,31230.0,34353.0,-0.22313213102686832,-0.2231321310268694,30529.12,33582.032,-2.4623768044820715,-2.4623768044820715,-2.244252321485754,-2.244252321485753
34,30,13.2,9.3,28.04,31489.64,34638.604,31450.0,34595.0,-0.1258826712531468,-0.1258826712531468,30744.28,33818.708,-2.3670007024532533,-2.3670007024532533,-2.243942766295711,-2.243942766295711
35,31,13.64,9.3,28.04,31679.44,34847.384,31670.0,34837.0,-0.029798506539252874,-0.02979850653925183,30959.44,34055.384,-2.272767447909433,-2.272767447909433,-2.243637511840863,-2.243637511840864
36,32,14.08,9.3,28.04,31869.239999999998,35056.164,31890.0,35079.0,0.06514118315969267,0.06514118315969473,31174.6,34292.06,-2.179656621871119,-2.179656621871119,-2.243336469112579,-2.243336469112581
37,33,14.52,9.3,28.04,32059.04,35264.944,32110.0,35321.0,0.15895672484266254,0.15895672484265636,31389.76,34528.736,-2.0876482889069745,-2.0876482889069834,-2.243039551541581,-2.243039551541584
38,34,14.96,9.3,28.04,32248.84,35473.724,32330.0,35563.0,0.2516679669718348,0.2516679669718297,31604.92,34765.412,-1.996722982904197,-1.9967229829042064,-2.242746674914945,-2.242746674914949
39,35,15.4,9.3,28.04,32438.64,35682.504,32550.0,35805.0,0.3432942934722312,0.3432942934722271,31820.08,35002.088,-1.9068616933385547,-1.9068616933385547,-2.242457757296462,-2.2424577572964575
40,36,15.84,9.3,28.04,32628.44,35891.284,32770.0,36047.0,0.433854637242851,0.433854637242848,32035.239999999998,35238.763999999996,-1.8180458520235743,-1.8180458520235834,-2.2421727189502656,-2.242172718950272
41,36,15.84,9.3,28.04,32628.44,35891.284,32770.0,36047.0,0.433854637242851,0.433854637242848,32035.239999999998,35238.763999999996,-1.8180458520235743,-1.8180458520235834,-2.2421727189502656,-2.242172718950272
42,37,16.28,9.3,28.04,32818.24,36100.064,32990.0,36289.0,0.5233674931989103,0.5233674931989082,32250.4,35475.44,-1.7302573203194216,-1.7302573203194216,-2.2418914822673495,-2.2418914822673472
43,38,16.72,9.3,28.04,33008.04,36308.844,33210.0,36531.0,0.611850930864114,0.6118509308641241,32465.559999999998,35712.115999999995,-1.6434783767833632,-1.643478376783361,-2.2416139716952794,-2.2416139716952874
44,39,17.16,9.3,28.04,33197.84,36517.623999999996,33430.0,36773.0,0.699322606531038,0.699322606531038,32680.72,35948.792,-1.5576917052434598,-1.5576917052434598,-2.241340113670353,-2.241340113670353
45,40,17.6,9.3,28.04,33387.64,36726.404,33650.0,37015.0,0.7857997750065611,0.7857997750065531,32895.880000000005,36185.46800000001,-1.4728803832795452,-1.4728803832795452,-2.241069836552735,-2.241069836552727
46,41,18.04,9.3,28.04,33577.44,36935.184,33870.0,37257.0,0.8712993009592085,0.8712993009592125,33111.04,36422.144,-1.3890278710944057,-1.389027871094404,-2.240803070563918,-2.24080307056392
47,42,18.48,9.3,28.04,33767.24,37143.964,34090.0,37499.0,0.9558376698835974,0.9558376698835915,33326.2,36658.82,-1.306118000760503,-1.306118000760501,-2.240539747726615,-2.240539747726607
48,43,18.92,9.3,28.04,33957.04,37352.744,34310.0,37741.0,1.0394309986971748,1.0394309986971808,33541.36,36895.496,-1.224134965827411,-1.2241349658274092,-2.2402798018070516,-2.2402798018070555
49,44,19.36,9.3,28.04,34146.84,37561.524,34530.0,37983.0,1.1220950459837675,1.1220950459837638,33756.52,37132.172,-1.1430633112756545,-1.1430633112756527,-2.2400231682594938,-2.240023168259488
50,45,19.8,9.3,28.04,34336.64,37770.304,34750.0,38225.0,1.2038452218970772,1.203845221897085,33971.68,37368.848,-1.0628879238038407,-1.0628879238038391,-2.239769784172661,-2.2397697841726667
51,45,19.8,9.3,28.04,34336.64,37770.304,34750.0,38225.0,1.2038452218970772,1.203845221897085,33971.68,37368.848,-1.0628879238038407,-1.0628879238038391,-2.239769784172661,-2.2397697841726667
52,46,20.24,19.5,50.32,53687.92,59056.712,55446.0,60990.6,3.2746286315431887,3.2746286315431834,54200.6,59620.659999999996,0.9549261733365724,0.9549261733365662,-2.246149406629877,-2.246149406629878
53,47,20.68,19.5,50.32,53877.72,59265.492,55666.0,61232.6,3.319145650558336,3.319145650558339,54415.759999999995,59857.335999999996,0.9986317164126352,0.9986317164126426,-2.245967017569082,-2.2459670175690776
54,48,21.12,19.5,50.32,54067.520000000004,59474.272000000004,55886.0,61474.6,3.3633501222175455,3.363350122217543,54630.92,60094.012,1.0420304093844033,1.0420304093844106,-2.245786064488426,-2.2457860644884167
55,49,21.56,19.5,50.32,54257.32,59683.051999999996,56106.0,61716.6,3.407245326529214,3.407245326529217,54846.08,60330.688,1.085125472470815,1.0851254724708213,-2.245606530495844,-2.2456065304958415
56,50,22.0,19.5,50.32,54447.119999999995,59891.831999999995,56326.0,61958.6,3.450834497765914,3.4508344977659124,55061.24,60567.364,1.1279200809886778,1.127920080988684,-2.2454283989631825,-2.245428398963174
57,51,22.44,19.5,50.32,54636.92,60100.612,56546.0,62200.6,3.494120825258821,3.4941208252588134,55276.399999999994,60804.03999999999,1.170417366132637,1.170417366132632,-2.2452516535210374,-2.245251653521035
58,52,22.88,19.5,50.32,54826.72,60309.392,56766.0,62442.6,3.537107454175626,3.537107454175626,55491.56,61040.716,1.212620415738889,1.212620415738896,-2.2450762780537685,-2.2450762780537614
59,53,23.32,19.5,50.32,55016.520000000004,60518.172000000006,56986.0,62684.6,3.579797486282294,3.579797486282289,55706.72,61277.392,1.254532275033021,1.2545322750330161,-2.2449022566946244,-2.2449022566946244
60,54,23.76,19.5,50.32,55206.32,60726.952,57206.0,62926.6,3.622193980689168,3.622193980689169,55921.88,61514.068,1.2961559473625441,1.2961559473625512,-2.2447295738209325,-2.2447295738209267
61,54,23.76,19.5,50.32,55206.32,60726.952,57206.0,62926.6,3.622193980689168,3.622193980689169,55921.88,61514.068,1.2961559473625441,1.2961559473625512,-2.2447295738209325,-2.2447295738209267
62,55,24.2,19.5,50.32,55396.119999999995,60935.731999999996,57426.0,63168.6,3.664299954581665,3.66429995458166,56137.03999999999,61750.74399999999,1.337494394914298,1.337494394914293,-2.2445582140493965,-2.2445582140493965
63,56,24.64,19.5,50.32,55585.92,61144.512,57646.0,63410.6,3.7061183839360794,3.7061183839360696,56352.2,61987.42,1.378550539417174,1.378550539417169,-2.2443881622315565,-2.2443881622315516
64,57,25.080000000000002,19.5,50.32,55775.72,61353.292,57866.0,63652.6,3.747652204220759,3.7476522042207567,56567.36,62224.096000000005,1.4193272628304923,1.4193272628304994,-2.2442194034493474,-2.244219403449338
65,58,25.52,19.5,50.32,55965.520000000004,61562.07200000001,58086.0,63894.6,3.7889043110829594,3.7889043110829514,56782.52,62460.772,1.4598274080183524,1.4598274080183489,-2.244051923010714,-2.2440519230107103
66,59,25.96,19.5,50.32,56155.32,61770.852,58306.0,64136.6,3.829877561021824,3.8298775610218225,56997.68,62697.448000000004,1.5000537794103934,1.5000537794104005,-2.2438857064453055,-2.2438857064452975
67,60,26.4,19.5,50.32,56345.119999999995,61979.632,58526.0,64378.6,3.870574772047703,3.870574772047696,57212.84,62934.123999999996,1.5400091436489995,1.5400091436489949,-2.243720739500399,-2.2437207395003966
68,61,26.84,19.5,50.32,56534.92,62188.412,58746.0,64620.6,3.9109987243282593,3.9109987243282593,57428.0,63170.8,1.5796962302237303,1.5796962302237376,-2.243557008136724,-2.2435570081367175
69,62,27.28,19.5,50.32,56724.72,62397.192,58966.0,64862.6,3.951152160821594,3.951152160821589,57643.159999999996,63407.475999999995,1.6191177320928074,1.6191177320928034,-2.2433944985245797,-2.243394498524579
70,63,27.72,19.5,50.32,56914.520000000004,62605.97200000001,59186.0,65104.6,3.9910377878966488,3.991037787896639,57858.32,63644.152,1.6582763062923056,1.658276306292302,-2.243233197039841,-2.2432331970398356
71,63,27.72,19.5,50.32,56914.520000000004,62605.97200000001,59186.0,65104.6,3.9910377878966488,3.991037787896639,57858.32,63644.152,1.6582763062923056,1.658276306292302,-2.243233197039841,-2.2432331970398356
72,64,28.16,19.5,50.32,57104.32,62814.752,59406.0,65346.6,4.030658275941295,4.030658275941292,58073.479999999996,63880.827999999994,1.6971745745330584,1.697174574533055,-2.24307309026025,-2.24307309026025
73,65,28.6,19.5,50.32,57294.119999999995,63023.53199999999,59626.0,65588.6,4.0700162599582725,4.070016259958287,58288.64,64117.504,1.735815123785834,1.7358151237858408,-2.242914164961595,-2.2429141649616016
74,66,29.04,19.5,50.32,57483.92,63232.312,59846.0,65830.6,4.109114340149388,4.109114340149397,58503.799999999996,64354.17999999999,1.7742005068547821,1.7742005068547788,-2.242756408114167,-2.242756408114179
75,67,29.48,19.5,50.32,57673.719999999994,63441.09199999999,60066.0,66072.6,4.1479550824881875,4.1479550824882025,58718.96,64590.856,1.8123332429397745,1.8123332429397814,-2.242599806879101,-2.2425998068791086
76,68,29.92,19.5,50.32,57863.52,63649.871999999996,60286.0,66314.6,4.186541019281238,4.186541019281249,58934.119999999995,64827.53199999999,1.8502158181873463,1.8502158181873427,-2.2424443486049905,-2.2424443486050034
77,69,30.36,19.5,50.32,58053.31999999999,63858.651999999995,60506.0,66556.6,4.224874649718583,4.224874649718587,59149.28,65064.208,1.8878506862312208,1.8878506862312163,-2.2422900208243832,-2.242290020824391
78,70,30.8,19.5,50.32,58243.119999999995,64067.43199999999,60726.0,66798.6,4.262958440413228,4.2629584404132395,59364.44,65300.884000000005,1.9252402687218801,1.925240268721887,-2.2421368112505315,-2.2421368112505355
79,71,31.24,19.5,50.32,58432.92,64276.212,60946.0,67040.6,4.300794825930318,4.300794825930324,59579.6,65537.56,1.962386955846123,1.9623869558461196,-2.2419847077740975,-2.241984707774107
80,72,31.68,19.5,50.32,58622.719999999994,64484.99199999999,61166.0,67282.6,4.338386209305891,4.338386209305903,59794.759999999995,65774.23599999999,1.9992931068363955,1.9992931068363922,-2.241833698459937,-2.2418336984599523
81,72,31.68,19.5,50.32,58622.719999999994,64484.99199999999,61166.0,67282.6,4.338386209305891,4.338386209305903,59794.759999999995,65774.23599999999,1.9992931068363955,1.9992931068363922,-2.241833698459937,-2.2418336984599523
82,73,32.12,19.5,50.32,58812.52,64693.772,61386.0,67524.6,4.3757349625555975,4.3757349625556055,60009.92,66010.912,2.035961050470209,2.0359610504702053,-2.241683771544003,-2.2416837715440137
83,74,32.56,19.5,50.32,59002.31999999999,64902.551999999996,61606.0,67766.6,4.4128434271737245,4.412843427173726,60225.08,66247.588,2.0723930855600416,2.072393085560037,-2.241534915430312,-2.241534915430319
84,75,33.0,19.5,50.32,59192.119999999995,65111.331999999995,61826.0,68008.6,4.449713914622428,4.4497139146224365,60440.24,66484.264,2.108591481433682,2.108591481433679,-2.241387118687934,-2.2413871186879453
85,76,33.44,19.5,50.32,59381.92,65320.112,62046.0,68250.6,4.486348706811773,4.4863487068117776,60655.399999999994,66720.93999999999,2.1445584784055414,2.1445584784055285,-2.2412403700480383,-2.241240370048055
86,77,33.88,19.5,50.32,59571.719999999994,65528.89199999999,62266.0,68492.6,4.5227500565704775,4.522750056570487,60870.56,66957.616,2.180296288238788,2.180296288238785,-2.241094658401057,-2.24109465840107
87,78,34.32,19.5,50.32,59761.52,65737.67199999999,62486.0,68734.6,4.55892018810767,4.558920188107688,61085.72,67194.292,2.2158070945986723,2.2158070945986803,-2.2409499727939037,-2.240949972793912
88,79,34.76,19.5,50.32,59951.31999999999,65946.45199999999,62706.0,68976.6,4.594861297466024,4.594861297466036,61300.88,67430.968,2.2510930534974127,2.2510930534974096,-2.2408063024272042,-2.2408063024272176
89,80,35.2,19.5,50.32,60141.119999999995,66155.23199999999,62926.0,69218.6,4.630575552966098,4.630575552966117,61516.04,67667.644,2.2861562937304885,2.2861562937304964,-2.2406636366525747,-2.2406636366525836
90,81,35.64,19.5,50.32,60330.92,66364.012,63146.0,69460.6,4.6660650956425025,4.666065095642505,61731.2,67904.31999999999,2.3209989173047565,2.3209989173047436,-2.240521964970074,-2.2405219649700885
91,81,35.64,19.5,50.32,60330.92,66364.012,63146.0,69460.6,4.6660650956425025,4.666065095642505,61731.2,67904.31999999999,2.3209989173047565,2.3209989173047436,-2.240521964970074,-2.2405219649700885
92,82,36.08,19.5,50.32,60520.719999999994,66572.79199999999,63366.0,69702.6,4.701332039671713,4.701332039671732,61946.36,68140.996,2.3556229998585723,2.35562299985858,-2.2403812770255334,-2.2403812770255436
93,83,36.52,19.5,50.32,60710.52,66781.572,63586.0,69944.6,4.736378472791871,4.736378472791873,62161.520000000004,68377.672,2.3900305910738493,2.3900305910738457,-2.240241562608115,-2.240241562608121
94,84,36.96,19.5,50.32,60900.31999999999,66990.35199999998,63806.0,70186.6,4.771206456714855,4.771206456714874,62376.67999999999,68614.348,2.4242237150806445,2.4242237150806645,-2.2401028116478185,-2.240102811647818
95,85,37.4,19.5,50.32,61090.119999999995,67199.132,64026.0,70428.6,4.805818027530482,4.805818027530487,62591.84,68851.02399999999,2.458204370854078,2.4582043708540646,-2.2399650142129817,-2.2399650142129977
96,86,37.84,19.5,50.32,61279.92,67407.912,64246.0,70670.6,4.840215196103392,4.840215196103403,62807.0,69087.7,2.4919745326038316,2.4919745326038294,-2.239828160508047,-2.2398281605080594
97,87,38.28,19.5,50.32,61469.719999999994,67616.692,64466.0,70912.6,4.8743999484624405,4.874399948462446,63022.16,69324.376,2.525536150156548,2.5255361501565448,-2.2396922408711517,-2.2396922408711597
98,88,38.72,19.5,50.32,61659.52,67825.472,64686.0,71154.6,4.908374246182914,4.908374246182926,63237.31999999999,69561.052,2.558891149331029,2.5588911493310387,-2.239557245771894,-2.239557245771896
99,89,39.160000000000004,19.5,50.32,61849.31999999999,68034.252,64906.0,71396.6,4.942140026761828,4.942140026761834,63452.479999999996,69797.728,2.5920414323067797,2.5920414323067886,-2.2394231658090225,-2.2394231658090202
100,90,39.6,19.5,50.32,62039.119999999995,68243.03199999999,65126.0,71638.6,4.975699203986138,4.975699203986151,63667.64,70034.404,2.6249888779853814,2.624988877985379,-2.2392899917083815,-2.2392899917083953
