scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,inverter_kw,battery_kwh,pre_tax_total,total_with_tax,subsidy,final_price
极低参数,50,50,100,新建系统,NSW,94,36.96,19.5,50.32,7855.0,8640.5,28371.42048,-19730.92048
极低参数,50,50,100,新建系统,NSW,95,37.4,19.5,50.32,7877.0,8664.7,28513.711199999998,-19849.011199999997
极低参数,50,50,100,新建系统,NSW,96,37.84,19.5,50.32,7899.0,8688.9,28656.00192,-19967.10192
极低参数,50,50,100,新建系统,NSW,97,38.28,19.5,50.32,7921.0,8713.1,28798.29264,-20085.19264
极低参数,50,50,100,新建系统,NSW,98,38.72,19.5,50.32,7943.0,8737.3,28940.58336,-20203.28336
极低参数,50,50,100,新建系统,NSW,99,39.160000000000004,19.5,50.32,7965.0,8761.5,29082.87408,-20321.37408
极低参数,50,50,100,新建系统,NSW,100,39.6,19.5,50.32,7987.0,8785.7,29225.1648,-20439.464799999998
极低参数,50,50,100,新建系统,VIC,1,0.0,19.5,50.32,6007.0,6607.7,19219.0,-12611.3
极低参数,50,50,100,新建系统,VIC,2,0.44,8,22.44,2666.0,2932.6,10235.29072,-7302.6907200000005
极低参数,50,50,100,新建系统,VIC,3,0.88,8,22.44,2688.0,2956.8,10377.58144,-7420.78144
极低参数,50,50,100,新建系统,VIC,4,1.32,8,22.44,2710.0,2981.0,10519.872159999999,-7538.872159999999
极低参数,50,50,100,新建系统,VIC,5,1.76,8,22.44,2732.0,3005.2,10662.16288,-7656.96288
极低参数,50,50,100,新建系统,VIC,6,2.2,8,22.44,2754.0,3029.4,10804.4536,-7775.053600000001
极低参数,50,50,100,新建系统,VIC,7,2.64,8,22.44,2776.0,3053.6,10946.74432,-7893.144319999999
极低参数,50,50,100,新建系统,VIC,8,3.08,8,22.44,2798.0,3077.8,11089.035039999999,-8011.235039999999
极低参数,50,50,100,新建系统,VIC,9,3.52,8,22.44,2820.0,3102.0,11231.32576,-8129.32576
极低参数,50,50,100,新建系统,VIC,10,3.96,8,22.44,2842.0,3126.2,11373.61648,-8247.41648
极低参数,50,50,100,新建系统,VIC,11,3.96,8,22.44,2842.0,3126.2,11373.61648,-8247.41648
极低参数,50,50,100,新建系统,VIC,12,4.4,8,22.44,2864.0,3150.4,11515.9072,-8365.5072
极低参数,50,50,100,新建系统,VIC,13,4.84,8,22.44,2886.0,3174.6,11658.19792,-8483.59792
极低参数,50,50,100,新建系统,VIC,14,5.28,9.6,22.22,2966.0,3262.6,11761.48864,-8498.88864
极低参数,50,50,100,新建系统,VIC,15,5.72,9.6,22.22,2988.0,3286.8,11903.77936,-8616.979360000001
极低参数,50,50,100,新建系统,VIC,16,6.16,9.6,22.22,3010.0,3311.0,12046.07008,-8735.07008
极低参数,50,50,100,新建系统,VIC,17,6.6,9.6,22.22,3032.0,3335.2,12188.360799999999,-8853.160799999998
极低参数,50,50,100,新建系统,VIC,18,7.04,9.6,22.22,3054.0,3359.4,12330.65152,-8971.25152
极低参数,50,50,100,新建系统,VIC,19,7.48,9.6,22.22,3076.0,3383.6,12472.94224,-9089.34224
极低参数,50,50,100,新建系统,VIC,20,7.92,9.99,29.33,3828.5,4211.35,14916.232960000001,-10704.88296
极低参数,50,50,100,新建系统,VIC,21,7.92,9.99,29.33,3828.5,4211.35,14916.232960000001,-10704.88296
极低参数,50,50,100,新建系统,VIC,22,8.36,9.99,29.33,3850.5,4235.55,15058.52368,-10822.97368
极低参数,50,50,100,新建系统,VIC,23,8.8,9.99,29.33,3872.5,4259.75,15200.8144,-10941.0644
极低参数,50,50,100,新建系统,VIC,24,9.24,9.99,29.33,3894.5,4283.95,15343.10512,-11059.15512
极低参数,50,50,100,新建系统,VIC,25,9.68,9.99,29.33,3916.5,4308.15,15485.395840000001,-11177.245840000001
极低参数,50,50,100,新建系统,VIC,26,10.12,9.99,29.33,3938.5,4332.35,15627.68656,-11295.33656
极低参数,50,50,100,新建系统,VIC,27,10.56,9.99,29.33,3960.5,4356.55,15769.97728,-11413.42728
