房屋ID,原始州,计算州,方案类型,PV容量_kW,面板数量,电池容量_kWh,投资成本,年用电量_kWh,年发电量_kWh,年自用量_kWh,自用率,回本周期_年,简单回本_年,贴现回本_年,IRR,投资年限,总节省
1,QLD,ACT,平衡型,0.88,2,6.6,4653,8632,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,NSW,经济型,0.88,2,4.4,3275,7778,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,VIC,经济型,0.88,2,4.4,3275,6778,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,QLD,经济型,0.88,2,4.4,3275,7270,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,SA,经济型,0.88,2,4.4,3275,7129,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,WA,经济型,0.88,2,4.4,3275,7634,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,TAS,经济型,0.88,2,4.4,3275,10148,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,NT,经济型,0.88,2,4.4,3275,10008,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
1,QLD,ACT,经济型,0.88,2,4.4,3275,8632,1302.59,1302.59,100.00%,6.40,6.40,6.72,16.32%,20,13174.40
2,QLD,NSW,高端型,1.76,4,9.1,6411,7778,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,VIC,高端型,1.76,4,9.1,6411,6778,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,QLD,高端型,1.76,4,9.1,6411,7270,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,SA,高端型,1.76,4,9.1,6411,7129,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,WA,高端型,1.76,4,9.1,6411,7634,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,TAS,高端型,1.76,4,9.1,6411,10148,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,NT,高端型,1.76,4,9.1,6411,10008,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,ACT,高端型,1.76,4,9.1,6411,8632,2605.19,2605.19,100.00%,6.27,6.27,6.59,16.68%,20,26348.81
2,QLD,NSW,平衡型,1.76,4,6.6,4864,7778,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,VIC,平衡型,1.76,4,6.6,4864,6778,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,QLD,平衡型,1.76,4,6.6,4864,7270,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,SA,平衡型,1.76,4,6.6,4864,7129,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,WA,平衡型,1.76,4,6.6,4864,7634,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,TAS,平衡型,1.76,4,6.6,4864,10148,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,NT,平衡型,1.76,4,6.6,4864,10008,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,ACT,平衡型,1.76,4,6.6,4864,8632,2605.19,2605.19,100.00%,4.91,4.91,5.05,21.87%,20,26348.81
2,QLD,NSW,经济型,1.76,4,4.4,3486,7778,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,VIC,经济型,1.76,4,4.4,3486,6778,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,QLD,经济型,1.76,4,4.4,3486,7270,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,SA,经济型,1.76,4,4.4,3486,7129,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,WA,经济型,1.76,4,4.4,3486,7634,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,TAS,经济型,1.76,4,4.4,3486,10148,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,NT,经济型,1.76,4,4.4,3486,10008,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
2,QLD,ACT,经济型,1.76,4,4.4,3486,8632,2605.19,2605.19,100.00%,3.62,3.62,3.71,29.85%,20,26348.81
3,QLD,NSW,高端型,7.92,18,11.9,10879,7778,11723.34,7282.87,62.12%,3.58,3.58,3.66,29.98%,20,82640.07
3,QLD,VIC,高端型,7.92,18,11.9,10879,6778,11723.34,6599.27,56.29%,3.81,3.81,3.92,28.12%,20,77104.08
3,QLD,QLD,高端型,7.92,18,11.9,10879,7270,11723.34,7196.55,61.39%,3.61,3.61,3.70,29.75%,20,81931.77
3,QLD,SA,高端型,7.92,18,11.9,10879,7129,11723.34,6861.97,58.53%,3.71,3.71,3.81,28.84%,20,79228.78
3,QLD,WA,高端型,7.92,18,11.9,10879,7634,11723.34,7343.23,62.64%,3.56,3.56,3.64,30.14%,20,83123.14
3,QLD,TAS,高端型,7.92,18,11.9,10879,10148,11723.34,8198.56,69.93%,3.30,3.30,3.37,32.45%,20,90051.26
3,QLD,NT,高端型,7.92,18,11.9,10879,10008,11723.34,8426.59,71.88%,3.23,3.23,3.31,33.06%,20,91896.38
3,QLD,ACT,高端型,7.92,18,11.9,10879,8632,11723.34,7346.07,62.66%,3.56,3.56,3.64,30.15%,20,83153.75
3,QLD,NSW,平衡型,7.92,18,7.9,8398,7778,11723.34,5916.60,50.47%,3.20,3.20,3.27,33.34%,20,71586.42
3,QLD,VIC,平衡型,7.92,18,7.9,8398,6778,11723.34,5582.19,47.62%,3.33,3.33,3.41,32.18%,20,68880.91
3,QLD,QLD,平衡型,7.92,18,7.9,8398,7270,11723.34,5982.19,51.03%,3.17,3.17,3.24,33.56%,20,72112.29
3,QLD,SA,平衡型,7.92,18,7.9,8398,7129,11723.34,5662.72,48.30%,3.29,3.29,3.37,32.46%,20,69532.44
3,QLD,WA,平衡型,7.92,18,7.9,8398,7634,11723.34,6124.80,52.24%,3.13,3.13,3.20,34.06%,20,73270.88
3,QLD,TAS,平衡型,7.92,18,7.9,8398,10148,11723.34,6774.53,57.79%,2.94,2.94,3.00,36.30%,20,78527.55
3,QLD,NT,平衡型,7.92,18,7.9,8398,10008,11723.34,7028.94,59.96%,2.87,2.87,2.93,37.18%,20,80585.85
3,QLD,ACT,平衡型,7.92,18,7.9,8398,8632,11723.34,5886.07,50.21%,3.21,3.21,3.29,33.23%,20,71339.44
3,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,2.83,2.83,2.88,37.68%,20,59583.77
3,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,2.96,2.96,3.01,36.11%,20,56895.10
3,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,2.81,2.81,2.86,38.01%,20,60154.70
3,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,2.92,2.92,2.98,36.50%,20,57569.16
3,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,2.75,2.75,2.81,38.62%,20,61215.30
3,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.56,2.56,2.60,41.56%,20,66275.65
3,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.49,2.49,2.53,42.76%,20,68350.03
3,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,2.84,2.84,2.90,37.49%,20,59267.28
4,QLD,NSW,高端型,3.96,9,9.1,7554,7778,5861.67,5616.54,95.82%,3.60,3.60,3.69,29.95%,20,57304.43
4,QLD,VIC,高端型,3.96,9,9.1,7554,6778,5861.67,5425.99,92.57%,3.69,3.69,3.78,29.20%,20,55762.27
4,QLD,QLD,高端型,3.96,9,9.1,7554,7270,5861.67,5777.88,98.57%,3.52,3.52,3.61,30.57%,20,58606.94
4,QLD,SA,高端型,3.96,9,9.1,7554,7129,5861.67,5475.01,93.40%,3.67,3.67,3.76,29.39%,20,56158.79
4,QLD,WA,高端型,3.96,9,9.1,7554,7634,5861.67,5722.00,97.62%,3.55,3.55,3.64,30.36%,20,58157.61
4,QLD,TAS,高端型,3.96,9,9.1,7554,10148,5861.67,5861.67,100.00%,3.47,3.47,3.57,30.90%,20,59284.81
4,QLD,NT,高端型,3.96,9,9.1,7554,10008,5861.67,5861.67,100.00%,3.47,3.47,3.57,30.90%,20,59284.81
4,QLD,ACT,高端型,3.96,9,9.1,7554,8632,5861.67,5572.08,95.06%,3.62,3.62,3.71,29.77%,20,56944.56
4,QLD,NSW,平衡型,3.96,9,6.6,6007,7778,5861.67,5022.83,85.69%,3.12,3.12,3.19,34.11%,20,52499.00
4,QLD,VIC,平衡型,3.96,9,6.6,6007,6778,5861.67,4791.37,81.74%,3.23,3.23,3.31,32.99%,20,50625.63
4,QLD,QLD,平衡型,3.96,9,6.6,6007,7270,5861.67,5214.13,88.95%,3.04,3.04,3.10,35.03%,20,54042.61
4,QLD,SA,平衡型,3.96,9,6.6,6007,7129,5861.67,4851.12,82.76%,3.20,3.20,3.28,33.28%,20,51109.33
4,QLD,WA,平衡型,3.96,9,6.6,6007,7634,5861.67,5148.62,87.84%,3.07,3.07,3.13,34.72%,20,53516.66
4,QLD,TAS,平衡型,3.96,9,6.6,6007,10148,5861.67,5464.93,93.23%,2.95,2.95,3.00,36.25%,20,56075.95
4,QLD,NT,平衡型,3.96,9,6.6,6007,10008,5861.67,5612.38,95.75%,2.89,2.89,2.95,36.95%,20,57268.97
4,QLD,ACT,平衡型,3.96,9,6.6,6007,8632,5861.67,4960.75,84.63%,3.15,3.15,3.22,33.81%,20,51996.74
4,QLD,NSW,经济型,3.96,9,4.4,4629,7778,5861.67,4382.46,74.76%,2.70,2.70,2.75,39.40%,20,47316.02
4,QLD,VIC,经济型,3.96,9,4.4,4629,6778,5861.67,4102.35,69.99%,2.83,2.83,2.89,37.66%,20,45049.57
4,QLD,QLD,经济型,3.96,9,4.4,4629,7270,5861.67,4523.66,77.17%,2.64,2.64,2.69,40.28%,20,48454.06
4,QLD,SA,经济型,3.96,9,4.4,4629,7129,5861.67,4183.82,71.38%,2.79,2.79,2.84,38.17%,20,45708.85
4,QLD,WA,经济型,3.96,9,4.4,4629,7634,5861.67,4535.41,77.37%,2.64,2.64,2.68,40.35%,20,48553.35
4,QLD,TAS,经济型,3.96,9,4.4,4629,10148,5861.67,4922.57,83.98%,2.49,2.49,2.53,42.75%,20,51686.55
4,QLD,NT,经济型,3.96,9,4.4,4629,10008,5861.67,5084.80,86.75%,2.42,2.42,2.47,43.76%,20,52999.29
4,QLD,ACT,经济型,3.96,9,4.4,4629,8632,5861.67,4307.64,73.49%,2.73,2.73,2.79,38.94%,20,46710.86
5,QLD,NSW,高端型,11.88,27,17.8,16106,7778,17585.01,7779.87,44.24%,4.39,4.39,4.51,24.52%,20,98513.25
5,QLD,VIC,高端型,11.88,27,17.8,16106,6778,17585.01,6779.02,38.55%,4.73,4.73,4.89,22.62%,20,90415.96
5,QLD,QLD,高端型,11.88,27,17.8,16106,7270,17585.01,7269.13,41.34%,4.56,4.56,4.70,23.56%,20,94369.05
5,QLD,SA,高端型,11.88,27,17.8,16106,7129,17585.01,7130.00,40.55%,4.60,4.60,4.74,23.29%,20,93255.54
5,QLD,WA,高端型,11.88,27,17.8,16106,7634,17585.01,7635.37,43.42%,4.44,4.44,4.56,24.25%,20,97344.25
5,QLD,TAS,高端型,11.88,27,17.8,16106,10148,17585.01,9879.02,56.18%,3.77,3.77,3.87,28.43%,20,115495.21
5,QLD,NT,高端型,11.88,27,17.8,16106,10008,17585.01,9853.74,56.03%,3.77,3.77,3.88,28.38%,20,115291.81
5,QLD,ACT,高端型,11.88,27,17.8,16106,8632,17585.01,8522.74,48.47%,4.14,4.14,4.26,25.92%,20,104523.49
5,QLD,NSW,平衡型,10.12,23,10.1,10585,7778,14979.83,6786.74,45.31%,3.39,3.39,3.47,31.63%,20,85214.76
5,QLD,VIC,平衡型,10.12,23,10.1,10585,6778,14979.83,6359.33,42.45%,3.53,3.53,3.61,30.45%,20,81754.40
5,QLD,QLD,平衡型,10.12,23,10.1,10585,7270,14979.83,6849.88,45.73%,3.36,3.36,3.44,31.80%,20,85720.60
5,QLD,SA,平衡型,10.12,23,10.1,10585,7129,14979.83,6523.02,43.55%,3.47,3.47,3.55,30.90%,20,83080.31
5,QLD,WA,平衡型,10.12,23,10.1,10585,7634,14979.83,6989.46,46.66%,3.32,3.32,3.40,32.19%,20,86854.22
5,QLD,TAS,平衡型,10.12,23,10.1,10585,10148,14979.83,7669.80,51.20%,3.13,3.13,3.20,34.06%,20,92359.07
5,QLD,NT,平衡型,10.12,23,10.1,10585,10008,14979.83,7926.55,52.91%,3.07,3.07,3.13,34.77%,20,94436.27
5,QLD,ACT,平衡型,10.12,23,10.1,10585,8632,14979.83,6767.48,45.18%,3.39,3.39,3.48,31.58%,20,85058.90
5,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,2.83,2.83,2.88,37.68%,20,59583.77
5,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,2.96,2.96,3.01,36.11%,20,56895.10
5,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,2.81,2.81,2.86,38.01%,20,60154.70
5,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,2.92,2.92,2.98,36.50%,20,57569.16
5,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,2.75,2.75,2.81,38.62%,20,61215.30
5,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.56,2.56,2.60,41.56%,20,66275.65
5,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.49,2.49,2.53,42.76%,20,68350.03
5,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,2.84,2.84,2.90,37.49%,20,59267.28
6,QLD,NSW,高端型,3.96,9,9.1,7554,7778,5861.67,5616.54,95.82%,3.60,3.60,3.69,29.95%,20,57304.43
6,QLD,VIC,高端型,3.96,9,9.1,7554,6778,5861.67,5425.99,92.57%,3.69,3.69,3.78,29.20%,20,55762.27
6,QLD,QLD,高端型,3.96,9,9.1,7554,7270,5861.67,5777.88,98.57%,3.52,3.52,3.61,30.57%,20,58606.94
6,QLD,SA,高端型,3.96,9,9.1,7554,7129,5861.67,5475.01,93.40%,3.67,3.67,3.76,29.39%,20,56158.79
6,QLD,WA,高端型,3.96,9,9.1,7554,7634,5861.67,5722.00,97.62%,3.55,3.55,3.64,30.36%,20,58157.61
6,QLD,TAS,高端型,3.96,9,9.1,7554,10148,5861.67,5861.67,100.00%,3.47,3.47,3.57,30.90%,20,59284.81
6,QLD,NT,高端型,3.96,9,9.1,7554,10008,5861.67,5861.67,100.00%,3.47,3.47,3.57,30.90%,20,59284.81
6,QLD,ACT,高端型,3.96,9,9.1,7554,8632,5861.67,5572.08,95.06%,3.62,3.62,3.71,29.77%,20,56944.56
6,QLD,NSW,平衡型,3.96,9,6.6,6007,7778,5861.67,5022.83,85.69%,3.12,3.12,3.19,34.11%,20,52499.00
6,QLD,VIC,平衡型,3.96,9,6.6,6007,6778,5861.67,4791.37,81.74%,3.23,3.23,3.31,32.99%,20,50625.63
6,QLD,QLD,平衡型,3.96,9,6.6,6007,7270,5861.67,5214.13,88.95%,3.04,3.04,3.10,35.03%,20,54042.61
6,QLD,SA,平衡型,3.96,9,6.6,6007,7129,5861.67,4851.12,82.76%,3.20,3.20,3.28,33.28%,20,51109.33
6,QLD,WA,平衡型,3.96,9,6.6,6007,7634,5861.67,5148.62,87.84%,3.07,3.07,3.13,34.72%,20,53516.66
6,QLD,TAS,平衡型,3.96,9,6.6,6007,10148,5861.67,5464.93,93.23%,2.95,2.95,3.00,36.25%,20,56075.95
6,QLD,NT,平衡型,3.96,9,6.6,6007,10008,5861.67,5612.38,95.75%,2.89,2.89,2.95,36.95%,20,57268.97
6,QLD,ACT,平衡型,3.96,9,6.6,6007,8632,5861.67,4960.75,84.63%,3.15,3.15,3.22,33.81%,20,51996.74
6,QLD,NSW,经济型,3.96,9,4.4,4629,7778,5861.67,4382.46,74.76%,2.70,2.70,2.75,39.40%,20,47316.02
6,QLD,VIC,经济型,3.96,9,4.4,4629,6778,5861.67,4102.35,69.99%,2.83,2.83,2.89,37.66%,20,45049.57
6,QLD,QLD,经济型,3.96,9,4.4,4629,7270,5861.67,4523.66,77.17%,2.64,2.64,2.69,40.28%,20,48454.06
6,QLD,SA,经济型,3.96,9,4.4,4629,7129,5861.67,4183.82,71.38%,2.79,2.79,2.84,38.17%,20,45708.85
6,QLD,WA,经济型,3.96,9,4.4,4629,7634,5861.67,4535.41,77.37%,2.64,2.64,2.68,40.35%,20,48553.35
6,QLD,TAS,经济型,3.96,9,4.4,4629,10148,5861.67,4922.57,83.98%,2.49,2.49,2.53,42.75%,20,51686.55
6,QLD,NT,经济型,3.96,9,4.4,4629,10008,5861.67,5084.80,86.75%,2.42,2.42,2.47,43.76%,20,52999.29
6,QLD,ACT,经济型,3.96,9,4.4,4629,8632,5861.67,4307.64,73.49%,2.73,2.73,2.79,38.94%,20,46710.86
8,QLD,NSW,高端型,18.48,42,27.7,24755,7778,27354.47,7779.87,28.44%,5.50,5.50,5.69,19.38%,20,118274.86
8,QLD,VIC,高端型,18.48,42,27.7,24755,6778,27354.47,6779.02,24.78%,5.86,5.86,6.08,18.07%,20,110177.56
8,QLD,QLD,高端型,18.48,42,27.7,24755,7270,27354.47,7269.13,26.57%,5.68,5.68,5.90,18.71%,20,114130.66
8,QLD,SA,高端型,18.48,42,27.7,24755,7129,27354.47,7130.00,26.07%,5.72,5.72,5.95,18.53%,20,113017.15
8,QLD,WA,高端型,18.48,42,27.7,24755,7634,27354.47,7635.37,27.91%,5.55,5.55,5.75,19.19%,20,117105.85
8,QLD,TAS,高端型,18.48,42,27.7,24755,10148,27354.47,10149.52,37.10%,4.78,4.78,4.94,22.39%,20,137446.36
8,QLD,NT,高端型,18.48,42,27.7,24755,10008,27354.47,10009.80,36.59%,4.82,4.82,4.98,22.21%,20,136315.96
8,QLD,ACT,高端型,18.48,42,27.7,24755,8632,27354.47,8633.29,31.56%,5.21,5.21,5.41,20.47%,20,125179.44
8,QLD,NSW,平衡型,13.2,30,13.2,13856,7778,19538.90,7549.21,38.64%,3.73,3.73,3.83,28.76%,20,100598.38
8,QLD,VIC,平衡型,13.2,30,13.2,13856,6778,19538.90,6719.63,34.39%,3.98,3.98,4.08,26.98%,20,93887.96
8,QLD,QLD,平衡型,13.2,30,13.2,13856,7270,19538.90,7268.14,37.20%,3.82,3.82,3.92,28.15%,20,98313.52
8,QLD,SA,平衡型,13.2,30,13.2,13856,7129,19538.90,7013.24,35.89%,3.89,3.89,3.99,27.61%,20,96263.30
8,QLD,WA,平衡型,13.2,30,13.2,13856,7634,19538.90,7509.71,38.43%,3.74,3.74,3.84,28.67%,20,100279.97
8,QLD,TAS,平衡型,13.2,30,13.2,13856,10148,19538.90,8899.44,45.55%,3.39,3.39,3.47,31.63%,20,111531.27
8,QLD,NT,平衡型,13.2,30,13.2,13856,10008,19538.90,9147.51,46.82%,3.33,3.33,3.41,32.15%,20,113537.61
8,QLD,ACT,平衡型,13.2,30,13.2,13856,8632,19538.90,7949.39,40.68%,3.63,3.63,3.71,29.61%,20,103843.58
8,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,2.83,2.83,2.88,37.68%,20,59583.77
8,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,2.96,2.96,3.01,36.11%,20,56895.10
8,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,2.81,2.81,2.86,38.01%,20,60154.70
8,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,2.92,2.92,2.98,36.50%,20,57569.16
8,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,2.75,2.75,2.81,38.62%,20,61215.30
8,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.56,2.56,2.60,41.56%,20,66275.65
8,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.49,2.49,2.53,42.76%,20,68350.03
8,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,2.84,2.84,2.90,37.49%,20,59267.28
9,QLD,NSW,高端型,14.08,32,21.1,19028,7778,20841.50,7779.87,37.33%,4.81,4.81,4.97,22.28%,20,105100.45
9,QLD,VIC,高端型,14.08,32,21.1,19028,6778,20841.50,6779.02,32.53%,5.17,5.17,5.36,20.63%,20,97003.16
9,QLD,QLD,高端型,14.08,32,21.1,19028,7270,20841.50,7269.13,34.88%,4.99,4.99,5.14,21.44%,20,100956.25
9,QLD,SA,高端型,14.08,32,21.1,19028,7129,20841.50,7130.00,34.21%,5.04,5.04,5.21,21.21%,20,99842.74
9,QLD,WA,高端型,14.08,32,21.1,19028,7634,20841.50,7635.37,36.64%,4.86,4.86,5.02,22.04%,20,103931.45
9,QLD,TAS,高端型,14.08,32,21.1,19028,10148,20841.50,10119.63,48.56%,4.12,4.12,4.24,26.02%,20,124030.27
9,QLD,NT,高端型,14.08,32,21.1,19028,10008,20841.50,10009.80,48.03%,4.15,4.15,4.27,25.85%,20,123141.55
9,QLD,ACT,高端型,14.08,32,21.1,19028,8632,20841.50,8633.29,41.42%,4.54,4.54,4.67,23.66%,20,112005.04
9,QLD,NSW,平衡型,10.12,23,10.1,10585,7778,14979.83,6786.74,45.31%,3.39,3.39,3.47,31.63%,20,85214.76
9,QLD,VIC,平衡型,10.12,23,10.1,10585,6778,14979.83,6359.33,42.45%,3.53,3.53,3.61,30.45%,20,81754.40
9,QLD,QLD,平衡型,10.12,23,10.1,10585,7270,14979.83,6849.88,45.73%,3.36,3.36,3.44,31.80%,20,85720.60
9,QLD,SA,平衡型,10.12,23,10.1,10585,7129,14979.83,6523.02,43.55%,3.47,3.47,3.55,30.90%,20,83080.31
9,QLD,WA,平衡型,10.12,23,10.1,10585,7634,14979.83,6989.46,46.66%,3.32,3.32,3.40,32.19%,20,86854.22
9,QLD,TAS,平衡型,10.12,23,10.1,10585,10148,14979.83,7669.80,51.20%,3.13,3.13,3.20,34.06%,20,92359.07
9,QLD,NT,平衡型,10.12,23,10.1,10585,10008,14979.83,7926.55,52.91%,3.07,3.07,3.13,34.77%,20,94436.27
9,QLD,ACT,平衡型,10.12,23,10.1,10585,8632,14979.83,6767.48,45.18%,3.39,3.39,3.48,31.58%,20,85058.90
9,QLD,NSW,经济型,6.6,15,5.3,6120,7778,9769.45,4921.74,50.38%,2.83,2.83,2.88,37.68%,20,59583.77
9,QLD,VIC,经济型,6.6,15,5.3,6120,6778,9769.45,4589.41,46.98%,2.96,2.96,3.01,36.11%,20,56895.10
9,QLD,QLD,经济型,6.6,15,5.3,6120,7270,9769.45,4992.90,51.11%,2.81,2.81,2.86,38.01%,20,60154.70
9,QLD,SA,经济型,6.6,15,5.3,6120,7129,9769.45,4672.73,47.83%,2.92,2.92,2.98,36.50%,20,57569.16
9,QLD,WA,经济型,6.6,15,5.3,6120,7634,9769.45,5123.40,52.44%,2.75,2.75,2.81,38.62%,20,61215.30
9,QLD,TAS,经济型,6.6,15,5.3,6120,10148,9769.45,5748.87,58.85%,2.56,2.56,2.60,41.56%,20,66275.65
9,QLD,NT,经济型,6.6,15,5.3,6120,10008,9769.45,6005.27,61.47%,2.49,2.49,2.53,42.76%,20,68350.03
9,QLD,ACT,经济型,6.6,15,5.3,6120,8632,9769.45,4882.62,49.98%,2.84,2.84,2.90,37.49%,20,59267.28
10,QLD,NSW,高端型,11.44,26,17.2,15607,7778,16933.72,7779.87,45.94%,4.31,4.31,4.44,24.94%,20,97195.81
10,QLD,VIC,高端型,11.44,26,17.2,15607,6778,16933.72,6779.02,40.03%,4.66,4.66,4.81,22.99%,20,89098.52
10,QLD,QLD,高端型,11.44,26,17.2,15607,7270,16933.72,7269.13,42.93%,4.48,4.48,4.62,23.94%,20,93051.61
10,QLD,SA,高端型,11.44,26,17.2,15607,7129,16933.72,7130.00,42.11%,4.53,4.53,4.66,23.67%,20,91938.10
10,QLD,WA,高端型,11.44,26,17.2,15607,7634,16933.72,7635.37,45.09%,4.36,4.36,4.49,24.66%,20,96026.81
10,QLD,TAS,高端型,11.44,26,17.2,15607,10148,16933.72,9821.00,58.00%,3.71,3.71,3.81,28.85%,20,113707.62
10,QLD,NT,高端型,11.44,26,17.2,15607,10008,16933.72,9802.49,57.89%,3.71,3.71,3.81,28.82%,20,113559.24
