项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"新建系统","16","A","14","6.16","9.6","20.00","22.22","3326.40","2688.00","19220.30","25234.70","2523.47","27758.17","1992.07","7254.00","0.00","0.00","0.00","9246.07","18512.10","17586.49","19437.70","3.0052","1.0626"
"新建系统","16","B","14","6.16","5","13.34","14.82","3326.40","1400.00","12819.30","17545.70","1754.57","19300.27","1992.07","4836.00","0.00","0.00","0.00","6828.07","12472.20","11848.59","13095.81","2.0247","0.7287"
"新建系统","16","C","14","6.16","4.2","5.42","6.02","3326.40","1176.00","5211.02","9713.42","971.34","10684.76","1992.07","1950.00","0.00","0.00","0.00","3942.07","6742.69","6405.55","7079.82","1.0946","0.5652"
"新建系统","17","A","15","6.60","9.6","20.00","22.22","3564.00","2688.00","19220.30","25472.30","2547.23","28019.53","2134.36","7254.00","0.00","0.00","0.00","9388.36","18631.17","17699.61","19562.73","2.8229","1.0098"
"新建系统","17","B","15","6.60","5","13.34","14.82","3564.00","1400.00","12819.30","17783.30","1778.33","19561.63","2134.36","4836.00","0.00","0.00","0.00","6970.36","12591.27","11961.71","13220.83","1.9078","0.6982"
"新建系统","17","C","15","6.60","4.4","5.81","6.45","3564.00","1232.00","5583.23","10379.23","1037.92","11417.15","2134.36","2106.00","0.00","0.00","0.00","4240.36","7176.79","6817.95","7535.63","1.0874","0.5605"
"新建系统","18","A","16","7.04","9.6","20.00","22.22","3801.60","2688.00","19220.30","25709.90","2570.99","28280.89","2276.65","7254.00","0.00","0.00","0.00","9530.65","18750.24","17812.73","19687.75","2.6634","0.9636"
"新建系统","18","B","16","7.04","5","13.34","14.82","3801.60","1400.00","12819.30","18020.90","1802.09","19822.99","2276.65","4836.00","0.00","0.00","0.00","7112.65","12710.34","12074.82","13345.86","1.8054","0.6715"
"新建系统","18","C","16","7.04","4.7","6.20","6.88","3801.60","1316.00","5955.45","11073.05","1107.30","12180.35","2276.65","2223.00","0.00","0.00","0.00","4499.65","7680.70","7296.66","8064.73","1.0910","0.5608"
"新建系统","19","A","17","7.48","9.6","20.00","22.22","4039.20","2688.00","19220.30","25947.50","2594.75","28542.25","2418.94","7254.00","0.00","0.00","0.00","9672.94","18869.31","17925.84","19812.77","2.5226","0.9229"
"新建系统","19","B","17","7.48","5","13.34","14.82","4039.20","1400.00","12819.30","18258.50","1825.85","20084.35","2418.94","4836.00","0.00","0.00","0.00","7254.94","12829.41","12187.94","13470.88","1.7152","0.6479"
"新建系统","19","C","17","7.48","5","6.58","7.32","4039.20","1400.00","6327.66","11766.86","1176.69","12943.55","2418.94","2379.00","0.00","0.00","0.00","4797.94","8145.61","7738.33","8552.89","1.0890","0.5611"
"新建系统","20","A","18","7.92","9.99","26.40","29.33","4276.80","2797.20","25370.45","32444.45","3244.44","35688.89","2561.23","9555.00","0.00","0.00","0.00","12116.23","23572.66","22394.03","24751.30","2.9763","0.9794"
"新建系统","20","B","18","7.92","7.22","15.60","17.33","4276.80","2021.60","14990.45","21288.85","2128.88","23417.73","2561.23","5655.00","0.00","0.00","0.00","8216.23","15201.50","14441.43","15961.58","1.9194","0.7407"
"新建系统","20","C","18","7.92","5.3","6.97","7.75","4276.80","1484.00","6699.88","12460.68","1246.07","13706.74","2561.23","2496.00","0.00","0.00","0.00","5057.23","8649.51","8217.04","9081.99","1.0921","0.5613"
"新建系统","21","A","18","7.92","9.99","26.40","29.33","4276.80","2797.20","25370.45","32444.45","3244.44","35688.89","2561.23","9555.00","0.00","0.00","0.00","12116.23","23572.66","22394.03","24751.30","2.9763","0.9794"
"新建系统","21","B","18","7.92","7.22","15.60","17.33","4276.80","2021.60","14990.45","21288.85","2128.88","23417.73","2561.23","5655.00","0.00","0.00","0.00","8216.23","15201.50","14441.43","15961.58","1.9194","0.7407"
"新建系统","21","C","18","7.92","5.3","6.97","7.75","4276.80","1484.00","6699.88","12460.68","1246.07","13706.74","2561.23","2496.00","0.00","0.00","0.00","5057.23","8649.51","8217.04","9081.99","1.0921","0.5613"
"新建系统","22","A","19","8.36","9.99","26.40","29.33","4514.40","2797.20","25370.45","32682.05","3268.20","35950.25","2703.52","9555.00","0.00","0.00","0.00","12258.52","23691.73","22507.14","24876.32","2.8339","0.9421"
"新建系统","22","B","19","8.36","7.22","15.60","17.33","4514.40","2021.60","14990.45","21526.45","2152.64","23679.09","2703.52","5655.00","0.00","0.00","0.00","8358.52","15320.57","14554.54","16086.60","1.8326","0.7159"
"新建系统","22","C","19","8.36","5.6","7.36","8.18","4514.40","1568.00","7072.09","13154.49","1315.45","14469.94","2703.52","2652.00","0.00","0.00","0.00","5355.52","9114.42","8658.70","9570.14","1.0902","0.5615"
"新建系统","23","A","20","8.80","9.99","26.40","29.33","4752.00","2797.20","25370.45","32919.65","3291.96","36211.61","2845.81","9555.00","0.00","0.00","0.00","12400.81","23810.80","22620.26","25001.34","2.7058","0.9086"
"新建系统","23","B","20","8.80","7.22","15.60","17.33","4752.00","2021.60","14990.45","21764.05","2176.41","23940.45","2845.81","5655.00","0.00","0.00","0.00","8500.81","15439.64","14667.66","16211.62","1.7545","0.6937"
"新建系统","23","C","20","8.80","5.9","7.75","8.61","4752.00","1652.00","7444.31","13848.31","1384.83","15233.14","2845.81","2808.00","0.00","0.00","0.00","5653.81","9579.32","9100.36","10058.29","1.0886","0.5617"
"新建系统","24","A","21","9.24","9.99","26.40","29.33","4989.60","2797.20","25370.45","33157.25","3315.73","36472.97","2988.11","9555.00","0.00","0.00","0.00","12543.11","23929.87","22733.38","25126.36","2.5898","0.8782"
"新建系统","24","B","21","9.24","7.22","15.60","17.33","4989.60","2021.60","14990.45","22001.65","2200.17","24201.82","2988.11","5655.00","0.00","0.00","0.00","8643.11","15558.71","14780.77","16336.65","1.6838","0.6735"
"新建系统","24","C","21","9.24","6.2","8.13","9.04","4989.60","1736.00","7816.52","14542.12","1454.21","15996.34","2988.11","2925.00","0.00","0.00","0.00","5913.11","10083.23","9579.07","10587.39","1.0913","0.5619"
"新建系统","25","A","22","9.68","9.99","26.40","29.33","5227.20","2797.20","25370.45","33394.85","3339.49","36734.33","3130.40","9555.00","0.00","0.00","0.00","12685.40","24048.94","22846.49","25251.39","2.4844","0.8506"
"新建系统","25","B","22","9.68","7.22","15.60","17.33","5227.20","2021.60","14990.45","22239.25","2223.93","24463.17","3130.40","5655.00","0.00","0.00","0.00","8785.40","15677.78","14893.89","16461.67","1.6196","0.6552"
"新建系统","25","C","22","9.68","6.5","8.52","9.47","5227.20","1820.00","8188.74","15235.94","1523.59","16759.53","3130.40","3081.00","0.00","0.00","0.00","6211.40","10548.14","10020.73","11075.54","1.0897","0.5620"
"新建系统","26","A","23","10.12","9.99","26.40","29.33","5464.80","2797.20","25370.45","33632.45","3363.24","36995.69","3272.69","9555.00","0.00","0.00","0.00","12827.69","24168.01","22959.61","25376.41","2.3881","0.8254"
"新建系统","26","B","23","10.12","7.22","15.60","17.33","5464.80","2021.60","14990.45","22476.85","2247.68","24724.53","3272.69","5655.00","0.00","0.00","0.00","8927.69","15796.85","15007.01","16586.69","1.5610","0.6385"
"新建系统","26","C","23","10.12","6.8","8.91","9.90","5464.80","1904.00","8560.95","15929.75","1592.98","17522.73","3272.69","3198.00","0.00","0.00","0.00","6470.69","11052.04","10499.44","11604.65","1.0921","0.5622"
"新建系统","27","A","24","10.56","9.99","26.40","29.33","5702.40","2797.20","25370.45","33870.05","3387.00","37257.05","3414.98","9555.00","0.00","0.00","0.00","12969.98","24287.08","23072.72","25501.43","2.2999","0.8022"
"新建系统","27","B","24","10.56","7.22","15.60","17.33","5702.40","2021.60","14990.45","22714.45","2271.44","24985.89","3414.98","5655.00","0.00","0.00","0.00","9069.98","15915.92","15120.12","16711.71","1.5072","0.6232"
"新建系统","27","C","24","10.56","7.1","9.29","10.33","5702.40","1988.00","8933.17","16623.57","1662.36","18285.93","3414.98","3354.00","0.00","0.00","0.00","6768.98","11516.95","10941.10","12092.80","1.0906","0.5623"
"新建系统","28","A","25","11.00","9.99","26.40","29.33","5940.00","2797.20","25370.45","34107.65","3410.76","37518.41","3557.27","9555.00","0.00","0.00","0.00","13112.27","24406.15","23185.84","25626.45","2.2187","0.7810"
"新建系统","28","B","25","11.00","7.22","15.60","17.33","5940.00","2021.60","14990.45","22952.05","2295.20","25247.25","3557.27","5655.00","0.00","0.00","0.00","9212.27","16034.99","15233.24","16836.74","1.4577","0.6090"
"新建系统","28","C","25","11.00","7.4","9.68","10.76","5940.00","2072.00","9305.38","17317.38","1731.74","19049.12","3557.27","3510.00","0.00","0.00","0.00","7067.27","11981.86","11382.76","12580.95","1.0893","0.5624"
