项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"储能扩容","18","A","12","5.28","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","2.6304","0.3640"
"储能扩容","18","B","12","5.28","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.7548","0.2428"
"储能扩容","18","C","12","5.28","3.6","4.65","5.16","0.00","0.00","4466.58","4466.58","446.66","4913.24","0.00","1677.00","0.00","0.00","0.00","1677.00","3236.24","3074.43","3398.06","0.6129","0.0846"
"储能扩容","19","A","13","5.72","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","2.4280","0.3360"
"储能扩容","19","B","13","5.72","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.6198","0.2241"
"储能扩容","19","C","13","5.72","3.9","5.03","5.59","0.00","0.00","4838.80","4838.80","483.88","5322.68","0.00","1794.00","0.00","0.00","0.00","1794.00","3528.68","3352.25","3705.11","0.6169","0.0846"
"储能扩容","20","A","14","6.16","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","2.2546","0.3120"
"储能扩容","20","B","14","6.16","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.5041","0.2081"
"储能扩容","20","C","14","6.16","4.2","5.42","6.02","0.00","0.00","5211.02","5211.02","521.10","5732.12","0.00","1950.00","0.00","0.00","0.00","1950.00","3782.12","3593.01","3971.22","0.6140","0.0846"
"储能扩容","21","A","14","6.16","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","2.2546","0.3120"
"储能扩容","21","B","14","6.16","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.5041","0.2081"
"储能扩容","21","C","14","6.16","4.2","5.42","6.02","0.00","0.00","5211.02","5211.02","521.10","5732.12","0.00","1950.00","0.00","0.00","0.00","1950.00","3782.12","3593.01","3971.22","0.6140","0.0846"
"储能扩容","22","A","15","6.60","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","2.1043","0.2912"
"储能扩容","22","B","15","6.60","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.4038","0.1942"
"储能扩容","22","C","15","6.60","4.4","5.81","6.45","0.00","0.00","5583.23","5583.23","558.32","6141.55","0.00","2106.00","0.00","0.00","0.00","2106.00","4035.55","3833.78","4237.33","0.6114","0.0846"
"储能扩容","23","A","16","7.04","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.9728","0.2730"
"储能扩容","23","B","16","7.04","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.3161","0.1821"
"储能扩容","23","C","16","7.04","4.7","6.20","6.88","0.00","0.00","5955.45","5955.45","595.54","6550.99","0.00","2223.00","0.00","0.00","0.00","2223.00","4327.99","4111.59","4544.39","0.6148","0.0846"
"储能扩容","24","A","16","7.04","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.9728","0.2730"
"储能扩容","24","B","16","7.04","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.3161","0.1821"
"储能扩容","24","C","16","7.04","4.7","6.20","6.88","0.00","0.00","5955.45","5955.45","595.54","6550.99","0.00","2223.00","0.00","0.00","0.00","2223.00","4327.99","4111.59","4544.39","0.6148","0.0846"
"储能扩容","25","A","17","7.48","9.6","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.8567","0.2570"
"储能扩容","25","B","17","7.48","5","13.34","14.82","0.00","0.00","12819.30","12819.30","1281.93","14101.23","0.00","4836.00","0.00","0.00","0.00","4836.00","9265.23","8801.97","9728.49","1.2387","0.1714"
"储能扩容","25","C","17","7.48","5","6.58","7.32","0.00","0.00","6327.66","6327.66","632.77","6960.43","0.00","2379.00","0.00","0.00","0.00","2379.00","4581.43","4352.36","4810.50","0.6125","0.0846"
"储能扩容","26","A","18","7.92","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","2.3172","0.3203"
"储能扩容","26","B","18","7.92","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.3680","0.1893"
"储能扩容","26","C","18","7.92","5.3","6.97","7.75","0.00","0.00","6699.88","6699.88","669.99","7369.86","0.00","2496.00","0.00","0.00","0.00","2496.00","4873.86","4630.17","5117.56","0.6154","0.0846"
"储能扩容","27","A","18","7.92","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","2.3172","0.3203"
"储能扩容","27","B","18","7.92","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.3680","0.1893"
"储能扩容","27","C","18","7.92","5.3","6.97","7.75","0.00","0.00","6699.88","6699.88","669.99","7369.86","0.00","2496.00","0.00","0.00","0.00","2496.00","4873.86","4630.17","5117.56","0.6154","0.0846"
"储能扩容","28","A","19","8.36","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","2.1953","0.3035"
"储能扩容","28","B","19","8.36","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.2960","0.1793"
"储能扩容","28","C","19","8.36","5.6","7.36","8.18","0.00","0.00","7072.09","7072.09","707.21","7779.30","0.00","2652.00","0.00","0.00","0.00","2652.00","5127.30","4870.94","5383.67","0.6133","0.0846"
"储能扩容","29","A","20","8.80","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","2.0855","0.2883"
"储能扩容","29","B","20","8.80","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.2312","0.1703"
"储能扩容","29","C","20","8.80","5.9","7.75","8.61","0.00","0.00","7444.31","7444.31","744.43","8188.74","0.00","2808.00","0.00","0.00","0.00","2808.00","5380.74","5111.70","5649.78","0.6114","0.0846"
"储能扩容","30","A","21","9.24","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.9862","0.2746"
"储能扩容","30","B","21","9.24","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.1726","0.1622"
"储能扩容","30","C","21","9.24","6.2","8.13","9.04","0.00","0.00","7816.52","7816.52","781.65","8598.18","0.00","2925.00","0.00","0.00","0.00","2925.00","5673.18","5389.52","5956.83","0.6140","0.0846"
"储能扩容","31","A","21","9.24","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.9862","0.2746"
"储能扩容","31","B","21","9.24","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.1726","0.1622"
"储能扩容","31","C","21","9.24","6.2","8.13","9.04","0.00","0.00","7816.52","7816.52","781.65","8598.18","0.00","2925.00","0.00","0.00","0.00","2925.00","5673.18","5389.52","5956.83","0.6140","0.0846"
"储能扩容","32","A","22","9.68","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.8959","0.2621"
"储能扩容","32","B","22","9.68","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.1193","0.1549"
"储能扩容","32","C","22","9.68","6.5","8.52","9.47","0.00","0.00","8188.74","8188.74","818.87","9007.61","0.00","3081.00","0.00","0.00","0.00","3081.00","5926.61","5630.28","6222.94","0.6123","0.0846"
"储能扩容","33","A","23","10.12","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.8135","0.2507"
"储能扩容","33","B","23","10.12","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.0706","0.1481"
"储能扩容","33","C","23","10.12","6.8","8.91","9.90","0.00","0.00","8560.95","8560.95","856.10","9417.05","0.00","3198.00","0.00","0.00","0.00","3198.00","6219.05","5908.10","6530.00","0.6145","0.0846"
"储能扩容","34","A","23","10.12","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.8135","0.2507"
"储能扩容","34","B","23","10.12","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.0706","0.1481"
"储能扩容","34","C","23","10.12","6.8","8.91","9.90","0.00","0.00","8560.95","8560.95","856.10","9417.05","0.00","3198.00","0.00","0.00","0.00","3198.00","6219.05","5908.10","6530.00","0.6145","0.0846"
"储能扩容","35","A","24","10.56","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.7379","0.2403"
"储能扩容","35","B","24","10.56","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","1.0260","0.1420"
"储能扩容","35","C","24","10.56","7.1","9.29","10.33","0.00","0.00","8933.17","8933.17","893.32","9826.49","0.00","3354.00","0.00","0.00","0.00","3354.00","6472.49","6148.86","6796.11","0.6129","0.0846"
"储能扩容","36","A","25","11.00","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.6684","0.2306"
"储能扩容","36","B","25","11.00","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","0.9850","0.1363"
"储能扩容","36","C","25","11.00","7.4","9.68","10.76","0.00","0.00","9305.38","9305.38","930.54","10235.92","0.00","3510.00","0.00","0.00","0.00","3510.00","6725.92","6389.63","7062.22","0.6114","0.0846"
"储能扩容","37","A","25","11.00","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.6684","0.2306"
"储能扩容","37","B","25","11.00","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","0.9850","0.1363"
"储能扩容","37","C","25","11.00","7.4","9.68","10.76","0.00","0.00","9305.38","9305.38","930.54","10235.92","0.00","3510.00","0.00","0.00","0.00","3510.00","6725.92","6389.63","7062.22","0.6114","0.0846"
"储能扩容","38","A","26","11.44","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.6042","0.2218"
"储能扩容","38","B","26","11.44","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","0.9471","0.1310"
"储能扩容","38","C","26","11.44","7.7","10.07","11.19","0.00","0.00","9677.60","9677.60","967.76","10645.36","0.00","3627.00","0.00","0.00","0.00","3627.00","7018.36","6667.44","7369.28","0.6135","0.0846"
"储能扩容","39","A","27","11.88","9.99","26.40","29.33","0.00","0.00","25370.45","25370.45","2537.05","27907.49","0.00","9555.00","0.00","0.00","0.00","9555.00","18352.49","17434.87","19270.12","1.5448","0.2136"
"储能扩容","39","B","27","11.88","7.22","15.60","17.33","0.00","0.00","14990.45","14990.45","1499.05","16489.49","0.00","5655.00","0.00","0.00","0.00","5655.00","10834.49","10292.77","11376.22","0.9120","0.1262"
"储能扩容","39","C","27","11.88","8","10.46","11.62","0.00","0.00","10049.82","10049.82","1004.98","11054.80","0.00","3783.00","0.00","0.00","0.00","3783.00","7271.80","6908.21","7635.39","0.6121","0.0846"
"储能扩容","40","A","28","12.32","9.3","25.24","28.04","0.00","0.00","24254.60","24254.60","2425.46","26680.06","0.00","9126.00","0.00","0.00","0.00","9126.00","17554.06","16676.36","18431.76","1.4248","0.1969"
"储能扩容","40","B","28","12.32","10","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.1273","0.1560"
"储能扩容","40","C","28","12.32","8.3","10.84","12.05","0.00","0.00","10422.03","10422.03","1042.20","11464.23","0.00","3900.00","0.00","0.00","0.00","3900.00","7564.23","7186.02","7942.45","0.6140","0.0846"
"储能扩容","41","A","28","12.32","9.3","25.24","28.04","0.00","0.00","24254.60","24254.60","2425.46","26680.06","0.00","9126.00","0.00","0.00","0.00","9126.00","17554.06","16676.36","18431.76","1.4248","0.1969"
"储能扩容","41","B","28","12.32","10","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.1273","0.1560"
"储能扩容","41","C","28","12.32","8.3","10.84","12.05","0.00","0.00","10422.03","10422.03","1042.20","11464.23","0.00","3900.00","0.00","0.00","0.00","3900.00","7564.23","7186.02","7942.45","0.6140","0.0846"
"储能扩容","42","A","29","12.76","9.3","25.24","28.04","0.00","0.00","24254.60","24254.60","2425.46","26680.06","0.00","9126.00","0.00","0.00","0.00","9126.00","17554.06","16676.36","18431.76","1.3757","0.1901"
"储能扩容","42","B","29","12.76","10","20.00","22.22","0.00","0.00","19220.30","19220.30","1922.03","21142.33","0.00","7254.00","0.00","0.00","0.00","7254.00","13888.33","13193.91","14582.75","1.0884","0.1506"
