房屋ID,州,电网相位,方案类型,PV容量(数值),PV容量单位,面板数量,逆变器原始功率(数值),逆变器最终功率(数值),逆变器单位,逆变器说明,容配比(数值),容配比单位,电池容量(数值),电池单位,补贴(数值),补贴单位,定价A含税价,定价A最终报价,定价A_kW单价,定价B含税价,定价B最终报价,定价B_kW单价,价格差异(A-B),使用坡面数
12,QLD,single,高端型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,9.1,kWh,4992,AUD,13275,8283,1448,12936,7944,1389,339,4
12,QLD,single,平衡型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,6.6,kWh,4134,AUD,10870,6736,1178,10990,6856,1199,-120,4
12,QLD,single,经济型,5.72,kW,13,3.1777777777777776,4,kW,"原始推导 3.2kW，按规格向上取整，最终采用 4kW",143,%,4.6,kWh,3510,AUD,8984,5474,957,9464,5954,1041,-480,4
13,QLD,single,高端型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,9.1,kWh,4680,AUD,12445,7765,1604,12276,7596,1570,168,3
13,QLD,single,平衡型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,6.6,kWh,3822,AUD,10039,6217,1285,10330,6508,1345,-291,3
13,QLD,single,经济型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,4.4,kWh,3120,AUD,7959,4839,1000,8647,5527,1142,-687,3
15,QLD,single,高端型,11.44,kW,26,6.355555555555555,7,kW,"原始推导 6.4kW，按规格向上取整，最终采用 7kW",163,%,17.2,kWh,9672,AUD,25279,15607,1364,22475,12803,1119,2804,5
15,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
15,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,5
16,QLD,single,高端型,9.68,kW,22,5.377777777777777,6,kW,"原始推导 5.4kW，按规格向上取整，最终采用 6kW",161,%,14.5,kWh,8190,AUD,21414,13224,1366,19474,11284,1166,1939,3
16,QLD,single,平衡型,9.68,kW,22,5.377777777777777,6,kW,"原始推导 5.4kW，按规格向上取整，最终采用 6kW",161,%,9.7,kWh,6630,AUD,16808,10178,1051,15748,9118,942,1061,3
16,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
17,QLD,single,高端型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,9.1,kWh,3900,AUD,10830,6930,2625,10626,6726,2548,203,2
17,QLD,single,平衡型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,6.6,kWh,3042,AUD,8425,5383,2039,8680,5638,2136,-255,2
17,QLD,single,经济型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,4.4,kWh,2340,AUD,6344,4004,1517,6997,4657,1764,-652,2
18,QLD,single,高端型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,11.9,kWh,6669,AUD,17548,10879,1374,16474,9805,1238,1075,5
18,QLD,single,平衡型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,7.9,kWh,5382,AUD,13780,8398,1060,13424,8042,1015,356,5
18,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
19,QLD,single,高端型,15.40,kW,35,8.555555555555555,9,kW,"原始推导 8.6kW，按规格向上取整，最终采用 9kW",171,%,23.1,kWh,13026,AUD,33899,20873,1355,29227,16201,1052,4672,4
19,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
19,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
20,QLD,single,高端型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,11.9,kWh,6669,AUD,17548,10879,1374,16474,9805,1238,1075,3
20,QLD,single,平衡型,7.92,kW,18,4.3999999999999995,5,kW,"原始推导 4.4kW，按规格向上取整，最终采用 5kW",158,%,7.9,kWh,5382,AUD,13780,8398,1060,13424,8042,1015,356,3
20,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
21,QLD,single,高端型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,9.1,kWh,3588,AUD,9999,6411,3643,9966,6378,3624,33,2
21,QLD,single,平衡型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,6.6,kWh,2730,AUD,7594,4864,2764,8020,5290,3006,-426,2
21,QLD,single,经济型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,4.4,kWh,2028,AUD,5514,3486,1981,6337,4309,2448,-823,2
22,QLD,single,高端型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,13.9,kWh,7839,AUD,20524,12685,1373,18724,10885,1178,1800,7
22,QLD,single,平衡型,9.24,kW,21,5.133333333333334,6,kW,"原始推导 5.1kW，按规格向上取整，最终采用 6kW",154,%,9.2,kWh,6318,AUD,16128,9810,1062,15167,8849,958,962,7
22,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
23,QLD,single,高端型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,9.1,kWh,4680,AUD,12445,7765,1604,12276,7596,1570,168,3
23,QLD,single,平衡型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,6.6,kWh,3822,AUD,10039,6217,1285,10330,6508,1345,-291,3
23,QLD,single,经济型,4.84,kW,11,2.6888888888888887,3,kW,"原始推导 2.7kW，按规格向上取整，最终采用 3kW",161,%,4.4,kWh,3120,AUD,7959,4839,1000,8647,5527,1142,-687,3
24,QLD,single,高端型,14.08,kW,32,7.822222222222222,8,kW,"原始推导 7.8kW，按规格向上取整，最终采用 8kW",176,%,21.1,kWh,11895,AUD,30923,19028,1351,26976,15081,1071,3947,5
24,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
24,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
25,QLD,single,高端型,14.52,kW,33,8.066666666666666,9,kW,"原始推导 8.1kW，按规格向上取整，最终采用 9kW",161,%,21.8,kWh,12285,AUD,32121,19836,1366,27727,15442,1063,4394,7
25,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,5
25,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
26,QLD,single,高端型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,9.2,kWh,5187,AUD,13683,8496,1379,13385,8198,1331,298,4
26,QLD,single,平衡型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,6.6,kWh,4290,AUD,11131,6841,1111,11320,7030,1141,-189,4
26,QLD,single,经济型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,4.9,kWh,3783,AUD,9580,5797,941,10065,6282,1020,-485,4
27,QLD,single,高端型,20.00,kW,45,15.399999999999999,10,kW,"原始推导 15.4kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,6
27,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,2
27,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
28,QLD,single,高端型,17.16,kW,39,9.533333333333333,10,kW,"原始推导 9.5kW，按规格向上取整，最终采用 10kW",172,%,25.7,kWh,14547,AUD,37765,23218,1353,32228,17681,1030,5537,6
28,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
28,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
29,QLD,single,高端型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,9.2,kWh,5187,AUD,13683,8496,1379,13385,8198,1331,298,5
29,QLD,single,平衡型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,6.6,kWh,4290,AUD,11131,6841,1111,11320,7030,1141,-189,5
29,QLD,single,经济型,6.16,kW,14,3.422222222222222,4,kW,"原始推导 3.4kW，按规格向上取整，最终采用 4kW",154,%,4.9,kWh,3783,AUD,9580,5797,941,10065,6282,1020,-485,5
30,QLD,single,高端型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,11.2,kWh,6279,AUD,16659,10380,1388,15723,9444,1263,936,5
30,QLD,single,平衡型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,7.5,kWh,5070,AUD,13100,8030,1074,12844,7774,1039,257,5
30,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
31,QLD,single,高端型,7.04,kW,16,3.911111111111111,4,kW,"原始推导 3.9kW，按规格向上取整，最终采用 4kW",176,%,10.6,kWh,5928,AUD,15462,9534,1354,14973,9045,1285,488,4
31,QLD,single,平衡型,7.04,kW,16,3.911111111111111,4,kW,"原始推导 3.9kW，按规格向上取整，最终采用 4kW",176,%,7.0,kWh,4758,AUD,12112,7354,1045,12263,7505,1066,-150,4
31,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
32,QLD,single,高端型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,15.2,kWh,8580,AUD,22303,13723,1356,20225,11645,1151,2078,7
32,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,7
32,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,6
33,QLD,single,高端型,15.84,kW,36,8.799999999999999,9,kW,"原始推导 8.8kW，按规格向上取整，最终采用 9kW",176,%,23.8,kWh,13377,AUD,34789,21412,1352,29977,16600,1048,4811,4
33,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,4
33,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
34,QLD,single,高端型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,9.1,kWh,3900,AUD,10830,6930,2625,10626,6726,2548,203,2
34,QLD,single,平衡型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,6.6,kWh,3042,AUD,8425,5383,2039,8680,5638,2136,-255,2
34,QLD,single,经济型,2.64,kW,6,1.4666666666666668,2,kW,"原始推导 1.5kW，按规格向上取整，最终采用 2kW",132,%,4.4,kWh,2340,AUD,6344,4004,1517,6997,4657,1764,-652,2
35,QLD,single,高端型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
35,QLD,single,平衡型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
35,QLD,single,经济型,0.00,kW,0,N/A,N/A,kW,"",0,%,0.0,kWh,0,AUD,0,0,0,0,0,0,0,0
36,QLD,single,高端型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,11.2,kWh,6279,AUD,16659,10380,1388,15723,9444,1263,936,4
36,QLD,single,平衡型,7.48,kW,17,4.155555555555556,5,kW,"原始推导 4.2kW，按规格向上取整，最终采用 5kW",150,%,7.5,kWh,5070,AUD,13100,8030,1074,12844,7774,1039,257,4
36,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,3
37,QLD,single,高端型,20.00,kW,45,14.177777777777777,10,kW,"原始推导 14.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,5
37,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,2
37,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
38,QLD,single,高端型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,9.1,kWh,4056,AUD,11091,7035,2284,10956,6900,2240,135,2
38,QLD,single,平衡型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,6.6,kWh,3198,AUD,8686,5488,1782,9010,5812,1887,-324,2
38,QLD,single,经济型,3.08,kW,7,1.711111111111111,2,kW,"原始推导 1.7kW，按规格向上取整，最终采用 2kW",154,%,4.4,kWh,2496,AUD,6606,4110,1334,7327,4831,1568,-721,2
39,QLD,single,高端型,14.52,kW,33,8.066666666666666,9,kW,"原始推导 8.1kW，按规格向上取整，最终采用 9kW",161,%,21.8,kWh,12285,AUD,32121,19836,1366,27727,15442,1063,4394,4
39,QLD,single,平衡型,10.12,kW,23,5.622222222222222,6,kW,"原始推导 5.6kW，按规格向上取整，最终采用 6kW",169,%,10.1,kWh,6903,AUD,17488,10585,1046,16328,9425,931,1160,3
39,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
40,QLD,single,高端型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,9.1,kWh,3588,AUD,9999,6411,3643,9966,6378,3624,33,2
40,QLD,single,平衡型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,6.6,kWh,2730,AUD,7594,4864,2764,8020,5290,3006,-426,2
40,QLD,single,经济型,1.76,kW,4,0.9777777777777777,1,kW,"原始推导 1.0kW，按规格向上取整，最终采用 1kW",176,%,4.4,kWh,2028,AUD,5514,3486,1981,6337,4309,2448,-823,2
41,QLD,single,高端型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,9.1,kWh,3744,AUD,10568,6824,3102,10296,6552,2978,272,2
41,QLD,single,平衡型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,6.6,kWh,2886,AUD,8163,5277,2399,8350,5464,2484,-187,2
41,QLD,single,经济型,2.20,kW,5,1.2222222222222223,2,kW,"原始推导 1.2kW，按规格向上取整，最终采用 2kW",110,%,4.4,kWh,2184,AUD,6083,3899,1772,6667,4483,2038,-584,2
42,QLD,single,高端型,18.92,kW,43,10.511111111111111,10,kW,"原始推导 10.5kW，受单相上限 10kW 限制，最终采用 10kW",189,%,28.4,kWh,16029,AUD,41322,25293,1337,35229,19200,1015,6093,6
42,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,5
42,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,4
43,QLD,single,高端型,20.00,kW,45,24.933333333333334,10,kW,"原始推导 24.9kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,4
43,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,2
43,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,1
44,QLD,single,高端型,20.00,kW,45,11.244444444444444,10,kW,"原始推导 11.2kW，受单相上限 10kW 限制，为满足容配比要求已限制光伏功率，最终采用 10kW",200,%,30.0,kWh,16965,AUD,43505,26540,1327,37070,20105,1005,6435,5
44,QLD,single,平衡型,13.20,kW,30,7.333333333333333,8,kW,"原始推导 7.3kW，按规格向上取整，最终采用 8kW",165,%,13.2,kWh,9009,AUD,22865,13856,1050,20394,11385,863,2471,3
44,QLD,single,经济型,6.60,kW,15,3.6666666666666665,4,kW,"原始推导 3.7kW，按规格向上取整，最终采用 4kW",165,%,5.3,kWh,4056,AUD,10176,6120,927,10666,6610,1001,-489,2
45,QLD,single,高端型,16.28,kW,37,9.044444444444444,10,kW,"原始推导 9.0kW，按规格向上取整，最终采用 10kW",163,%,24.4,kWh,13806,AUD,35986,22180,1362,30727,16921,1039,5259,5
