house_id	panels	pv_kw	TAS_surplus_kwh_day	TAS_A_kwh	TAS_B_kwh	TAS_C_kwh	VIC_surplus_kwh_day	VIC_A_kwh	VIC_B_kwh	VIC_C_kwh	NSW_surplus_kwh_day	NSW_A_kwh	NSW_B_kwh	NSW_C_kwh	SA_surplus_kwh_day	SA_A_kwh	SA_B_kwh	SA_C_kwh	QLD_surplus_kwh_day	QLD_A_kwh	QLD_B_kwh	QLD_C_kwh	ACT_surplus_kwh_day	ACT_A_kwh	ACT_B_kwh	ACT_C_kwh	NT_surplus_kwh_day	NT_A_kwh	NT_B_kwh	NT_C_kwh	WA_surplus_kwh_day	WA_A_kwh	WA_B_kwh	WA_C_kwh
35	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
36	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
37	58	25.52	48.00	44.9	28.1	7.9	55.24	50.0	32.3	5.3	61.06	50.0	35.7	7.1	66.04	50.0	38.6	6.6	67.56	50.0	39.5	5.5	66.07	50.0	38.6	9.0	63.49	50.0	37.1	9.7	67.58	50.0	39.5	7.4
38	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
39	33	14.52	21.21	24.6	12.4	7.9	26.87	25.1	15.7	5.3	29.64	27.7	17.3	7.1	32.78	30.7	19.2	6.6	34.08	31.9	19.9	5.5	32.68	30.6	19.1	9.0	29.15	27.3	17.0	9.7	32.86	30.7	19.2	7.4
40	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
41	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
42	43	18.92	31.81	29.8	18.6	7.9	38.03	35.6	22.2	5.3	42.14	39.4	24.6	7.1	46.00	43.0	26.9	6.6	47.32	44.3	27.7	5.5	45.94	43.0	26.9	9.0	42.72	40.0	25.0	9.7	46.71	43.7	27.3	7.4
43	102	44.88	97.01	50.0	50.0	7.9	106.12	50.0	50.0	5.3	117.59	50.0	50.0	7.1	125.39	50.0	50.0	6.6	126.91	50.0	50.0	5.5	126.68	50.0	50.0	9.0	125.29	50.0	50.0	9.7	129.77	50.0	50.0	7.4
44	46	20.24	35.05	32.8	20.5	7.9	41.43	38.8	24.2	5.3	45.92	43.0	26.9	7.1	49.97	46.8	29.2	6.6	51.37	48.1	30.0	5.5	49.92	46.7	29.2	9.0	46.87	43.9	27.4	9.7	50.86	47.6	29.7	7.4
45	37	16.28	25.35	24.6	14.8	7.9	31.31	29.3	18.3	5.3	34.59	32.4	20.2	7.1	38.07	35.6	22.3	6.6	39.37	36.8	23.0	5.5	37.98	35.5	22.2	9.0	34.58	32.4	20.2	9.7	38.40	35.9	22.5	7.4
46	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
47	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
48	28	12.32	16.18	24.6	9.5	7.9	21.32	19.9	12.5	5.3	23.47	22.0	13.7	7.1	26.21	24.5	15.3	6.6	27.47	25.7	16.1	5.5	26.04	24.4	15.2	9.0	22.57	22.9	13.2	9.7	26.08	24.4	15.2	7.4
49	29	12.76	17.17	24.6	10.0	7.9	22.43	21.0	13.1	5.3	24.70	23.1	14.4	7.1	27.50	25.7	16.1	6.6	28.79	26.9	16.8	5.5	27.37	25.6	16.0	9.0	23.87	22.9	14.0	9.7	27.43	25.7	16.0	7.4
50	41	18.04	29.65	27.7	17.3	7.9	35.76	33.5	20.9	5.3	39.62	37.1	23.2	7.1	43.36	40.6	25.4	6.6	44.66	41.8	26.1	5.5	43.29	40.5	25.3	9.0	40.01	37.4	23.4	9.7	43.94	41.1	25.7	7.4
51	19	8.36	7.46	24.6	7.9	7.9	11.63	16.5	6.8	5.3	12.74	19.1	7.5	7.1	14.66	17.6	8.6	6.6	15.76	14.7	9.2	5.5	14.84	22.5	9.0	9.0	11.26	22.9	9.7	9.7	14.20	17.5	8.3	7.4
52	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
53	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
54	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
55	19	8.36	7.46	24.6	7.9	7.9	11.63	16.5	6.8	5.3	12.74	19.1	7.5	7.1	14.66	17.6	8.6	6.6	15.76	14.7	9.2	5.5	14.84	22.5	9.0	9.0	11.26	22.9	9.7	9.7	14.20	17.5	8.3	7.4
56	2	0.88	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
57	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
58	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
59	58	25.52	48.00	44.9	28.1	7.9	55.24	50.0	32.3	5.3	61.06	50.0	35.7	7.1	66.04	50.0	38.6	6.6	67.56	50.0	39.5	5.5	66.07	50.0	38.6	9.0	63.49	50.0	37.1	9.7	67.58	50.0	39.5	7.4
60	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
61	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
62	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
63	43	18.92	31.81	29.8	18.6	7.9	38.03	35.6	22.2	5.3	42.14	39.4	24.6	7.1	46.00	43.0	26.9	6.6	47.32	44.3	27.7	5.5	45.94	43.0	26.9	9.0	42.72	40.0	25.0	9.7	46.71	43.7	27.3	7.4
64	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
65	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
66	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
67	74	32.56	65.54	50.0	38.3	7.9	73.74	50.0	43.1	5.3	81.62	50.0	47.7	7.1	87.62	50.0	50.0	6.6	89.14	50.0	50.0	5.5	87.99	50.0	50.0	9.0	85.72	50.0	50.0	9.7	90.20	50.0	50.0	7.4
68	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
69	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
70	82	36.08	74.52	50.0	43.6	7.9	82.99	50.0	48.5	5.3	91.89	50.0	50.0	7.1	98.41	50.0	50.0	6.6	99.93	50.0	50.0	5.5	99.04	50.0	50.0	9.0	97.03	50.0	50.0	9.7	101.50	50.0	50.0	7.4
71	31	13.64	19.15	24.6	11.2	7.9	24.65	23.1	14.4	5.3	27.17	25.4	15.9	7.1	30.14	28.2	17.6	6.6	31.44	29.4	18.4	5.5	30.02	28.1	17.6	9.0	26.47	24.8	15.5	9.7	30.15	28.2	17.6	7.4
72	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
73	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
74	21	9.24	9.29	24.6	7.9	7.9	13.70	16.5	8.0	5.3	15.01	19.1	8.8	7.1	17.14	17.6	10.0	6.6	18.35	17.2	10.7	5.5	17.27	22.5	10.1	9.0	13.75	22.9	9.7	9.7	16.75	17.5	9.8	7.4
75	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
76	66	29.04	56.72	50.0	33.2	7.9	64.49	50.0	37.7	5.3	71.34	50.0	41.7	7.1	76.83	50.0	44.9	6.6	78.35	50.0	45.8	5.5	76.94	50.0	45.0	9.0	74.57	50.0	43.6	9.7	78.89	50.0	46.1	7.4
77	13	5.72	2.38	24.6	7.9	7.9	5.60	16.5	5.3	5.3	5.96	19.1	7.1	7.1	7.43	17.6	6.6	6.6	8.42	13.0	5.5	5.5	7.60	22.5	9.0	9.0	4.37	22.9	9.7	9.7	6.73	17.5	7.4	7.4
79	28	12.32	16.18	24.6	9.5	7.9	21.32	19.9	12.5	5.3	23.47	22.0	13.7	7.1	26.21	24.5	15.3	6.6	27.47	25.7	16.1	5.5	26.04	24.4	15.2	9.0	22.57	22.9	13.2	9.7	26.08	24.4	15.2	7.4
80	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
81	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
82	37	16.28	25.35	24.6	14.8	7.9	31.31	29.3	18.3	5.3	34.59	32.4	20.2	7.1	38.07	35.6	22.3	6.6	39.37	36.8	23.0	5.5	37.98	35.5	22.2	9.0	34.58	32.4	20.2	9.7	38.40	35.9	22.5	7.4
83	45	19.80	33.97	31.8	19.9	7.9	40.29	37.7	23.6	5.3	44.66	41.8	26.1	7.1	48.65	45.5	28.4	6.6	50.02	46.8	29.3	5.5	48.59	45.5	28.4	9.0	45.48	42.6	26.6	9.7	49.48	46.3	28.9	7.4
84	86	37.84	79.01	50.0	46.2	7.9	87.62	50.0	50.0	5.3	97.03	50.0	50.0	7.1	103.81	50.0	50.0	6.6	105.33	50.0	50.0	5.5	104.57	50.0	50.0	9.0	102.68	50.0	50.0	9.7	107.16	50.0	50.0	7.4
85	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
86	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
87	50	22.00	39.37	36.8	23.0	7.9	45.99	43.0	26.9	5.3	50.95	47.7	29.8	7.1	55.26	50.0	32.3	6.6	56.76	50.0	33.2	5.5	55.24	50.0	32.3	9.0	52.41	49.0	30.6	9.7	56.40	50.0	33.0	7.4
88	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
89	22	9.68	10.25	24.6	7.9	7.9	14.77	16.5	8.6	5.3	16.19	19.1	9.5	7.1	18.44	17.6	10.8	6.6	19.64	18.4	11.5	5.5	18.49	22.5	10.8	9.0	14.99	22.9	9.7	9.7	18.05	17.5	10.6	7.4
90	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
91	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
92	9	3.96	0.02	24.6	7.9	7.9	2.06	16.5	5.3	5.3	2.06	19.1	7.1	7.1	2.90	17.6	6.6	6.6	3.76	13.0	5.5	5.5	3.28	22.5	9.0	9.0	0.72	22.9	9.7	9.7	2.38	17.5	7.4	7.4
93	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
94	19	8.36	7.46	24.6	7.9	7.9	11.63	16.5	6.8	5.3	12.74	19.1	7.5	7.1	14.66	17.6	8.6	6.6	15.76	14.7	9.2	5.5	14.84	22.5	9.0	9.0	11.26	22.9	9.7	9.7	14.20	17.5	8.3	7.4
95	30	13.20	18.16	24.6	10.6	7.9	23.54	22.0	13.8	5.3	25.94	24.3	15.2	7.1	28.82	27.0	16.9	6.6	30.12	28.2	17.6	5.5	28.70	26.9	16.8	9.0	25.17	23.6	14.7	9.7	28.79	26.9	16.8	7.4
96	31	13.64	19.15	24.6	11.2	7.9	24.65	23.1	14.4	5.3	27.17	25.4	15.9	7.1	30.14	28.2	17.6	6.6	31.44	29.4	18.4	5.5	30.02	28.1	17.6	9.0	26.47	24.8	15.5	9.7	30.15	28.2	17.6	7.4
97	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
98	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
99	34	14.96	22.25	24.6	13.0	7.9	27.98	26.2	16.4	5.3	30.87	28.9	18.1	7.1	34.11	31.9	19.9	6.6	35.40	33.1	20.7	5.5	34.00	31.8	19.9	9.0	30.51	28.5	17.8	9.7	34.24	32.0	20.0	7.4
