项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","4","B","TAS","3","1.32","5","15.00","11294.71","12975.00","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","ACT","3","1.32","5","15.00","11294.71","12975.00","8632","96.74","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","NT","3","1.32","5","15.00","11294.71","12975.00","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","C","NSW","3","1.32","0.9","1.29","1472.72","1116.65","7778","96.91","35.7","2.98","38.2","3.18","35.84%"
"新建系统","4","C","VIC","3","1.32","0.9","1.29","1472.72","1116.65","6778","96.68","35.8","2.98","38.3","3.19","35.76%"
"新建系统","4","C","QLD","3","1.32","0.9","1.29","1472.72","1116.65","7270","96.99","35.7","2.97","38.1","3.18","35.86%"
"新建系统","4","C","SA","3","1.32","0.9","1.29","1472.72","1116.65","7129","96.84","35.7","2.98","38.2","3.18","35.81%"
"新建系统","4","C","WA","3","1.32","0.9","1.29","1472.72","1116.65","7634","96.98","35.7","2.97","38.1","3.18","35.86%"
"新建系统","4","C","TAS","3","1.32","0.9","1.29","1472.72","1116.65","10148","97.00","35.7","2.97","38.1","3.18","35.87%"
"新建系统","4","C","ACT","3","1.32","0.9","1.29","1472.72","1116.65","8632","96.74","35.8","2.98","38.2","3.19","35.78%"
"新建系统","4","C","NT","3","1.32","0.9","1.29","1472.72","1116.65","10008","97.00","35.7","2.97","38.1","3.18","35.87%"
"新建系统","5","A","NSW","4","1.76","8","22.44","16998.94","19410.60","7778","96.38","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","VIC","4","1.76","8","22.44","16998.94","19410.60","6778","96.02","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","QLD","4","1.76","8","22.44","16998.94","19410.60","7270","96.61","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","SA","4","1.76","8","22.44","16998.94","19410.60","7129","96.18","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","WA","4","1.76","8","22.44","16998.94","19410.60","7634","96.54","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","TAS","4","1.76","8","22.44","16998.94","19410.60","10148","96.88","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","ACT","4","1.76","8","22.44","16998.94","19410.60","8632","96.17","N/A","N/A","N/A","N/A","N/A"
