项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","2","C","TAS","1","0.44","0.3","0.43","763.20","372.22","10148","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","ACT","1","0.44","0.3","0.43","763.20","372.22","8632","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","NT","1","0.44","0.3","0.43","763.20","372.22","10008","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","A","NSW","2","0.88","8","22.44","24338.38","19410.60","7778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","VIC","2","0.88","8","22.44","24338.38","19410.60","6778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","QLD","2","0.88","8","22.44","24338.38","19410.60","7270","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","SA","2","0.88","8","22.44","24338.38","19410.60","7129","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","WA","2","0.88","8","22.44","24338.38","19410.60","7634","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","TAS","2","0.88","8","22.44","24338.38","19410.60","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","ACT","2","0.88","8","22.44","24338.38","19410.60","8632","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","A","NT","2","0.88","8","22.44","24338.38","19410.60","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","NSW","2","0.88","5","15.00","16335.22","12975.00","7778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","VIC","2","0.88","5","15.00","16335.22","12975.00","6778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","QLD","2","0.88","5","15.00","16335.22","12975.00","7270","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","SA","2","0.88","5","15.00","16335.22","12975.00","7129","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","WA","2","0.88","5","15.00","16335.22","12975.00","7634","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","TAS","2","0.88","5","15.00","16335.22","12975.00","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","ACT","2","0.88","5","15.00","16335.22","12975.00","8632","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","B","NT","2","0.88","5","15.00","16335.22","12975.00","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","3","C","NSW","2","0.88","0.6","0.86","1526.39","744.43","7778","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","VIC","2","0.88","0.6","0.86","1526.39","744.43","6778","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","QLD","2","0.88","0.6","0.86","1526.39","744.43","7270","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","SA","2","0.88","0.6","0.86","1526.39","744.43","7129","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","WA","2","0.88","0.6","0.86","1526.39","744.43","7634","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","TAS","2","0.88","0.6","0.86","1526.39","744.43","10148","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","ACT","2","0.88","0.6","0.86","1526.39","744.43","8632","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","3","C","NT","2","0.88","0.6","0.86","1526.39","744.43","10008","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","4","A","NSW","3","1.32","8","22.44","24599.74","19410.60","7778","96.91","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","VIC","3","1.32","8","22.44","24599.74","19410.60","6778","96.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","QLD","3","1.32","8","22.44","24599.74","19410.60","7270","96.99","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","SA","3","1.32","8","22.44","24599.74","19410.60","7129","96.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","WA","3","1.32","8","22.44","24599.74","19410.60","7634","96.98","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","TAS","3","1.32","8","22.44","24599.74","19410.60","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","ACT","3","1.32","8","22.44","24599.74","19410.60","8632","96.74","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","NT","3","1.32","8","22.44","24599.74","19410.60","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","NSW","3","1.32","5","15.00","16596.58","12975.00","7778","96.91","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","VIC","3","1.32","5","15.00","16596.58","12975.00","6778","96.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","QLD","3","1.32","5","15.00","16596.58","12975.00","7270","96.99","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","SA","3","1.32","5","15.00","16596.58","12975.00","7129","96.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","WA","3","1.32","5","15.00","16596.58","12975.00","7634","96.98","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","TAS","3","1.32","5","15.00","16596.58","12975.00","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","ACT","3","1.32","5","15.00","16596.58","12975.00","8632","96.74","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","NT","3","1.32","5","15.00","16596.58","12975.00","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","C","NSW","3","1.32","0.9","1.29","2289.59","1116.65","7778","96.91","54.4","4.53","60.8","5.06","23.92%"
"新建系统","4","C","VIC","3","1.32","0.9","1.29","2289.59","1116.65","6778","96.68","54.6","4.55","60.9","5.07","23.87%"
"新建系统","4","C","QLD","3","1.32","0.9","1.29","2289.59","1116.65","7270","96.99","54.4","4.53","60.7","5.06","23.94%"
"新建系统","4","C","SA","3","1.32","0.9","1.29","2289.59","1116.65","7129","96.84","54.5","4.54","60.8","5.07","23.90%"
"新建系统","4","C","WA","3","1.32","0.9","1.29","2289.59","1116.65","7634","96.98","54.4","4.53","60.7","5.06","23.94%"
"新建系统","4","C","TAS","3","1.32","0.9","1.29","2289.59","1116.65","10148","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","4","C","ACT","3","1.32","0.9","1.29","2289.59","1116.65","8632","96.74","54.5","4.54","60.9","5.07","23.88%"
"新建系统","4","C","NT","3","1.32","0.9","1.29","2289.59","1116.65","10008","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","5","A","NSW","4","1.76","8","22.44","24861.10","19410.60","7778","96.38","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","VIC","4","1.76","8","22.44","24861.10","19410.60","6778","96.02","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","QLD","4","1.76","8","22.44","24861.10","19410.60","7270","96.61","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","SA","4","1.76","8","22.44","24861.10","19410.60","7129","96.18","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","WA","4","1.76","8","22.44","24861.10","19410.60","7634","96.54","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","TAS","4","1.76","8","22.44","24861.10","19410.60","10148","96.88","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","ACT","4","1.76","8","22.44","24861.10","19410.60","8632","96.17","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","A","NT","4","1.76","8","22.44","24861.10","19410.60","10008","96.97","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","NSW","4","1.76","5","15.00","16857.94","12975.00","7778","96.38","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","VIC","4","1.76","5","15.00","16857.94","12975.00","6778","96.02","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","QLD","4","1.76","5","15.00","16857.94","12975.00","7270","96.61","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","SA","4","1.76","5","15.00","16857.94","12975.00","7129","96.18","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","WA","4","1.76","5","15.00","16857.94","12975.00","7634","96.54","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","TAS","4","1.76","5","15.00","16857.94","12975.00","10148","96.88","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","ACT","4","1.76","5","15.00","16857.94","12975.00","8632","96.17","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","B","NT","4","1.76","5","15.00","16857.94","12975.00","10008","96.97","N/A","N/A","N/A","N/A","N/A"
"新建系统","5","C","NSW","4","1.76","1.2","1.72","3052.79","1488.86","7778","96.38","54.7","4.56","61.1","5.09","23.80%"
"新建系统","5","C","VIC","4","1.76","1.2","1.72","3052.79","1488.86","6778","92.09","57.1","4.76","64.0","5.34","22.83%"
"新建系统","5","C","QLD","4","1.76","1.2","1.72","3052.79","1488.86","7270","96.61","54.6","4.55","60.9","5.08","23.85%"
"新建系统","5","C","SA","4","1.76","1.2","1.72","3052.79","1488.86","7129","94.26","55.9","4.66","62.4","5.20","23.32%"
"新建系统","5","C","WA","4","1.76","1.2","1.72","3052.79","1488.86","7634","96.54","54.6","4.55","61.0","5.08","23.84%"
"新建系统","5","C","TAS","4","1.76","1.2","1.72","3052.79","1488.86","10148","96.88","54.4","4.54","60.8","5.07","23.91%"
"新建系统","5","C","ACT","4","1.76","1.2","1.72","3052.79","1488.86","8632","94.66","55.7","4.64","62.2","5.18","23.41%"
"新建系统","5","C","NT","4","1.76","1.2","1.72","3052.79","1488.86","10008","96.97","54.4","4.53","60.7","5.06","23.93%"
"新建系统","6","A","NSW","5","2.20","8","22.44","25122.46","19410.60","7778","95.83","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","VIC","5","2.20","8","22.44","25122.46","19410.60","6778","95.48","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","QLD","5","2.20","8","22.44","25122.46","19410.60","7270","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","SA","5","2.20","8","22.44","25122.46","19410.60","7129","95.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","WA","5","2.20","8","22.44","25122.46","19410.60","7634","96.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","TAS","5","2.20","8","22.44","25122.46","19410.60","10148","96.46","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","ACT","5","2.20","8","22.44","25122.46","19410.60","8632","95.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","A","NT","5","2.20","8","22.44","25122.46","19410.60","10008","96.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","NSW","5","2.20","5","15.00","17119.30","12975.00","7778","95.83","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","VIC","5","2.20","5","15.00","17119.30","12975.00","6778","95.48","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","QLD","5","2.20","5","15.00","17119.30","12975.00","7270","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","SA","5","2.20","5","15.00","17119.30","12975.00","7129","95.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","WA","5","2.20","5","15.00","17119.30","12975.00","7634","96.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","TAS","5","2.20","5","15.00","17119.30","12975.00","10148","96.46","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","ACT","5","2.20","5","15.00","17119.30","12975.00","8632","95.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","B","NT","5","2.20","5","15.00","17119.30","12975.00","10008","96.63","N/A","N/A","N/A","N/A","N/A"
"新建系统","6","C","NSW","5","2.20","1.5","2.15","3815.98","1861.08","7778","88.94","58.9","4.91","67.0","5.59","22.12%"
"新建系统","6","C","VIC","5","2.20","1.5","2.15","3815.98","1861.08","6778","83.50","62.2","5.18","71.5","5.96","20.88%"
"新建系统","6","C","QLD","5","2.20","1.5","2.15","3815.98","1861.08","7270","93.65","56.2","4.68","62.8","5.23","23.18%"
"新建系统","6","C","SA","5","2.20","1.5","2.15","3815.98","1861.08","7129","85.60","60.8","5.07","69.7","5.81","21.36%"
"新建系统","6","C","WA","5","2.20","1.5","2.15","3815.98","1861.08","7634","91.89","57.2","4.77","64.2","5.35","22.79%"
"新建系统","6","C","TAS","5","2.20","1.5","2.15","3815.98","1861.08","10148","96.46","54.7","4.56","61.0","5.08","23.82%"
"新建系统","6","C","ACT","5","2.20","1.5","2.15","3815.98","1861.08","8632","86.93","60.0","5.00","68.6","5.72","21.66%"
"新建系统","6","C","NT","5","2.20","1.5","2.15","3815.98","1861.08","10008","96.63","54.6","4.55","60.9","5.08","23.86%"
"新建系统","7","A","NSW","6","2.64","8","22.44","25383.82","19410.60","7778","95.39","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","VIC","6","2.64","8","22.44","25383.82","19410.60","6778","95.06","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","QLD","6","2.64","8","22.44","25383.82","19410.60","7270","95.49","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","SA","6","2.64","8","22.44","25383.82","19410.60","7129","95.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","WA","6","2.64","8","22.44","25383.82","19410.60","7634","95.56","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","TAS","6","2.64","8","22.44","25383.82","19410.60","10148","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","ACT","6","2.64","8","22.44","25383.82","19410.60","8632","95.25","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","A","NT","6","2.64","8","22.44","25383.82","19410.60","10008","96.23","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","NSW","6","2.64","5","15.00","17380.66","12975.00","7778","95.39","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","VIC","6","2.64","5","15.00","17380.66","12975.00","6778","95.06","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","QLD","6","2.64","5","15.00","17380.66","12975.00","7270","95.49","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","SA","6","2.64","5","15.00","17380.66","12975.00","7129","95.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","WA","6","2.64","5","15.00","17380.66","12975.00","7634","95.56","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","TAS","6","2.64","5","15.00","17380.66","12975.00","10148","96.01","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","ACT","6","2.64","5","15.00","17380.66","12975.00","8632","95.25","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","B","NT","6","2.64","5","15.00","17380.66","12975.00","10008","96.23","N/A","N/A","N/A","N/A","N/A"
"新建系统","7","C","NSW","6","2.64","1.8","2.58","4579.18","2233.29","7778","82.28","63.0","5.25","72.5","6.04","20.60%"
"新建系统","7","C","VIC","6","2.64","1.8","2.58","4579.18","2233.29","6778","77.08","67.3","5.61","78.0","6.50","19.40%"
"新建系统","7","C","QLD","6","2.64","1.8","2.58","4579.18","2233.29","7270","86.16","60.5","5.04","69.3","5.77","21.48%"
"新建系统","7","C","SA","6","2.64","1.8","2.58","4579.18","2233.29","7129","79.23","65.6","5.46","75.5","6.29","19.90%"
"新建系统","7","C","WA","6","2.64","1.8","2.58","4579.18","2233.29","7634","84.77","61.3","5.11","70.4","5.87","21.17%"
"新建系统","7","C","TAS","6","2.64","1.8","2.58","4579.18","2233.29","10148","92.01","57.1","4.76","64.1","5.34","22.81%"
"新建系统","7","C","ACT","6","2.64","1.8","2.58","4579.18","2233.29","8632","80.44","64.5","5.38","74.2","6.19","20.18%"
"新建系统","7","C","NT","6","2.64","1.8","2.58","4579.18","2233.29","10008","95.12","55.5","4.62","61.9","5.15","23.52%"
"新建系统","8","A","NSW","7","3.08","8","22.44","25645.18","19410.60","7778","95.04","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","VIC","7","3.08","8","22.44","25645.18","19410.60","6778","94.73","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","QLD","7","3.08","8","22.44","25645.18","19410.60","7270","95.11","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","SA","7","3.08","8","22.44","25645.18","19410.60","7129","94.85","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","WA","7","3.08","8","22.44","25645.18","19410.60","7634","95.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","TAS","7","3.08","8","22.44","25645.18","19410.60","10148","95.64","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","ACT","7","3.08","8","22.44","25645.18","19410.60","8632","94.92","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","A","NT","7","3.08","8","22.44","25645.18","19410.60","10008","95.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","8","B","NSW","7","3.08","5","15.00","17642.02","12975.00","7778","95.04","217.0","18.08","N/A","N/A","1.43%"
"新建系统","8","B","VIC","7","3.08","5","15.00","17642.02","12975.00","6778","94.73","217.5","18.12","N/A","N/A","1.39%"
"新建系统","8","B","QLD","7","3.08","5","15.00","17642.02","12975.00","7270","95.11","216.9","18.08","N/A","N/A","1.43%"
"新建系统","8","B","SA","7","3.08","5","15.00","17642.02","12975.00","7129","94.85","217.3","18.11","N/A","N/A","1.41%"
"新建系统","8","B","WA","7","3.08","5","15.00","17642.02","12975.00","7634","95.20","216.8","18.07","N/A","N/A","1.44%"
"新建系统","8","B","TAS","7","3.08","5","15.00","17642.02","12975.00","10148","95.64","216.2","18.02","N/A","N/A","1.49%"
"新建系统","8","B","ACT","7","3.08","5","15.00","17642.02","12975.00","8632","94.92","217.2","18.10","N/A","N/A","1.41%"
"新建系统","8","B","NT","7","3.08","5","15.00","17642.02","12975.00","10008","95.84","216.0","18.00","N/A","N/A","1.51%"
"新建系统","8","C","NSW","7","3.08","2.1","3.01","5342.38","2605.51","7778","76.80","67.5","5.63","78.3","6.53","19.34%"
"新建系统","8","C","VIC","7","3.08","2.1","3.01","5342.38","2605.51","6778","71.64","72.0","6.00","84.3","7.02","18.14%"
"新建系统","8","C","QLD","7","3.08","2.1","3.01","5342.38","2605.51","7270","79.60","65.1","5.42","74.9","6.25","19.98%"
"新建系统","8","C","SA","7","3.08","2.1","3.01","5342.38","2605.51","7129","73.49","70.3","5.86","82.0","6.84","18.57%"
"新建系统","8","C","WA","7","3.08","2.1","3.01","5342.38","2605.51","7634","79.41","65.4","5.45","75.3","6.28","19.94%"
"新建系统","8","C","TAS","7","3.08","2.1","3.01","5342.38","2605.51","10148","85.90","60.6","5.05","69.5","5.79","21.43%"
"新建系统","8","C","ACT","7","3.08","2.1","3.01","5342.38","2605.51","8632","74.95","69.0","5.75","80.3","6.69","18.91%"
"新建系统","8","C","NT","7","3.08","2.1","3.01","5342.38","2605.51","10008","89.18","58.7","4.89","66.8","5.57","22.17%"
"新建系统","9","A","NSW","8","3.52","8","22.44","25906.54","19410.60","7778","94.75","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","VIC","8","3.52","8","22.44","25906.54","19410.60","6778","94.46","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","QLD","8","3.52","8","22.44","25906.54","19410.60","7270","94.81","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","SA","8","3.52","8","22.44","25906.54","19410.60","7129","94.55","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","WA","8","3.52","8","22.44","25906.54","19410.60","7634","94.91","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","TAS","8","3.52","8","22.44","25906.54","19410.60","10148","95.32","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","ACT","8","3.52","8","22.44","25906.54","19410.60","8632","94.64","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","A","NT","8","3.52","8","22.44","25906.54","19410.60","10008","95.52","N/A","N/A","N/A","N/A","N/A"
"新建系统","9","B","NSW","8","3.52","5","15.00","17903.38","12975.00","7778","94.75","196.3","16.36","N/A","N/A","2.89%"
"新建系统","9","B","VIC","8","3.52","5","15.00","17903.38","12975.00","6778","94.46","196.8","16.40","N/A","N/A","2.86%"
"新建系统","9","B","QLD","8","3.52","5","15.00","17903.38","12975.00","7270","94.81","196.2","16.35","N/A","N/A","2.90%"
"新建系统","9","B","SA","8","3.52","5","15.00","17903.38","12975.00","7129","94.55","196.6","16.39","N/A","N/A","2.87%"
"新建系统","9","B","WA","8","3.52","5","15.00","17903.38","12975.00","7634","94.91","196.0","16.34","N/A","N/A","2.91%"
"新建系统","9","B","TAS","8","3.52","5","15.00","17903.38","12975.00","10148","95.32","195.4","16.29","N/A","N/A","2.95%"
"新建系统","9","B","ACT","8","3.52","5","15.00","17903.38","12975.00","8632","94.64","196.5","16.37","N/A","N/A","2.88%"
"新建系统","9","B","NT","8","3.52","5","15.00","17903.38","12975.00","10008","95.52","195.1","16.26","N/A","N/A","2.97%"
"新建系统","9","C","NSW","8","3.52","2.4","3.44","6105.58","2977.72","7778","72.01","71.6","5.97","83.8","6.99","18.23%"
"新建系统","9","C","VIC","8","3.52","2.4","3.44","6105.58","2977.72","6778","66.86","76.7","6.40","90.8","7.57","17.02%"
"新建系统","9","C","QLD","8","3.52","2.4","3.44","6105.58","2977.72","7270","74.13","69.8","5.82","81.3","6.78","18.72%"
"新建系统","9","C","SA","8","3.52","2.4","3.44","6105.58","2977.72","7129","68.46","75.0","6.25","88.6","7.38","17.40%"
"新建系统","9","C","WA","8","3.52","2.4","3.44","6105.58","2977.72","7634","74.54","69.4","5.78","80.8","6.73","18.82%"
"新建系统","9","C","TAS","8","3.52","2.4","3.44","6105.58","2977.72","10148","81.27","63.9","5.32","73.4","6.12","20.37%"
"新建系统","9","C","ACT","8","3.52","2.4","3.44","6105.58","2977.72","8632","70.27","73.1","6.10","86.0","7.16","17.82%"
"新建系统","9","C","NT","8","3.52","2.4","3.44","6105.58","2977.72","10008","84.17","61.7","5.14","71.0","5.91","21.03%"
"新建系统","10","A","NSW","9","3.96","8","22.44","26167.90","19410.60","7778","94.50","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","VIC","9","3.96","8","22.44","26167.90","19410.60","6778","90.39","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","QLD","9","3.96","8","22.44","26167.90","19410.60","7270","94.57","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","SA","9","3.96","8","22.44","26167.90","19410.60","7129","93.20","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","WA","9","3.96","8","22.44","26167.90","19410.60","7634","94.65","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","TAS","9","3.96","8","22.44","26167.90","19410.60","10148","95.06","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","ACT","9","3.96","8","22.44","26167.90","19410.60","8632","94.42","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","A","NT","9","3.96","8","22.44","26167.90","19410.60","10008","95.25","N/A","N/A","N/A","N/A","N/A"
"新建系统","10","B","NSW","9","3.96","5","15.00","18164.74","12975.00","7778","94.50","179.8","14.99","N/A","N/A","4.24%"
"新建系统","10","B","VIC","9","3.96","5","15.00","18164.74","12975.00","6778","90.39","185.4","15.45","N/A","N/A","3.76%"
"新建系统","10","B","QLD","9","3.96","5","15.00","18164.74","12975.00","7270","94.57","179.8","14.98","N/A","N/A","4.24%"
"新建系统","10","B","SA","9","3.96","5","15.00","18164.74","12975.00","7129","93.20","181.3","15.11","N/A","N/A","4.09%"
"新建系统","10","B","WA","9","3.96","5","15.00","18164.74","12975.00","7634","94.65","179.7","14.97","N/A","N/A","4.25%"
"新建系统","10","B","TAS","9","3.96","5","15.00","18164.74","12975.00","10148","95.06","179.2","14.93","N/A","N/A","4.30%"
"新建系统","10","B","ACT","9","3.96","5","15.00","18164.74","12975.00","8632","94.42","179.9","15.00","N/A","N/A","4.23%"
"新建系统","10","B","NT","9","3.96","5","15.00","18164.74","12975.00","10008","95.25","178.9","14.91","N/A","N/A","4.32%"
"新建系统","10","C","NSW","9","3.96","2.7","3.87","6868.77","3349.94","7778","67.50","76.0","6.34","90.0","7.50","17.17%"
"新建系统","10","C","VIC","9","3.96","2.7","3.87","6868.77","3349.94","6778","62.70","81.3","6.78","97.3","8.11","16.03%"
"新建系统","10","C","QLD","9","3.96","2.7","3.87","6868.77","3349.94","7270","69.42","73.9","6.16","86.9","7.24","17.62%"
"新建系统","10","C","SA","9","3.96","2.7","3.87","6868.77","3349.94","7129","64.07","79.7","6.64","95.1","7.93","16.36%"
