State,Postcode,Retailer,PlanType,PlanName,PricingModel,SupplyCharge_c/day,FiT_c/kWh,Distributor
VIC,3350,Lumo Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3350,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3350,Momentum Energy,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,Momentum Energy,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Nectr,Single Rate,"Nectr 100% Clean - Powercor",SR,119.663636,3.3,"Powercor"
VIC,3350,Nectr,Time of Use,"Nectr 100% Clean Time of Use - Powercor",TOU,119.663636,3.3,"Powercor"
VIC,3350,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount Powercor Anytime",SR,111.4699,3.3,"Powercor"
VIC,3350,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount Powercor 7 Day TOU",TOU,111.4699,3.3,"Powercor"
VIC,3350,OVO Energy,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,OVO Energy,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,118.47,3.3,"Powercor"
VIC,3350,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,118.47,3.3,"Powercor"
VIC,3350,Pacific Blue Retail,Single Rate,"Blue First",SR,94,3.3,"Powercor"
VIC,3350,Pacific Blue Retail,Time of Use,"Blue First",TOU,94,3.3,"Powercor"
VIC,3350,Powershop Australia,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Red Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3350,Red Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3350,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,80,3.3,"Powercor"
VIC,3350,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,119.66,3.3,"Powercor"
VIC,3350,Tango Energy,Single Rate,"Value Select",SR,146,3.3,"Powercor"
VIC,3350,Tango Energy,Time of Use,"Value Select",TOU,127,3.3,"Powercor"
VIC,3550,1st Energy,Single Rate,"1st Saver, Residential - Anytime",SR,119,3.3,"Powercor"
VIC,3550,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,119,3.3,"Powercor"
VIC,3550,AGL,Single Rate,"Residential Solar Savers",SR,110.09,3.3,"Powercor"
VIC,3550,AGL,Time of Use,"Residential Solar Savers",TOU,110.09,3.3,"Powercor"
VIC,3550,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,111.11,3.3,"Powercor"
VIC,3550,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,111.11,3.3,"Powercor"
VIC,3550,Amber Electric,Single Rate,"Amber Plan",SR,58.4391,3.3,"Powercor"
VIC,3550,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,79.0909,4.1,"Powercor"
VIC,3550,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,80,4.1,"Powercor"
VIC,3550,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,119.66,3.3,"Powercor"
VIC,3550,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,119.66,3.3,"Powercor"
VIC,3550,CovaU,Single Rate,"Super Saver Residential Single",SR,95.36,4.9,"Powercor"
VIC,3550,CovaU,Time of Use,"Super Saver Residential TOU",TOU,95.36,4.9,"Powercor"
VIC,3550,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,116.17,5.2,"Powercor"
VIC,3550,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,116.17,5.2,"Powercor"
VIC,3550,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,113.6804,3.3,"Powercor"
VIC,3550,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,113.6804,3.3,"Powercor"
VIC,3550,ENGIE,Single Rate,"VIC -ENGIE Solar elec",SR,119.66,12,"Powercor"
VIC,3550,ENGIE,Time of Use,"VIC ENGIE Home Business Standing elec",TOU,119.66,3.3,"Powercor"
VIC,3550,Energy Locals,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3550,Energy Locals,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3550,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,119.663,3.3,"Powercor"
VIC,3550,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,119.663,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"Powercor"
VIC,3550,Flow Power,Single Rate,"Flow Home - Single Rate",SR,82.25,3.3,"Powercor"
VIC,3550,Flow Power,Time of Use,"Flow Home - TOU",TOU,88.25,3.3,"Powercor"
