年份,月份,天数,用电量(kWh),发电量(kWh),直接自用(kWh),上网(kWh),购电(kWh),自用率(%),购电费用($),馈网收入($),净电费($),无太阳能电费($),月度节省($),累计节省($),回本进度(%)
2,5,31,419.26,668.14,419.26,248.88,0.0,75.0,24.8,14.93,9.87,178.97,169.1,2742.03,17.69
2,6,30,522.22,832.22,522.22,310.0,0.0,75.0,24.0,18.6,5.4,216.03,210.63,2952.66,19.05
2,7,31,528.16,841.68,528.16,313.52,0.0,75.0,24.8,18.81,5.99,219.01,213.03,3165.69,20.42
2,8,31,467.78,745.45,467.78,277.67,0.0,75.0,24.8,16.66,8.14,196.81,188.67,3354.36,21.64
2,9,30,364.32,580.58,364.32,216.26,0.0,75.0,24.0,12.98,11.02,157.97,146.94,3501.3,22.59
2,10,31,356.9,568.75,356.9,211.85,0.0,75.0,24.8,12.71,12.09,156.04,143.95,3645.25,23.52
2,11,30,361.35,575.85,361.35,214.5,0.0,75.0,24.0,12.87,11.13,156.88,145.75,3791.0,24.46
2,12,31,397.48,633.43,397.48,235.95,0.0,75.0,24.8,14.16,10.64,170.96,160.32,3951.32,25.49
3,1,31,423.22,671.75,423.22,248.53,0.0,75.0,24.8,14.91,9.89,184.32,174.43,4125.75,26.62
3,2,28,385.11,611.26,385.11,226.15,0.0,75.0,22.4,13.57,8.83,167.55,158.72,4284.47,27.64
3,3,31,371.74,590.04,371.74,218.3,0.0,75.0,24.8,13.1,11.7,164.91,153.21,4437.68,28.63
3,4,30,353.43,560.97,353.43,207.54,0.0,75.0,24.0,12.45,11.55,157.21,145.66,4583.34,29.57
3,5,31,419.26,665.47,419.26,246.21,0.0,75.0,24.8,14.77,10.03,182.82,172.8,4756.14,30.68
3,6,30,522.22,828.89,522.22,306.67,0.0,75.0,24.0,18.4,5.6,220.83,215.23,4971.37,32.07
3,7,31,528.16,838.32,528.16,310.16,0.0,75.0,24.8,18.61,6.19,223.87,217.68,5189.05,33.48
3,8,31,467.78,742.46,467.78,274.68,0.0,75.0,24.8,16.48,8.32,201.11,192.79,5381.84,34.72
3,9,30,364.32,578.26,364.32,213.94,0.0,75.0,24.0,12.84,11.16,161.32,150.15,5531.99,35.69
3,10,31,356.9,566.47,356.9,209.57,0.0,75.0,24.8,12.57,12.23,159.32,147.09,5679.08,36.64
3,11,30,361.35,573.54,361.35,212.19,0.0,75.0,24.0,12.73,11.27,160.2,148.93,5828.01,37.6
3,12,31,397.48,630.9,397.48,233.42,0.0,75.0,24.8,14.01,10.79,174.61,163.82,5991.83,38.66
4,1,31,423.22,669.07,423.22,245.85,0.0,75.0,24.8,14.75,10.05,188.3,178.26,6170.09,39.81
4,2,29,385.11,608.81,385.11,223.7,0.0,75.0,23.2,13.42,9.78,171.98,162.2,6332.29,40.85
4,3,31,371.74,587.68,371.74,215.94,0.0,75.0,24.8,12.96,11.84,168.42,156.57,6488.86,41.86
4,4,30,353.43,558.73,353.43,205.3,0.0,75.0,24.0,12.32,11.68,160.54,148.86,6637.72,42.82
4,5,31,419.26,662.81,419.26,243.55,0.0,75.0,24.8,14.61,10.19,186.77,176.59,6814.31,43.96
4,6,30,522.22,825.57,522.22,303.35,0.0,75.0,24.0,18.2,5.8,225.75,219.95,7034.26,45.38
4,7,31,528.16,834.96,528.16,306.8,0.0,75.0,24.8,18.41,6.39,228.85,222.45,7256.71,46.82
4,8,31,467.78,739.49,467.78,271.71,0.0,75.0,24.8,16.3,8.5,205.52,197.02,7453.73,48.09
4,9,30,364.32,575.94,364.32,211.62,0.0,75.0,24.0,12.7,11.3,164.75,153.45,7607.18,49.08
4,10,31,356.9,564.21,356.9,207.31,0.0,75.0,24.8,12.44,12.36,162.68,150.32,7757.5,50.05
4,11,30,361.35,571.25,361.35,209.9,0.0,75.0,24.0,12.59,11.41,163.6,152.2,7909.7,51.03
4,12,31,397.48,628.37,397.48,230.89,0.0,75.0,24.8,13.85,10.95,178.36,167.41,8077.11,52.11
5,1,31,423.22,666.39,423.22,243.17,0.0,75.0,24.8,14.59,10.21,192.39,182.18,8259.29,53.29
5,2,28,385.11,606.38,385.11,221.27,0.0,75.0,22.4,13.28,9.12,174.9,165.78,8425.07,54.36
5,3,31,371.74,585.33,371.74,213.59,0.0,75.0,24.8,12.82,11.98,172.01,160.02,8585.09,55.39
5,4,30,353.43,556.49,353.43,203.06,0.0,75.0,24.0,12.18,11.82,163.96,152.14,8737.23,56.37
5,5,31,419.26,660.16,419.26,240.9,0.0,75.0,24.8,14.45,10.35,190.82,180.48,8917.71,57.53
5,6,30,522.22,822.27,522.22,300.05,0.0,75.0,24.0,18.0,6.0,230.8,224.8,9142.51,58.98
5,7,31,528.16,831.62,528.16,303.46,0.0,75.0,24.8,18.21,6.59,233.95,227.36,9369.87,60.45
5,8,31,467.78,736.54,467.78,268.76,0.0,75.0,24.8,16.13,8.67,210.04,201.36,9571.23,61.75
5,9,30,364.32,573.64,364.32,209.32,0.0,75.0,24.0,12.56,11.44,168.27,156.83,9728.06,62.76
5,10,31,356.9,561.95,356.9,205.05,0.0,75.0,24.8,12.3,12.5,166.13,153.63,9881.69,63.75
5,11,30,361.35,568.96,361.35,207.61,0.0,75.0,24.0,12.46,11.54,167.09,155.55,10037.24,64.76
5,12,31,397.48,625.86,397.48,228.38,0.0,75.0,24.8,13.7,11.1,182.2,171.1,10208.34,65.86
6,1,31,423.22,663.72,423.22,240.5,0.0,75.0,24.8,14.43,10.37,196.58,186.21,10394.55,67.06
6,2,28,385.11,603.95,385.11,218.84,0.0,75.0,22.4,13.13,9.27,178.71,169.44,10563.99,68.15
6,3,31,371.74,582.99,371.74,211.25,0.0,75.0,24.8,12.68,12.12,175.69,163.56,10727.55,69.21
6,4,30,353.43,554.27,353.43,200.84,0.0,75.0,24.0,12.05,11.95,167.45,155.5,10883.05,70.21
6,5,31,419.26,657.51,419.26,238.25,0.0,75.0,24.8,14.3,10.5,194.97,184.47,11067.52,71.4
6,6,30,522.22,818.98,522.22,296.76,0.0,75.0,24.0,17.81,6.19,235.97,229.77,11297.29,72.89
6,7,31,528.16,828.3,528.16,300.14,0.0,75.0,24.8,18.01,6.79,239.18,232.38,11529.67,74.38
6,8,31,467.78,733.59,467.78,265.81,0.0,75.0,24.8,15.95,8.85,214.67,205.82,11735.49,75.71
6,9,30,364.32,571.35,364.32,207.03,0.0,75.0,24.0,12.42,11.58,171.87,160.3,11895.79,76.75
6,10,31,356.9,559.7,356.9,202.8,0.0,75.0,24.8,12.17,12.63,169.66,157.03,12052.82,77.76
6,11,30,361.35,566.69,361.35,205.34,0.0,75.0,24.0,12.32,11.68,170.67,158.99,12211.81,78.79
6,12,31,397.48,623.36,397.48,225.88,0.0,75.0,24.8,13.55,11.25,186.13,174.89,12386.7,79.91
7,1,31,423.22,661.07,423.22,237.85,0.0,75.0,24.8,14.27,10.53,200.88,190.35,12577.05,81.14
7,2,28,385.11,601.53,385.11,216.42,0.0,75.0,22.4,12.99,9.41,182.62,173.21,12750.26,82.26
7,3,31,371.74,580.66,371.74,208.92,0.0,75.0,24.8,12.54,12.26,179.46,167.19,12917.45,83.34
7,4,30,353.43,552.05,353.43,198.62,0.0,75.0,24.0,11.92,12.08,171.04,158.96,13076.41,84.36
7,5,31,419.26,654.88,419.26,235.62,0.0,75.0,24.8,14.14,10.66,199.23,188.57,13264.98,85.58
7,6,30,522.22,815.71,522.22,293.49,0.0,75.0,24.0,17.61,6.39,241.26,234.87,13499.85,87.1
7,7,31,528.16,824.98,528.16,296.82,0.0,75.0,24.8,17.81,6.99,244.54,237.55,13737.4,88.63
7,8,31,467.78,730.66,467.78,262.88,0.0,75.0,24.8,15.77,9.03,219.42,210.39,13947.79,89.99
7,9,30,364.32,569.06,364.32,204.74,0.0,75.0,24.0,12.28,11.72,175.57,163.86,14111.65,91.04
7,10,31,356.9,557.46,356.9,200.56,0.0,75.0,24.8,12.03,12.77,173.28,160.52,14272.17,92.08
7,11,30,361.35,564.42,361.35,203.07,0.0,75.0,24.0,12.18,11.82,174.34,162.52,14434.69,93.13
7,12,31,397.48,620.86,397.48,223.38,0.0,75.0,24.8,13.4,11.4,190.17,178.77,14613.46,94.28
8,1,31,423.22,658.43,423.22,235.21,0.0,75.0,24.8,14.11,10.69,205.28,194.59,14808.05,95.54
8,2,29,385.11,599.13,385.11,214.02,0.0,75.0,23.2,12.84,10.36,187.43,177.07,14985.12,96.68
8,3,31,371.74,578.34,371.74,206.6,0.0,75.0,24.8,12.4,12.4,183.33,170.92,15156.04,97.78
8,4,30,353.43,549.84,353.43,196.41,0.0,75.0,24.0,11.78,12.22,174.72,162.5,15318.54,98.83
8,5,31,419.26,652.26,419.26,233.0,0.0,75.0,24.8,13.98,10.82,203.59,192.77,15511.31,100.07
8,6,30,522.22,812.44,522.22,290.22,0.0,75.0,24.0,17.41,6.59,246.7,240.11,15751.42,101.62
8,7,31,528.16,821.68,528.16,293.52,0.0,75.0,24.8,17.61,7.19,250.03,242.84,15994.26,103.19
8,8,31,467.78,727.73,467.78,259.95,0.0,75.0,24.8,15.6,9.2,224.28,215.08,16209.34,104.58
8,9,30,364.32,566.79,364.32,202.47,0.0,75.0,24.0,12.15,11.85,179.36,167.51,16376.85,105.66
8,10,31,356.9,555.23,356.9,198.33,0.0,75.0,24.8,11.9,12.9,177.0,164.1,16540.95,106.72
8,11,30,361.35,562.16,361.35,200.81,0.0,75.0,24.0,12.05,11.95,178.09,166.14,16707.09,107.79
8,12,31,397.48,618.38,397.48,220.9,0.0,75.0,24.8,13.25,11.55,194.3,182.76,16889.85,108.97
9,1,31,423.22,655.79,423.22,232.57,0.0,75.0,24.8,13.95,10.85,209.79,198.94,17088.79,110.25
9,2,28,385.11,596.73,385.11,211.62,0.0,75.0,22.4,12.7,9.7,190.73,181.03,17269.82,111.42
9,3,31,371.74,576.02,371.74,204.28,0.0,75.0,24.8,12.26,12.54,187.29,174.75,17444.57,112.55
9,4,30,353.43,547.64,353.43,194.21,0.0,75.0,24.0,11.65,12.35,178.48,166.14,17610.71,113.62
9,5,31,419.26,649.66,419.26,230.4,0.0,75.0,24.8,13.82,10.98,208.06,197.08,17807.79,114.89
9,6,30,522.22,809.19,522.22,286.97,0.0,75.0,24.0,17.22,6.78,252.26,245.48,18053.27,116.47
9,7,31,528.16,818.4,528.16,290.24,0.0,75.0,24.8,17.41,7.39,255.66,248.27,18301.54,118.07
9,8,31,467.78,724.82,467.78,257.04,0.0,75.0,24.8,15.42,9.38,229.27,219.89,18521.43,119.49
9,9,30,364.32,564.52,364.32,200.2,0.0,75.0,24.0,12.01,11.99,183.25,171.26,18692.69,120.6
9,10,31,356.9,553.01,356.9,196.11,0.0,75.0,24.8,11.77,13.03,180.8,167.77,18860.46,121.68
9,11,30,361.35,559.92,361.35,198.57,0.0,75.0,24.0,11.91,12.09,181.95,169.86,19030.32,122.78
9,12,31,397.48,615.91,397.48,218.43,0.0,75.0,24.8,13.11,11.69,198.54,186.84,19217.16,123.98
10,1,31,423.22,653.17,423.22,229.95,0.0,75.0,24.8,13.8,11.0,214.42,203.41,19420.57,125.29
10,2,28,385.11,594.35,385.11,209.24,0.0,75.0,22.4,12.55,9.85,194.94,185.09,19605.66,126.49
10,3,31,371.74,573.72,371.74,201.98,0.0,75.0,24.8,12.12,12.68,191.35,178.67,19784.33,127.64
10,4,30,353.43,545.45,353.43,192.02,0.0,75.0,24.0,11.52,12.48,182.35,169.87,19954.2,128.74
10,5,31,419.26,647.06,419.26,227.8,0.0,75.0,24.8,13.67,11.13,212.64,201.51,20155.71,130.04
10,6,30,522.22,805.96,522.22,283.74,0.0,75.0,24.0,17.02,6.98,257.97,250.99,20406.7,131.66
10,7,31,528.16,815.12,528.16,286.96,0.0,75.0,24.8,17.22,7.58,261.43,253.85,20660.55,133.29
10,8,31,467.78,721.92,467.78,254.14,0.0,75.0,24.8,15.25,9.55,234.38,224.83,20885.38,134.74
10,9,30,364.32,562.26,364.32,197.94,0.0,75.0,24.0,11.88,12.12,187.23,175.1,21060.48,135.87
10,10,31,356.9,550.8,356.9,193.9,0.0,75.0,24.8,11.63,13.17,184.7,171.54,21232.02,136.98
10,11,30,361.35,557.68,361.35,196.33,0.0,75.0,24.0,11.78,12.22,185.9,173.68,21405.7,138.1
10,12,31,397.48,613.44,397.48,215.96,0.0,75.0,24.8,12.96,11.84,202.88,191.04,21596.74,139.33
11,1,31,423.22,650.56,423.22,227.34,0.0,75.0,24.8,13.64,11.16,219.16,208.0,21804.74,140.68
11,2,28,385.11,591.97,385.11,206.86,0.0,75.0,22.4,12.41,9.99,199.25,189.27,21994.01,141.9
11,3,31,371.74,571.42,371.74,199.68,0.0,75.0,24.8,11.98,12.82,195.51,182.7,22176.71,143.08
11,4,30,353.43,543.27,353.43,189.84,0.0,75.0,24.0,11.39,12.61,186.31,173.7,22350.41,144.2
11,5,31,419.26,644.47,419.26,225.21,0.0,75.0,24.8,13.51,11.29,217.34,206.05,22556.46,145.53
11,6,30,522.22,802.73,522.22,280.51,0.0,75.0,24.0,16.83,7.17,263.82,256.65,22813.11,147.18
11,7,31,528.16,811.86,528.16,283.7,0.0,75.0,24.8,17.02,7.78,267.35,259.57,23072.68,148.86
11,8,31,467.78,719.04,467.78,251.26,0.0,75.0,24.8,15.08,9.72,239.62,229.89,23302.57,150.34
11,9,30,364.32,560.01,364.32,195.69,0.0,75.0,24.0,11.74,12.26,191.31,179.05,23481.62,151.49
11,10,31,356.9,548.6,356.9,191.7,0.0,75.0,24.8,11.5,13.3,188.7,175.4,23657.02,152.63
11,11,30,361.35,555.45,361.35,194.1,0.0,75.0,24.0,11.65,12.35,189.94,177.59,23834.61,153.77
11,12,31,397.48,610.99,397.48,213.51,0.0,75.0,24.8,12.81,11.99,207.33,195.35,24029.96,155.03
12,1,31,423.22,647.95,423.22,224.73,0.0,75.0,24.8,13.48,11.32,224.01,212.7,24242.66,156.4
12,2,29,385.11,589.6,385.11,204.49,0.0,75.0,23.2,12.27,10.93,204.48,193.54,24436.2,157.65
12,3,31,371.74,569.14,371.74,197.4,0.0,75.0,24.8,11.84,12.96,199.78,186.83,24623.03,158.86
12,4,30,353.43,541.1,353.43,187.67,0.0,75.0,24.0,11.26,12.74,190.36,177.62,24800.65,160.0
12,5,31,419.26,641.89,419.26,222.63,0.0,75.0,24.8,13.36,11.44,222.15,210.71,25011.36,161.36
12,6,30,522.22,799.52,522.22,277.3,0.0,75.0,24.0,16.64,7.36,269.81,262.45,25273.81,163.06
12,7,31,528.16,808.62,528.16,280.46,0.0,75.0,24.8,16.83,7.97,273.41,265.44,25539.25,164.77
12,8,31,467.78,716.16,467.78,248.38,0.0,75.0,24.8,14.9,9.9,244.99,235.09,25774.34,166.29
12,9,30,364.32,557.77,364.32,193.45,0.0,75.0,24.0,11.61,12.39,195.49,183.1,25957.44,167.47
12,10,31,356.9,546.4,356.9,189.5,0.0,75.0,24.8,11.37,13.43,192.8,179.37,26136.81,168.62
12,11,30,361.35,553.22,361.35,191.87,0.0,75.0,24.0,11.51,12.49,194.09,181.6,26318.41,169.8
12,12,31,397.48,608.55,397.48,211.07,0.0,75.0,24.8,12.66,12.14,211.9,199.76,26518.17,171.08
13,1,31,423.22,645.36,423.22,222.14,0.0,75.0,24.8,13.33,11.47,228.99,217.52,26735.69,172.49
13,2,28,385.11,587.24,385.11,202.13,0.0,75.0,22.4,12.13,10.27,208.21,197.94,26933.63,173.77
13,3,31,371.74,566.86,371.74,195.12,0.0,75.0,24.8,11.71,13.09,204.16,191.06,27124.69,175.0
13,4,30,353.43,538.93,353.43,185.5,0.0,75.0,24.0,11.13,12.87,194.52,181.65,27306.34,176.17
13,5,31,419.26,639.32,419.26,220.06,0.0,75.0,24.8,13.2,11.6,227.08,215.49,27521.83,177.56
13,6,30,522.22,796.32,522.22,274.1,0.0,75.0,24.0,16.45,7.55,275.96,268.41,27790.24,179.29
13,7,31,528.16,805.38,528.16,277.22,0.0,75.0,24.8,16.63,8.17,279.63,271.46,28061.7,181.04
13,8,31,467.78,713.29,467.78,245.51,0.0,75.0,24.8,14.73,10.07,250.49,240.42,28302.12,182.59
13,9,30,364.32,555.54,364.32,191.22,0.0,75.0,24.0,11.47,12.53,199.78,187.25,28489.37,183.8
13,10,31,356.9,544.22,356.9,187.32,0.0,75.0,24.8,11.24,13.56,197.0,183.44,28672.81,184.99
13,11,30,361.35,551.01,361.35,189.66,0.0,75.0,24.0,11.38,12.62,198.34,185.72,28858.53,186.18
13,12,31,397.48,606.11,397.48,208.63,0.0,75.0,24.8,12.52,12.28,216.58,204.29,29062.82,187.5
14,1,31,423.22,642.78,423.22,219.56,0.0,75.0,24.8,13.17,11.63,234.1,222.47,29285.29,188.94
14,2,28,385.11,584.89,385.11,199.78,0.0,75.0,22.4,11.99,10.41,212.85,202.44,29487.73,190.24
14,3,31,371.74,564.59,371.74,192.85,0.0,75.0,24.8,11.57,13.23,208.64,195.41,29683.14,191.5
14,4,30,353.43,536.78,353.43,183.35,0.0,75.0,24.0,11.0,13.0,198.79,185.79,29868.93,192.7
14,5,31,419.26,636.77,419.26,217.51,0.0,75.0,24.8,13.05,11.75,232.14,220.39,30089.32,194.12
14,6,30,522.22,793.14,522.22,270.92,0.0,75.0,24.0,16.26,7.74,282.26,274.51,30363.83,195.9
14,7,31,528.16,802.16,528.16,274.0,0.0,75.0,24.8,16.44,8.36,286.0,277.64,30641.47,197.69
14,8,31,467.78,710.44,467.78,242.66,0.0,75.0,24.8,14.56,10.24,256.14,245.9,30887.37,199.27
14,9,30,364.32,553.32,364.32,189.0,0.0,75.0,24.0,11.34,12.66,204.17,191.51,31078.88,200.51
14,10,31,356.9,542.04,356.9,185.14,0.0,75.0,24.8,11.11,13.69,201.3,187.61,31266.49,201.72
14,11,30,361.35,548.81,361.35,187.46,0.0,75.0,24.0,11.25,12.75,202.7,189.95,31456.44,202.94
14,12,31,397.48,603.69,397.48,206.21,0.0,75.0,24.8,12.37,12.43,221.37,208.94,31665.38,204.29
15,1,31,423.22,640.21,423.22,216.99,0.0,75.0,24.8,13.02,11.78,239.33,227.55,31892.93,205.76
15,2,28,385.11,582.55,385.11,197.44,0.0,75.0,22.4,11.85,10.55,217.61,207.06,32099.99,207.1
15,3,31,371.74,562.34,371.74,190.6,0.0,75.0,24.8,11.44,13.36,213.24,199.87,32299.86,208.39
15,4,30,353.43,534.63,353.43,181.2,0.0,75.0,24.0,10.87,13.13,203.16,190.03,32489.89,209.61
15,5,31,419.26,634.22,419.26,214.96,0.0,75.0,24.8,12.9,11.9,237.32,225.42,32715.31,211.07
15,6,30,522.22,789.97,522.22,267.75,0.0,75.0,24.0,16.06,7.94,288.72,280.78,32996.09,212.88
15,7,31,528.16,798.95,528.16,270.79,0.0,75.0,24.8,16.25,8.55,292.53,283.97,33280.06,214.71
15,8,31,467.78,707.6,467.78,239.82,0.0,75.0,24.8,14.39,10.41,261.92,251.51,33531.57,216.33
15,9,30,364.32,551.1,364.32,186.78,0.0,75.0,24.0,11.21,12.79,208.68,195.88,33727.45,217.6
15,10,31,356.9,539.87,356.9,182.97,0.0,75.0,24.8,10.98,13.82,205.71,191.89,33919.34,218.83
15,11,30,361.35,546.61,361.35,185.26,0.0,75.0,24.0,11.12,12.88,207.17,194.29,34113.63,220.09
15,12,31,397.48,601.27,397.48,203.79,0.0,75.0,24.8,12.23,12.57,226.28,213.71,34327.34,221.47
16,1,31,423.22,637.65,423.22,214.43,0.0,75.0,24.8,12.87,11.93,244.7,232.76,34560.1,222.97
16,2,29,385.11,580.22,385.11,195.11,0.0,75.0,23.2,11.71,11.49,223.29,211.8,34771.9,224.33
16,3,31,371.74,560.09,371.74,188.35,0.0,75.0,24.8,11.3,13.5,217.95,204.45,34976.35,225.65
16,4,30,353.43,532.49,353.43,179.06,0.0,75.0,24.0,10.74,13.26,207.63,194.38,35170.73,226.91
16,5,31,419.26,631.68,419.26,212.42,0.0,75.0,24.8,12.75,12.05,242.64,230.58,35401.31,228.4
16,6,30,522.22,786.81,522.22,264.59,0.0,75.0,24.0,15.88,8.12,295.33,287.21,35688.52,230.25
16,7,31,528.16,795.76,528.16,267.6,0.0,75.0,24.8,16.06,8.74,299.22,290.48,35979.0,232.12
16,8,31,467.78,704.77,467.78,236.99,0.0,75.0,24.8,14.22,10.58,267.85,257.27,36236.27,233.78
16,9,30,364.32,548.9,364.32,184.58,0.0,75.0,24.0,11.07,12.93,213.29,200.37,36436.64,235.08
16,10,31,356.9,537.71,356.9,180.81,0.0,75.0,24.8,10.85,13.95,210.24,196.29,36632.93,236.34
16,11,30,361.35,544.43,361.35,183.08,0.0,75.0,24.0,10.98,13.02,211.75,198.73,36831.66,237.62
16,12,31,397.48,598.87,397.48,201.39,0.0,75.0,24.8,12.08,12.72,231.32,218.6,37050.26,239.03
17,1,31,423.22,635.1,423.22,211.88,0.0,75.0,24.8,12.71,12.09,250.19,238.11,37288.37,240.57
17,2,28,385.11,577.9,385.11,192.79,0.0,75.0,22.4,11.57,10.83,227.5,216.66,37505.03,241.97
17,3,31,371.74,557.85,371.74,186.11,0.0,75.0,24.8,11.17,13.63,222.78,209.14,37714.17,243.32
17,4,30,353.43,530.36,353.43,176.93,0.0,75.0,24.0,10.62,13.38,212.22,198.84,37913.01,244.6
17,5,31,419.26,629.16,419.26,209.9,0.0,75.0,24.8,12.59,12.21,248.08,235.88,38148.89,246.12
17,6,30,522.22,783.66,522.22,261.44,0.0,75.0,24.0,15.69,8.31,302.12,293.8,38442.69,248.02
17,7,31,528.16,792.57,528.16,264.41,0.0,75.0,24.8,15.86,8.94,306.08,297.15,38739.84,249.93
17,8,31,467.78,701.95,467.78,234.17,0.0,75.0,24.8,14.05,10.75,273.92,263.17,39003.01,251.63
17,9,30,364.32,546.7,364.32,182.38,0.0,75.0,24.0,10.94,13.06,218.02,204.97,39207.98,252.95
17,10,31,356.9,535.56,356.9,178.66,0.0,75.0,24.8,10.72,14.08,214.87,200.79,39408.77,254.25
17,11,30,361.35,542.25,361.35,180.9,0.0,75.0,24.0,10.85,13.15,216.44,203.3,39612.07,255.56
17,12,31,397.48,596.47,397.48,198.99,0.0,75.0,24.8,11.94,12.86,236.48,223.62,39835.69,257.0
18,1,31,423.22,632.56,423.22,209.34,0.0,75.0,24.8,12.56,12.24,255.83,243.59,40079.28,258.58
18,2,28,385.11,575.59,385.11,190.48,0.0,75.0,22.4,11.43,10.97,232.62,221.65,40300.93,260.01
18,3,31,371.74,555.61,371.74,183.87,0.0,75.0,24.8,11.03,13.77,227.73,213.96,40514.89,261.39
18,4,30,353.43,528.24,353.43,174.81,0.0,75.0,24.0,10.49,13.51,216.93,203.42,40718.31,262.7
18,5,31,419.26,626.64,419.26,207.38,0.0,75.0,24.8,12.44,12.36,253.67,241.31,40959.62,264.26
18,6,30,522.22,780.52,522.22,258.3,0.0,75.0,24.0,15.5,8.5,309.07,300.57,41260.19,266.19
18,7,31,528.16,789.4,528.16,261.24,0.0,75.0,24.8,15.67,9.13,313.11,303.99,41564.18,268.16
18,8,31,467.78,699.14,467.78,231.36,0.0,75.0,24.8,13.88,10.92,280.15,269.23,41833.41,269.89
18,9,30,364.32,544.52,364.32,180.2,0.0,75.0,24.0,10.81,13.19,222.88,209.69,42043.1,271.25
18,10,31,356.9,533.42,356.9,176.52,0.0,75.0,24.8,10.59,14.21,219.62,205.42,42248.52,272.57
18,11,30,361.35,540.08,361.35,178.73,0.0,75.0,24.0,10.72,13.28,221.25,207.98,42456.5,273.91
18,12,31,397.48,594.09,397.48,196.61,0.0,75.0,24.8,11.8,13.0,241.78,228.77,42685.27,275.39
19,1,31,423.22,630.03,423.22,206.81,0.0,75.0,24.8,12.41,12.39,261.6,249.21,42934.48,277.0
19,2,28,385.11,573.29,385.11,188.18,0.0,75.0,22.4,11.29,11.11,237.88,226.77,43161.25,278.46
19,3,31,371.74,553.39,371.74,181.65,0.0,75.0,24.8,10.9,13.9,232.8,218.9,43380.15,279.87
19,4,30,353.43,526.13,353.43,172.7,0.0,75.0,24.0,10.36,13.64,221.75,208.12,43588.27,281.21
19,5,31,419.26,624.13,419.26,204.87,0.0,75.0,24.8,12.29,12.51,259.39,246.88,43835.15,282.81
19,6,30,522.22,777.4,522.22,255.18,0.0,75.0,24.0,15.31,8.69,316.2,307.51,44142.66,284.79
19,7,31,528.16,786.24,528.16,258.08,0.0,75.0,24.8,15.49,9.31,320.32,311.01,44453.67,286.8
19,8,31,467.78,696.35,467.78,228.57,0.0,75.0,24.8,13.71,11.09,286.54,275.45,44729.12,288.57
19,9,30,364.32,542.34,364.32,178.02,0.0,75.0,24.0,10.68,13.32,227.85,214.53,44943.65,289.96
19,10,31,356.9,531.29,356.9,174.39,0.0,75.0,24.8,10.46,14.34,224.5,210.16,45153.81,291.31
19,11,30,361.35,537.92,361.35,176.57,0.0,75.0,24.0,10.59,13.41,226.19,212.78,45366.59,292.69
19,12,31,397.48,591.71,397.48,194.23,0.0,75.0,24.8,11.65,13.15,247.2,234.05,45600.64,294.2
20,1,31,423.22,627.51,423.22,204.29,0.0,75.0,24.8,12.26,12.54,267.52,254.98,45855.62,295.84
20,2,29,385.11,570.99,385.11,185.88,0.0,75.0,23.2,11.15,12.05,244.07,232.02,46087.64,297.34
20,3,31,371.74,551.18,371.74,179.44,0.0,75.0,24.8,10.77,14.03,238.0,223.97,46311.61,298.78
20,4,30,353.43,524.02,353.43,170.59,0.0,75.0,24.0,10.24,13.76,226.7,212.93,46524.54,300.16
20,5,31,419.26,621.64,419.26,202.38,0.0,75.0,24.8,12.14,12.66,265.25,252.59,46777.13,301.79
