年份,月份,天数,发电量(kWh),用电量(kWh),直接自用(kWh),上网(kWh),购电(kWh),自用率(%),购电费用($),馈网收入($),净电费($),无太阳能电费($),月度节省($),累计节省($),回本进度(%)
4,4,30,1067.09,730.0,730.0,337.09,0.0,70.0,15.0,16.85,-1.85,256.74,258.59,9190.54,54.06
4,5,31,1126.37,730.0,730.0,396.37,0.0,70.0,15.5,19.82,-4.32,257.24,261.55,9452.09,55.6
4,6,30,1126.37,730.0,730.0,396.37,0.0,70.0,15.0,19.82,-4.82,256.74,261.55,9713.64,57.14
4,7,31,1126.37,730.0,730.0,396.37,0.0,70.0,15.5,19.82,-4.32,257.24,261.55,9975.19,58.68
4,8,31,1067.09,730.0,730.0,337.09,0.0,70.0,15.5,16.85,-1.35,257.24,258.59,10233.78,60.2
4,9,30,1007.81,730.0,705.47,302.34,24.53,70.0,23.12,15.12,8.01,256.74,248.73,10482.51,61.66
4,10,31,948.53,730.0,663.97,284.56,66.03,70.0,37.37,14.23,23.14,257.24,234.1,10716.61,63.04
4,11,30,889.24,730.0,622.47,266.77,107.53,70.0,50.61,13.34,37.27,256.74,219.47,10936.08,64.33
4,12,31,770.68,730.0,539.48,231.2,190.52,70.0,78.59,11.56,67.03,257.24,190.2,11126.28,65.45
5,1,31,826.64,730.0,578.65,247.99,151.35,70.0,66.87,12.4,54.47,263.28,208.81,11335.09,66.68
5,2,28,885.69,730.0,619.98,265.71,110.02,70.0,51.34,13.29,38.06,261.78,223.72,11558.81,67.99
5,3,31,1003.78,730.0,702.65,301.13,27.35,70.0,24.78,15.06,9.73,263.28,253.55,11812.36,69.48
5,4,30,1062.82,730.0,730.0,332.82,0.0,70.0,15.0,16.64,-1.64,262.78,264.42,12076.78,71.04
5,5,31,1121.87,730.0,730.0,391.87,0.0,70.0,15.5,19.59,-4.09,263.28,267.37,12344.15,72.61
5,6,30,1121.87,730.0,730.0,391.87,0.0,70.0,15.0,19.59,-4.59,262.78,267.37,12611.52,74.19
5,7,31,1121.87,730.0,730.0,391.87,0.0,70.0,15.5,19.59,-4.09,263.28,267.37,12878.89,75.76
5,8,31,1062.82,730.0,730.0,332.82,0.0,70.0,15.5,16.64,-1.14,263.28,264.42,13143.31,77.31
5,9,30,1003.78,730.0,702.65,301.13,27.35,70.0,24.28,15.06,9.23,262.78,253.55,13396.86,78.81
5,10,31,944.73,730.0,661.31,283.42,68.69,70.0,38.81,14.17,24.64,263.28,238.63,13635.49,80.21
5,11,30,885.69,730.0,619.98,265.71,110.02,70.0,52.34,13.29,39.06,262.78,223.72,13859.21,81.52
5,12,31,767.59,730.0,537.31,230.28,192.69,70.0,80.9,11.51,69.39,263.28,193.89,14053.1,82.67
6,1,31,823.33,730.0,576.33,247.0,153.67,70.0,68.96,12.35,56.61,269.47,212.86,14265.96,83.92
6,2,28,882.14,730.0,617.5,264.64,112.5,70.0,53.14,13.23,39.91,267.97,228.06,14494.02,85.26
6,3,31,999.76,730.0,699.83,299.93,30.17,70.0,26.0,15.0,11.0,269.47,258.47,14752.49,86.78
6,4,30,1058.57,730.0,730.0,328.57,0.0,70.0,15.0,16.43,-1.43,268.97,270.4,15022.89,88.37
6,5,31,1117.38,730.0,730.0,387.38,0.0,70.0,15.5,19.37,-3.87,269.47,273.34,15296.23,89.98
6,6,30,1117.38,730.0,730.0,387.38,0.0,70.0,15.0,19.37,-4.37,268.97,273.34,15569.57,91.59
6,7,31,1117.38,730.0,730.0,387.38,0.0,70.0,15.5,19.37,-3.87,269.47,273.34,15842.91,93.19
6,8,31,1058.57,730.0,730.0,328.57,0.0,70.0,15.5,16.43,-0.93,269.47,270.4,16113.31,94.78
6,9,30,999.76,730.0,699.83,299.93,30.17,70.0,25.5,15.0,10.5,268.97,258.47,16371.78,96.3
6,10,31,940.95,730.0,658.66,282.29,71.33,70.0,40.32,14.11,26.2,269.47,243.27,16615.05,97.74
6,11,30,882.14,730.0,617.5,264.64,112.5,70.0,54.14,13.23,40.91,268.97,228.06,16843.11,99.08
6,12,31,764.52,730.0,535.16,229.36,194.84,70.0,83.29,11.47,71.82,269.47,197.66,17040.77,100.24
7,1,31,820.04,730.0,574.03,246.01,155.97,70.0,71.12,12.3,58.82,275.82,217.0,17257.77,101.52
7,2,28,878.61,730.0,615.03,263.58,114.97,70.0,55.0,13.18,41.82,274.32,232.5,17490.27,102.88
7,3,31,995.76,730.0,697.03,298.73,32.97,70.0,27.26,14.94,12.32,275.82,263.5,17753.77,104.43
7,4,30,1054.34,730.0,730.0,324.34,0.0,70.0,15.0,16.22,-1.22,275.32,276.54,18030.31,106.06
7,5,31,1112.91,730.0,730.0,382.91,0.0,70.0,15.5,19.15,-3.65,275.82,279.47,18309.78,107.7
7,6,30,1112.91,730.0,730.0,382.91,0.0,70.0,15.0,19.15,-4.15,275.32,279.47,18589.25,109.35
7,7,31,1112.91,730.0,730.0,382.91,0.0,70.0,15.5,19.15,-3.65,275.82,279.47,18868.72,110.99
7,8,31,1054.34,730.0,730.0,324.34,0.0,70.0,15.5,16.22,-0.72,275.82,276.54,19145.26,112.62
7,9,30,995.76,730.0,697.03,298.73,32.97,70.0,26.76,14.94,11.82,275.32,263.5,19408.76,114.17
7,10,31,937.19,730.0,656.03,281.16,73.97,70.0,41.88,14.06,27.82,275.82,248.0,19656.76,115.63
7,11,30,878.61,730.0,615.03,263.58,114.97,70.0,56.0,13.18,42.82,275.32,232.5,19889.26,117.0
7,12,31,761.47,730.0,533.03,228.44,196.97,70.0,85.74,11.42,74.32,275.82,201.5,20090.76,118.18
8,1,31,816.76,730.0,571.73,245.03,158.27,70.0,73.35,12.25,61.1,282.33,221.23,20311.99,119.48
8,2,29,875.1,730.0,612.57,262.53,117.43,70.0,57.42,13.13,44.3,281.33,237.03,20549.02,120.88
8,3,31,991.78,730.0,694.25,297.53,35.75,70.0,28.57,14.88,13.69,282.33,268.64,20817.66,122.46
8,4,30,1050.12,730.0,730.0,320.12,0.0,70.0,15.0,16.01,-1.01,281.83,282.84,21100.5,124.12
8,5,31,1108.46,730.0,730.0,378.46,0.0,70.0,15.5,18.92,-3.42,282.33,285.75,21386.25,125.8
8,6,30,1108.46,730.0,730.0,378.46,0.0,70.0,15.0,18.92,-3.92,281.83,285.75,21672.0,127.48
8,7,31,1108.46,730.0,730.0,378.46,0.0,70.0,15.5,18.92,-3.42,282.33,285.75,21957.75,129.16
8,8,31,1050.12,730.0,730.0,320.12,0.0,70.0,15.5,16.01,-0.51,282.33,282.84,22240.59,130.83
8,9,30,991.78,730.0,694.25,297.53,35.75,70.0,28.07,14.88,13.19,281.83,268.64,22509.23,132.41
8,10,31,933.44,730.0,653.41,280.03,76.59,70.0,43.5,14.0,29.49,282.33,252.84,22762.07,133.89
8,11,30,875.1,730.0,612.57,262.53,117.43,70.0,57.92,13.13,44.8,281.83,237.03,22999.1,135.29
8,12,31,758.42,730.0,530.89,227.53,199.11,70.0,88.28,11.38,76.9,282.33,205.43,23204.53,136.5
9,1,31,813.49,730.0,569.44,244.05,160.56,70.0,75.65,12.2,63.45,289.0,225.55,23430.08,137.82
9,2,28,871.6,730.0,610.12,261.48,119.88,70.0,58.91,13.07,45.84,287.5,241.66,23671.74,139.25
9,3,31,987.81,730.0,691.47,296.34,38.53,70.0,29.94,14.82,15.12,289.0,273.88,23945.62,140.86
9,4,30,1045.92,730.0,730.0,315.92,0.0,70.0,15.0,15.8,-0.8,288.5,289.3,24234.92,142.56
9,5,31,1104.03,730.0,730.0,374.03,0.0,70.0,15.5,18.7,-3.2,289.0,292.2,24527.12,144.28
9,6,30,1104.03,730.0,730.0,374.03,0.0,70.0,15.0,18.7,-3.7,288.5,292.2,24819.32,146.0
9,7,31,1104.03,730.0,730.0,374.03,0.0,70.0,15.5,18.7,-3.2,289.0,292.2,25111.52,147.71
9,8,31,1045.92,730.0,730.0,315.92,0.0,70.0,15.5,15.8,-0.3,289.0,289.3,25400.82,149.42
9,9,30,987.81,730.0,691.47,296.34,38.53,70.0,29.44,14.82,14.62,288.5,273.88,25674.7,151.03
9,10,31,929.71,730.0,650.8,278.91,79.2,70.0,45.17,13.95,31.23,289.0,257.77,25932.47,152.54
9,11,30,871.6,730.0,610.12,261.48,119.88,70.0,59.91,13.07,46.84,288.5,241.66,26174.13,153.97
9,12,31,755.39,730.0,528.77,226.62,201.23,70.0,90.89,11.33,79.56,289.0,209.44,26383.57,155.2
10,1,31,810.24,730.0,567.17,243.07,162.83,70.0,78.03,12.15,65.88,295.84,229.96,26613.53,156.55
10,2,28,868.11,730.0,607.68,260.43,122.32,70.0,60.98,13.02,47.95,294.34,246.39,26859.92,158.0
10,3,31,983.86,730.0,688.7,295.16,41.3,70.0,31.36,14.76,16.6,295.84,279.24,27139.16,159.64
10,4,30,1041.74,730.0,729.22,312.52,0.78,70.0,15.3,15.63,-0.33,295.34,295.66,27434.82,161.38
10,5,31,1099.61,730.0,730.0,369.61,0.0,70.0,15.5,18.48,-2.98,295.84,298.82,27733.64,163.14
10,6,30,1099.61,730.0,730.0,369.61,0.0,70.0,15.0,18.48,-3.48,295.34,298.82,28032.46,164.9
10,7,31,1099.61,730.0,730.0,369.61,0.0,70.0,15.5,18.48,-2.98,295.84,298.82,28331.28,166.65
10,8,31,1041.74,730.0,729.22,312.52,0.78,70.0,15.8,15.63,0.17,295.84,295.66,28626.94,168.39
10,9,30,983.86,730.0,688.7,295.16,41.3,70.0,30.86,14.76,16.1,295.34,279.24,28906.18,170.04
10,10,31,925.99,730.0,648.19,277.8,81.81,70.0,46.92,13.89,33.03,295.84,262.81,29168.99,171.58
10,11,30,868.11,730.0,607.68,260.43,122.32,70.0,61.98,13.02,48.95,295.34,246.39,29415.38,173.03
10,12,31,752.37,730.0,526.66,225.71,203.34,70.0,93.59,11.29,82.3,295.84,213.54,29628.92,174.29
11,1,31,807.0,730.0,564.9,242.1,165.1,70.0,80.49,12.11,68.38,302.85,234.46,29863.38,175.67
11,2,28,864.64,730.0,605.25,259.39,124.75,70.0,63.11,12.97,50.14,301.35,251.21,30114.59,177.14
11,3,31,979.93,730.0,685.95,293.98,44.05,70.0,32.84,14.7,18.14,302.85,284.71,30399.3,178.82
11,4,30,1037.57,730.0,726.3,311.27,3.7,70.0,16.46,15.56,0.89,302.35,301.45,30700.75,180.59
11,5,31,1095.21,730.0,730.0,365.21,0.0,70.0,15.5,18.26,-2.76,302.85,305.61,31006.36,182.39
11,6,30,1095.21,730.0,730.0,365.21,0.0,70.0,15.0,18.26,-3.26,302.35,305.61,31311.97,184.19
11,7,31,1095.21,730.0,730.0,365.21,0.0,70.0,15.5,18.26,-2.76,302.85,305.61,31617.58,185.99
11,8,31,1037.57,730.0,726.3,311.27,3.7,70.0,16.96,15.56,1.39,302.85,301.45,31919.03,187.76
11,9,30,979.93,730.0,685.95,293.98,44.05,70.0,32.34,14.7,17.64,302.35,284.71,32203.74,189.43
11,10,31,922.28,730.0,645.6,276.68,84.4,70.0,48.72,13.83,34.89,302.85,267.96,32471.7,191.01
11,11,30,864.64,730.0,605.25,259.39,124.75,70.0,64.11,12.97,51.14,302.35,251.21,32722.91,192.49
11,12,31,749.36,730.0,524.55,224.81,205.45,70.0,96.37,11.24,85.13,302.85,217.72,32940.63,193.77
12,1,31,803.77,730.0,562.64,241.13,167.36,70.0,83.02,12.06,70.97,310.03,239.06,33179.69,195.17
12,2,29,861.18,730.0,602.83,258.35,127.17,70.0,65.81,12.92,52.89,309.03,256.14,33435.83,196.68
12,3,31,976.01,730.0,683.21,292.8,46.79,70.0,34.38,14.64,19.74,310.03,290.29,33726.12,198.39
12,4,30,1033.42,730.0,723.39,310.03,6.61,70.0,17.67,15.5,2.16,309.53,307.37,34033.49,200.2
12,5,31,1090.83,730.0,730.0,360.83,0.0,70.0,15.5,18.04,-2.54,310.03,312.57,34346.06,202.04
12,6,30,1090.83,730.0,730.0,360.83,0.0,70.0,15.0,18.04,-3.04,309.53,312.57,34658.63,203.87
12,7,31,1090.83,730.0,730.0,360.83,0.0,70.0,15.5,18.04,-2.54,310.03,312.57,34971.2,205.71
12,8,31,1033.42,730.0,723.39,310.03,6.61,70.0,18.17,15.5,2.66,310.03,307.37,35278.57,207.52
12,9,30,976.01,730.0,683.21,292.8,46.79,70.0,33.88,14.64,19.24,309.53,290.29,35568.86,209.23
12,10,31,918.59,730.0,643.01,275.58,86.99,70.0,50.6,13.78,36.82,310.03,273.21,35842.07,210.84
12,11,30,861.18,730.0,602.83,258.35,127.17,70.0,66.31,12.92,53.39,309.53,256.14,36098.21,212.34
12,12,31,746.36,730.0,522.45,223.91,207.55,70.0,99.24,11.2,88.04,310.03,221.99,36320.2,213.65
13,1,31,800.56,730.0,560.39,240.17,169.61,70.0,85.64,12.01,73.63,317.39,243.76,36563.96,215.08
13,2,28,857.74,730.0,600.42,257.32,129.58,70.0,67.59,12.87,54.72,315.89,261.17,36825.13,216.62
13,3,31,972.1,730.0,680.47,291.63,49.53,70.0,35.98,14.58,21.4,317.39,295.99,37121.12,218.36
13,4,30,1029.29,730.0,720.5,308.79,9.5,70.0,18.93,15.44,3.49,316.89,313.41,37434.53,220.2
13,5,31,1086.47,730.0,730.0,356.47,0.0,70.0,15.5,17.82,-2.32,317.39,319.72,37754.25,222.08
13,6,30,1086.47,730.0,730.0,356.47,0.0,70.0,15.0,17.82,-2.82,316.89,319.72,38073.97,223.96
13,7,31,1086.47,730.0,730.0,356.47,0.0,70.0,15.5,17.82,-2.32,317.39,319.72,38393.69,225.85
13,8,31,1029.29,730.0,720.5,308.79,9.5,70.0,19.43,15.44,3.99,317.39,313.41,38707.1,227.69
13,9,30,972.1,730.0,680.47,291.63,49.53,70.0,35.48,14.58,20.9,316.89,295.99,39003.09,229.43
13,10,31,914.92,730.0,640.44,274.48,89.56,70.0,52.54,13.72,38.81,317.39,278.58,39281.67,231.07
13,11,30,857.74,730.0,600.42,257.32,129.58,70.0,68.59,12.87,55.72,316.89,261.17,39542.84,232.6
13,12,31,743.37,730.0,520.36,223.01,209.64,70.0,102.2,11.15,91.05,317.39,226.35,39769.19,233.94
14,1,31,797.35,730.0,558.14,239.21,171.85,70.0,88.35,11.96,76.39,324.94,248.55,40017.74,235.4
14,2,28,854.31,730.0,598.02,256.29,131.98,70.0,69.95,12.81,57.13,323.44,266.31,40284.05,236.97
14,3,31,968.21,730.0,677.75,290.46,52.25,70.0,37.65,14.52,23.13,324.94,301.81,40585.86,238.74
14,4,30,1025.17,730.0,717.62,307.55,12.38,70.0,20.25,15.38,4.87,324.44,319.57,40905.43,240.62
14,5,31,1082.12,730.0,730.0,352.12,0.0,70.0,15.5,17.61,-2.11,324.94,327.05,41232.48,242.54
14,6,30,1082.12,730.0,730.0,352.12,0.0,70.0,15.0,17.61,-2.61,324.44,327.05,41559.53,244.47
14,7,31,1082.12,730.0,730.0,352.12,0.0,70.0,15.5,17.61,-2.11,324.94,327.05,41886.58,246.39
14,8,31,1025.17,730.0,717.62,307.55,12.38,70.0,20.75,15.38,5.37,324.94,319.57,42206.15,248.27
14,9,30,968.21,730.0,677.75,290.46,52.25,70.0,37.15,14.52,22.63,324.44,301.81,42507.96,250.05
14,10,31,911.26,730.0,637.88,273.38,92.12,70.0,54.55,13.67,40.88,324.94,284.06,42792.02,251.72
14,11,30,854.31,730.0,598.02,256.29,131.98,70.0,70.95,12.81,58.13,324.44,266.31,43058.33,253.28
14,12,31,740.4,730.0,518.28,222.12,211.72,70.0,105.25,11.11,94.14,324.94,230.8,43289.13,254.64
15,1,31,794.16,730.0,555.91,238.25,174.09,70.0,91.14,11.91,79.23,332.68,253.45,43542.58,256.13
15,2,28,850.89,730.0,595.62,255.27,134.38,70.0,72.39,12.76,59.62,331.18,271.56,43814.14,257.73
15,3,31,964.34,730.0,675.04,289.3,54.96,70.0,39.38,14.47,24.92,332.68,307.76,44121.9,259.54
15,4,30,1021.07,730.0,714.75,306.32,15.25,70.0,21.63,15.32,6.31,332.18,325.87,44447.77,261.46
15,5,31,1077.79,730.0,730.0,347.79,0.0,70.0,15.5,17.39,-1.89,332.68,334.57,44782.34,263.43
15,6,30,1077.79,730.0,730.0,347.79,0.0,70.0,15.0,17.39,-2.39,332.18,334.57,45116.91,265.39
15,7,31,1077.79,730.0,730.0,347.79,0.0,70.0,15.5,17.39,-1.89,332.68,334.57,45451.48,267.36
15,8,31,1021.07,730.0,714.75,306.32,15.25,70.0,22.13,15.32,6.81,332.68,325.87,45777.35,269.28
15,9,30,964.34,730.0,675.04,289.3,54.96,70.0,38.88,14.47,24.42,332.18,307.76,46085.11,271.09
15,10,31,907.62,730.0,635.33,272.29,94.67,70.0,56.63,13.61,43.02,332.68,289.66,46374.77,272.79
15,11,30,850.89,730.0,595.62,255.27,134.38,70.0,73.39,12.76,60.62,332.18,271.56,46646.33,274.39
15,12,31,737.44,730.0,516.21,221.23,213.79,70.0,108.39,11.06,97.33,332.68,235.35,46881.68,275.77
16,1,31,790.99,730.0,553.69,237.3,176.31,70.0,94.02,11.86,82.15,340.61,258.45,47140.13,277.29
16,2,29,847.49,730.0,593.24,254.25,136.76,70.0,75.4,12.71,62.69,339.61,276.91,47417.04,278.92
16,3,31,960.48,730.0,672.34,288.14,57.66,70.0,41.18,14.41,26.77,340.61,313.83,47730.87,280.77
16,4,30,1016.98,730.0,711.89,305.09,18.11,70.0,23.07,15.25,7.81,340.11,332.29,48063.16,282.72
16,5,31,1073.48,730.0,730.0,343.48,0.0,70.0,15.5,17.17,-1.67,340.61,342.28,48405.44,284.74
16,6,30,1073.48,730.0,730.0,343.48,0.0,70.0,15.0,17.17,-2.17,340.11,342.28,48747.72,286.75
16,7,31,1073.48,730.0,730.0,343.48,0.0,70.0,15.5,17.17,-1.67,340.61,342.28,49090.0,288.76
16,8,31,1016.98,730.0,711.89,305.09,18.11,70.0,23.57,15.25,8.31,340.61,332.29,49422.29,290.72
16,9,30,960.48,730.0,672.34,288.14,57.66,70.0,40.68,14.41,26.27,340.11,313.83,49736.12,292.57
16,10,31,903.99,730.0,632.79,271.2,97.21,70.0,58.79,13.56,45.23,340.61,295.38,50031.5,294.3
16,11,30,847.49,730.0,593.24,254.25,136.76,70.0,75.9,12.71,63.19,340.11,276.91,50308.41,295.93
16,12,31,734.49,730.0,514.14,220.35,215.86,70.0,111.63,11.02,100.61,340.61,239.99,50548.4,297.34
17,1,31,787.82,730.0,551.47,236.35,178.53,70.0,96.99,11.82,85.18,348.73,263.56,50811.96,298.89
17,2,28,844.1,730.0,590.87,253.23,139.13,70.0,77.51,12.66,64.85,347.23,282.39,51094.35,300.56
17,3,31,956.64,730.0,669.65,286.99,60.35,70.0,43.05,14.35,28.7,348.73,320.03,51414.38,302.44
17,4,30,1012.92,730.0,709.04,303.88,20.96,70.0,24.57,15.19,9.37,348.23,338.86,51753.24,304.43
17,5,31,1069.19,730.0,730.0,339.19,0.0,70.0,15.5,16.96,-1.46,348.73,350.19,52103.43,306.49
17,6,30,1069.19,730.0,730.0,339.19,0.0,70.0,15.0,16.96,-1.96,348.23,350.19,52453.62,308.55
17,7,31,1069.19,730.0,730.0,339.19,0.0,70.0,15.5,16.96,-1.46,348.73,350.19,52803.81,310.61
17,8,31,1012.92,730.0,709.04,303.88,20.96,70.0,25.07,15.19,9.87,348.73,338.86,53142.67,312.6
17,9,30,956.64,730.0,669.65,286.99,60.35,70.0,42.55,14.35,28.2,348.23,320.03,53462.7,314.49
17,10,31,900.37,730.0,630.26,270.11,99.74,70.0,61.03,13.51,47.52,348.73,301.21,53763.91,316.26
17,11,30,844.1,730.0,590.87,253.23,139.13,70.0,78.51,12.66,65.85,348.23,282.39,54046.3,317.92
17,12,31,731.55,730.0,512.09,219.47,217.91,70.0,114.98,10.97,104.0,348.73,244.73,54291.03,319.36
18,1,31,784.67,730.0,549.27,235.4,180.73,70.0,100.06,11.77,88.29,357.07,268.77,54559.8,320.94
18,2,28,840.72,730.0,588.5,252.22,141.5,70.0,80.21,12.61,67.59,355.57,287.97,54847.77,322.63
18,3,31,952.82,730.0,666.97,285.85,63.03,70.0,44.99,14.29,30.7,357.07,326.37,55174.14,324.55
18,4,30,1008.86,730.0,706.2,302.66,23.8,70.0,26.14,15.13,11.0,356.57,345.56,55519.7,326.59
18,5,31,1064.91,730.0,730.0,334.91,0.0,70.0,15.5,16.75,-1.25,357.07,358.31,55878.01,328.69
18,6,30,1064.91,730.0,730.0,334.91,0.0,70.0,15.0,16.75,-1.75,356.57,358.31,56236.32,330.8
18,7,31,1064.91,730.0,730.0,334.91,0.0,70.0,15.5,16.75,-1.25,357.07,358.31,56594.63,332.91
18,8,31,1008.86,730.0,706.2,302.66,23.8,70.0,26.64,15.13,11.5,357.07,345.56,56940.19,334.94
18,9,30,952.82,730.0,666.97,285.85,63.03,70.0,44.49,14.29,30.2,356.57,326.37,57266.56,336.86
18,10,31,896.77,730.0,627.74,269.03,102.26,70.0,63.35,13.45,49.9,357.07,307.17,57573.73,338.67
18,11,30,840.72,730.0,588.5,252.22,141.5,70.0,81.21,12.61,68.59,356.57,287.97,57861.7,340.36
18,12,31,728.62,730.0,510.03,218.59,219.97,70.0,118.42,10.93,107.49,357.07,249.57,58111.27,341.83
19,1,31,781.53,730.0,547.07,234.46,182.93,70.0,103.23,11.72,91.51,365.6,274.1,58385.37,343.44
19,2,28,837.36,730.0,586.15,251.21,143.85,70.0,82.99,12.56,70.43,364.1,293.68,58679.05,345.17
19,3,31,949.0,730.0,664.3,284.7,65.7,70.0,47.01,14.24,32.77,365.6,332.83,59011.88,347.13
19,4,30,1004.83,730.0,703.38,301.45,26.62,70.0,27.77,15.07,12.69,365.1,352.41,59364.29,349.2
19,5,31,1060.65,730.0,730.0,330.65,0.0,70.0,15.5,16.53,-1.03,365.6,366.64,59730.93,351.36
19,6,30,1060.65,730.0,730.0,330.65,0.0,70.0,15.0,16.53,-1.53,365.1,366.64,60097.57,353.52
19,7,31,1060.65,730.0,730.0,330.65,0.0,70.0,15.5,16.53,-1.03,365.6,366.64,60464.21,355.67
19,8,31,1004.83,730.0,703.38,301.45,26.62,70.0,28.27,15.07,13.19,365.6,352.41,60816.62,357.74
19,9,30,949.0,730.0,664.3,284.7,65.7,70.0,46.51,14.24,32.27,365.1,332.83,61149.45,359.7
19,10,31,893.18,730.0,625.23,267.95,104.77,70.0,65.75,13.4,52.35,365.6,313.25,61462.7,361.55
19,11,30,837.36,730.0,586.15,251.21,143.85,70.0,83.99,12.56,71.43,365.1,293.68,61756.38,363.27
19,12,31,725.71,730.0,508.0,217.71,222.0,70.0,121.97,10.89,111.09,365.6,254.52,62010.9,364.77
20,1,31,778.41,730.0,544.89,233.52,185.11,70.0,106.5,11.68,94.82,374.36,279.53,62290.43,366.41
20,2,29,834.01,730.0,583.81,250.2,146.19,70.0,86.37,12.51,73.86,373.36,299.5,62589.93,368.18
